Speaker 1:          00:00:17       Jamie too hot in here. Turn the AC up. That bitch get it down to zero.
Speaker 3:          01:39:55       Here we go. Forty nine percent. Okay. regular pushup, you live 64 percent of your body weight, whereas with a knee pushup, your pushup. So a regular pushup, 64 percent of your body weight. So for me it's a little over 100 was 110, something like that? Yeah. One 14, right? Sixty four. Is that right? One, 28. Okay. So I was pretty close. Sixty four posole. I was pretty close. I was thinking it was like 1:30, 1:44. Oh, that makes sense. So yeah, so that's what I thought. I can't do 80 pushups. I can't do any pushups. Is breathing was I don't think I can. I don't do pushups on much bench press, heavier weights and I do a lot of their stuff while scaring me without breathing.

Speaker 3:          01:40:45       BreAthing. So powerful. I can't we do that. What are you doIng now? Oh, that's it. It's a nose. The what's the world record pushups. How many things the world record in a row? I bet it's like $300 for without leaving the pushup position in 1987. We did a 3000. Seventy two times for women. It's 300 to 3000. You can. You can stay there all day. They get to. There's no time limit on that. Oh. So you can go down and rest and then push yourself back up. Stuff up. Probably even for like an hour if you want it to jesus christ. What about in a row? What about consecutive no arrest record? Second an hour. Is there a consecutive most pushups? Nonstop is 10,000. 500.

Speaker 3:          01:41:37       Some revelation going on. Oh my god. what kind of a fucking freaked as 10,000 pushups. Wait a minute. Wait a minute. Look at what they're defining as pushups. Oh, that's like a look at their pushups. They don't go all the way down those fucks. Now, if this is what the counting. Hey you gotta touch your chin. The world record. So it's defined though. It's defined by a specific degree of bend in your arms. What counts is a pushup is it's essentially when your arm, your upper arm is 90 degrees. It's when your upper arm is parallel to the ground. Yeah, right. Yeah. And your lower arms straight up. And now. Huh? Thirty $800 an hour at 3:38. Seventy seven. Jesus christ. That's crazy. That guy probably couldn't even tie his shoes the next day. Probably tore himself apart. We went to, uh, we should get wim hoff together with louie simmons about that.

Speaker 3:          01:42:47       Do you know Louis Simmons and simmons is a madman. He's the guy. He's a very famous power lifter. And every single part of his body has been broken. He's in his sixties and he's been on steroids. It's 1970. There's louie simmons has no biceps. I think in this picture you probably still had biceps. It seems like there's still there. His biceps have torn off of the, off of the bone. If he lifts his arms over his head, he blacks out because he's so damaged. She has so much neck and, and tissue damage is a fucking maniac. What a character he is though. We, uh, we interviewed him last month. We went to his gym. He's a really, really famous powerlifter. He's actually a genius when it comes to the construction of exercise equipment. We have one of his pieces of equipment in the back. It's called the reverse hyper.

Speaker 3:          01:43:39       That damn thing changed my life. I'll show it to you afterwards. You could see it, it, it actively decompresses the spine. Say that's a, the lifting up, but on the lifting down it goes under the weight, goes underneath that bench and it actually pulls apart your spine. It decompresses the spine. So all of the gravity and the stress and all the different measures they could see how it works. So it's an amazing piece of equipment. And he, louis, uh, invented that. He's got some great, great ideas about power lifting, but he's just like many brilliant people. He's fucking insane. It's a great way and a great way. But anyway, you, you and him together. Maybe you could fix them, get them breathing. He wouldn't let me just start swearing, throwing shit around, do some steroids.

Speaker 4:          01:44:27       Great. So yeah, I had a lot more facts going on, really are progressing with the science and becoming more famous and we are reaching out more and more. A very powerful people. Famous people are beginning to get the idea and they will help me in the Indiana. I want to do charity because I did already the breakthroughs within the science. Uh, and uh, now I want to do charity. Yes. That like we were talking about Tanzania and uh, and the resource and the messiah and the messiah before they were the men who are able to stand off a line. So they are dealing with fear. They become a lion is able to smell fear and uh, animals like a, that's reactive. It's a, it's our hormones, but people have it as well. And so that's why we go in cars through these reserves, etc. Now I found that that fear is actually coming in within our subconscious fear because we are not acting natural anymore.

Speaker 4:          01:45:51       Uh, we alienated from nature and we have fear. We are able to walk in a city with an attitude, et cetera. But do it now in front of the line. Then you become fearful because you know you are not able to cope with that situation and you have to be peaceful. You have to be there, but you then the line will not attack you. It only attacks when it's hungry and you can see things and all, all those things. But if you have no fear, you could just pass by a couple of meters from alliance in the world. What I'm, yes. And this is what I'm, who knows this, uh, me and the maasai. Have you done it? But I, I'm, I'm with a massage. Do it. I'm with the maasai. And uh, they, uh, I'm doing this. It's called garden garden of eden project. That means with really wild animals like hyenas, elephants, giraffes, lions. I want to show you

Speaker 2:          01:46:50       a picture before you engage in this ridiculous adventure. It was a photo of. There's a photographer that climbed out of his jeep. Do you see that photo? Remember it was in the daily mail where there's a series of photographs were a lion was going to pounce on him. It literally jumped towards him and opened its mouth and this guy got photos. I think it was inside of like 30 or 40 feet when the lion finally stopped, but they are some of the most terrifying photos. Photographer gets shots of lion before when it almost attacked him. See if he could find it. I have them on my phone. I can show it to you. Interesting. It was my screensaver on my phone forever. But you see a situation, another situation, a people go windows jeep through the safari and see lions. So about 12 of them lying there and you go with a jeep. Then suddenly comes to my kid on his bike and older lights. He him and there is to look at that face. Oh yeah. Fuck that. Whoa. That thing.

Speaker 2:          01:48:00       It's way scarier than a werewolf. You know why? Because a lion is a lion every fucking day of the week, 365 days a year, as long as it's alive. A werewolf the werewolf, one day a month, full moon. That's a goddamn lie. And fuck a werewolf. It's kind of funny because that's way scarier than a werewolf. It's way bigger than a werewolf. Interesting. Look at the face on that thing. Nature. Nature is amazing. Like that is an amazing creation. Interest and amazing creature are able to stand up. I believe it when I see it. Yes. But the thing is, what do you. I want to create an agency within my salary together and then have people walk through it instead off a car under guidance of under guidance of my site under guidance of navy seals arm to the tetes fucking missile launchers and shit.

Speaker 2:          01:49:07       Yeah. Yeah. You think so that, that helps. But it is something definitely helps. That's the only way I'm going. Oh, okay. More and more important. More. Oh, right. Okay. I like it. A far more important to this to help the homeless. Yes. And that's where I going to help them, uh, you know, ptsd and all that. We Are into university studies right now dealing with that and about the homeless, homeless veterans, like tony robbins, it, providing for like hundred million meals. I'm going to help wherever I can. Of course I want to do more like there are these soup kitchens and they, they do don't ask money for your participation and have say a meal, but you can donate. So people who are homeless, they have no money, right? So they are able to eat and those who come there and have altered meat meal, they are not obliged to give money but they gave it anyway and they see the idea behind it, the, the charity go behind it.

Speaker 2:          01:50:22       And most of the times they give okay money and it survives. It's okay, it works now I want these homeless people and not only to have a soup kitchen like that, but also work on the land and providing vegetables and all that for the restaurant and this tribute as well in the city. I think this way we could. It's very making them active, not just donating and giving food, but to get them back into, uh, the infrastructure, the system, the civilization among people. Right. That's it. Well, if you could just get them active and give them some hope. Right. There's a lot of people that just, almost. I think there's, there's levels of poverty and despair and I think for some people that just like on the edge and maybe just a little bit of help or bring them back off the edge and bring them back into circulation.

Speaker 2:          01:51:20       You know, I mean, yeah, yeah. Many people become homeless over time and they weren't before and then it just, things don't go well and I know a bunch of, have a bunch of comedian friends that lived in their cars and you know, living on people's couches and we're real close to homeless but made it through. So it's even. There's very various levels, strange thing that a thing called civilization and yes, I mean homeless is a very strange thing, right? Like you don't have a regular place to go. And that in our mind is like one of the saddest things. Like, oh, you don't have a place for your shit. Yeah. What do you, how do you watch tv, get online, do you don't even have a facebook. You're homeless and you know, and that's how a lot of us look at it. We look at someone not having home.

Speaker 2:          01:52:07       Meanwhile the homeless person or this person who's like a backpack or some, you know, person who's like a traveler, they might be way happier and healthier than a lot of people that you see trapped in these homes that are sitting there smoking cigarettes. Absolutely. Caring and sharing. Yeah. That is the thing missing. It certainly helped a lot of people, right? Yeah. And uh, how to get to that. Yeah. And it's abstract now, but I'm getting it through science. But uh, I did the science now. I wanted to do charity. That's great thing. That is great. Yeah. And you helping

Speaker 3:          01:52:46       me right now, I'm happy to be helping you do anything is maybe a little bit of our society is so competitive and that that competitive nature sort of alienates us from the other people around us. We think of them as competitors rather than think of them as our brothers and sisters. I think there's, there's a, there's a lack of clarity when it comes to the, the actual real amount of time that we have here. We don't really have that much time. It seems like a lot of time, but I'm 49. How old are you? Fifty seven. Yeah. It goes quick, right? All of a sudden it's,

Speaker 4:          01:53:20       you know, I'm still gonna. Go do fucking man. Not saying you're not going to go fast. IT's going fast, but we broke through and what you did is also very memorable bro, bro. It's good. We got to bring more consciousness and we, we got, we. If we are really strong, we protect the weak and adults who are not able to honor a, you know, we give love, we do it in our way. You do it with, by creating our awareness and by signs and, and try to do now charity and we got a hat it on w one way or another through inspiration. I think that's another thing you're doing. You're inspiring people to do something and take positive action and that oftentimes is the best thing you could do rather than to help them or to give them help. You are providing them with their own self help. What I, I just came from san francisco now or to meet you here I think, uh, once again, ana create me to feel feelings mutual. Thanks very much. I, I saw homeless people over there, but you know, big guys and look at good at

Speaker 3:          01:54:38       a certain moment. I think san francisco. Why don't you do something about this? San francisco is infested with acceptance. They have too much acceptance. They've gone so far over the edge that they've made it easy for people to, you know, just kind of fuck off and hang out on the street. And then there's also the very real problem of mental illness and a homeless veterans. People, as you said before, that a ptsd. So there's a wide spectrum of reasons why people become homeless, but san francisco is very accepting of it. It's the most accepting city I've ever been to when it comes to homeless people. But it's also one of the reasons why san francisco is so great, like they're so open minded. I lived there when I was a kid. I lived in san francisco from age seven to 11 and it was a different san francisco because san francisco now is all tech giants and in billionaires in silicon valley.

Speaker 3:          01:55:32       I, I did things over there down. Oh my god. Real estate prices are insane. One of the most insane places in the world when it comes to real estate prices. When I was a kid it was, it was hippies because when I was there it was during the Vietnam war and my stepdad was a hippie. My mom was kind of a hippie and we lived in a hippie neighborhood. It was just hippies. It was just, it was weird. It was like it was all gay and hippies and it's not really like that. Even the gay people, like they're kind of getting pushed out in san francisco has always kind of synonymous with gay people. It's not. I mean it's more tech now than anything else and just extraordinary wealth, but they still are very open minded. Very progressive. It's very left wing, sort of liberal kind of a town which has its pluses and minuses, you know, it's just, you know, the tolerance is excellent.

Speaker 3:          01:56:22       It's really good. but some, I mean when you have that many homeless people, like something's not right. What is that thing? I mean I would be, it would be very arrogant of me without any work or investigation whatsoever to try to give some sort of an explanation for what it is. But a lot of it's got to be connected to how liberal they are. They just so they're so open minded. they're just accepting. I think it is old ho problem throughout America, eh, you know, the difference between the real rich and uh, in the pool. And uh, but they did in baltimore for example, I saw a documentary lately lately about the shame of America and they told it into documentary and things like that. And now they do these programs with meditation and breathing in this cooled and they more yes, in baltimore and they got a lot of success that their mental state, their psych is a lot better now at just because of minding.

Speaker 3:          01:57:25       And that's what we need to get to school in schooling. Breathing mindfulness. Yeah. No, there'll be an amazing thing for kids that the people, baltimore elementary school, nixon's is detention for mindful meditation that hey, you got some amazing and children are very able to do that. Change lives. Oh yes. That can truly truly changes lives because you, you can give a child instead of this horrible thing where they feel terrible about themselves. You give them a reset. Absolutely. That's awesome. The more out of the box thinking because the standard thInking of raising kids. I mean I don't know what schools like in holland where you're from, but here in America where I went to school, it was terribly confining. Like you had to think a certain way. You hAve to study certain things. Yeah. You weren't interested in those things. you, they made you feel like a loser.

Speaker 3:          01:58:18       Yeah. If you weren't interested in math, it was boring to you to sTudy certain things they made you feel liKe you were a fool and you have studies that days. Yeah, no, the real, most important assets of life and happiness strengthen, uh, and uh, and uh, uh, health will also be subjects into school. Boom, bang, and then that's creativity, but embracing creativity as an option for you doing something with your life. No one ever tells you that you could, you could be creative for a living, that you could be a sculptor or a painter or an artist or a musician or an a standup comedian or an author that's never offered up to get a job, work for somebody else or start your own business and hire some people. That is, it's like if you look at the, the standard places that people go once they graduate from high school or college, it's usually to get a job.

Speaker 3:          01:59:14       So they push you in that direction. Like this. There's no individual attention. You not, you don't feel unique. You don't feel special. You don't feel like you have a chance of making outside of the system. You have to fit into the system that they're presenting to you. These are your college courses, this is your college options. You know your gpa is not so good, so you're going to have to go here and that's going to suck because then your job options going to be limited or you can go to community college and try to bring it up and you're like, oh my god, all this fucking work, and then I'm going to take a job that's going to suck and it's just soul sucking for me. I mean for some people, those options seemed like a wonderful idea. Yeah. They don't offer you a lot of choices. There's not. There's not like the creative fields are not embraced and I think that's a real problem because many, many, many, many kids. I have little tivity yes.

Speaker 4:          02:00:00       The means to express the soul's purpose will they know when there's only seven percent in the world population that is being creative. It was that real ad arrest has enthuses system being almost, you know, percent of little children and creating automizing the soul. It's not letting the soul express itself. I mean soul. Nobody knows what it is, but creativity expressing your being that, that, that makes it will tow beautiful actually, and now it's becoming like a gray area feeding a system and nobody knows how to stop this. So what this system needs to turn around and begin to look, how can we serve your happiness, strength and health because strength, a strength, a strong, healthy and happy people will make up a great system. We have gone too far. Now we need to go back into self awareness and we are proving. This is simply that we are able to do so much more direct.

Speaker 3:          02:01:12       Well, I think there's just a lot of momentum that's that is attached to our education system and to our job options. Once we graduated from school and this momentum is very difficult to someone to step away from because most of the time, by the time someone graduates from college, early in debt, you are in debt from credit cards. You're in debt from student loans, money, money, money, money, you have to make money in order to pay that debt off, and so you immediately go right, the workforce,

Speaker 2:          02:01:40       and then if you're tired after working all day and most people find it very difficult to find a way to break free and to, to pursue their real dreams, whatever they are, you know, songwriting or it is being an author event. So being wim hoff. Yeah. I had to find my way. Yeah. What did you used to do for a living? All kinds of things. Like I've been a teacher and you teach a postman english. Yoga. You taught yoga. Yeah. No kenny. Oh, I know stuff. You just under a do all kinds of exercises, but I've seen some of the crazy poses you can get into them. Imagine you teach yoga has how, say mountaineering a instructor or going into mom to guide a mountain guiding canyoning. Although studying a postman, uh, working in a harbor harbor ship, loading ships, habash many things. Wherever I go to lay my hands because I didn't finish any schooling.

Speaker 2:          02:02:52       I'm a self made man. I speak many languages, I buy all, told them myself and learned a lot about philosophy. Which you speak right now. Anglaise. Besides of my own language. Uh, uh, dutch, but then also french and german and polish and spanish and italian. Wow. And even japanese. And you speak those languages as well as you speak? English? No, because she needs to practice. If you do not use it, you lose it. A of a. It's all in there. So your primary is english and dutch or german? Spanish. Dan french. That's amazing. And you learn these Books. Yeah, the books. I'm talking to people just talking. But what about the gRammar? I mean, I would imagine the difference between take out books once you begin to understand a couple of language or you know, the, the logic of the languages and it becomes easier to take up a language. What did you want to do? What I wanted to do. It's like when you were younger right now. Really? Yes. Really looking at 10 years old, 19 years old. And you're young man. Really? I wasn't into changing the world. I was into our so far out and doing crazy stuff. It was like from 17 years on, I began to go into the cold, being inspired by anthropologists, went into tibet and talked about the discipline, the buddhist. Yeah, the esoteric disciplines of the buddhists or buddhism they call cities within the yoga and all sandy. Oh,

Speaker 4:          02:04:38       cities like cities of levitation, that's an old oh, staying and Japan and there's some right in moodle and all that. I was very, very intrigued. Why? Because I think they found a way to show that the depth is existent, but it takes years and you got to go like a caveman in, uh, and uh, and uh, and isolate a guru or adapt, introduce yoga practices and it's old, very secretive and uh, and things like that. And uh, I was looking at internet and, and why? I think it has got something to do with my birth. It was traumatic. It was one of the identical twin and I was born quite too late. Not really too late, but it made a real psychic imprint when I came without too much of oxygen. Oh, fear and trauma. And yes, and uh, and uh, and too cold in a, in a place and I was born, delivered over there.

Speaker 4:          02:05:52       So I think that made a psychic imprint which had a absolute influence in my growing. Uh, and then later what's happening, I always wear it had been looking into psychology, different, uh, disciplines say religious, etc. Are always more interested tHan my identical twin brother. He's actually a normal guy working like nine to five. Like everybody could get him to play you in some places where you can't get there. We're going to grow his hair like, you know. No, not that I meet in the middle. It's a. Yeah, we did, we did tricks because we look so much like each other. And uh, if he wanted to have a say even if we can trick our mother. What about girlfriends? Girlfriends? No, no comment. Did you, um, do you guys have the same amount of gray in your beard and the whole deal stand next to each other we say is different now.

Speaker 4:          02:06:52       What does he look like? He's more a boulder. Matt. I am more stressed, but I think more stress. Yes. does he exercise a exercise? Yeah, but uh, he took up a lot of what I am doing, but I really, in my mind, I go a lot further than he is able to. And that's interesting that you correlate that with your birth, that you were born after hiM and then it was, there was some trauma involved and yes, some stress. So, uh, absolutely. And made a psychic print. And later my life I began to look into that and you know, the first time I went into this cold water I, I had this connection with that trauma because the no other way gave me disconnection with this deep trauma and added know where it was, who uga inflicted it or my mother tell her, told me later, and then it made sense to me.

Speaker 4:          02:07:52       Oh, that'S why. That's why I like it in the cold and because I was born into cold, almost suffocated. That's why I do these breathing exercises and feel good. FInally I'm able to tap into that traumatic imprint and change the chemistry at will controlled. And then I found out I was able to do so much more because now I was able to do it consciously. And uh, from there, uh, I got into the television, then I got into the science and it appears to be that I found also a way to tap into what we call t trauma ptsd, emotion, fear, depression, uh, and not only that, auto immune diseases, possibly cancer that we still got to find out, of course, but I think they just got a. Nature's got the solutions for us, but we need to get back into nature and the nature all inside.

Speaker 4:          02:08:55       we all got a faculties, the abilities to wake them up and to bring them within our control. And now we have shown that scientifically, within a couple of days, you are able to tap into all those systems. How far we can go, still need staff. What do You think about the effect of modern civilization traffic? Just to stress and pollution, environmental pollution, pollution, the air, things like that. WhaT, what, what kind? What kind of effect do you think that has on absolutely wrong effect to chemical, a deregulation biochemical deregulation up till the dna, bam. so api genetical, uh, not only genetically, but uh, during the live you talk about epigenetics and we are able to influence into the genome structure of the dna, but uh, with a existence, smog stress, a negative thoughts and radiation of things. And I don't know all these, we mess up the chemistry.

Speaker 4:          02:10:05       We are dealing with chemistry and we eat food which is now not really food anymore. And we got a, we are built with our, our systems are able to do with natural food and natural tribal being like taking care of each other. Brothers and sisters like tribal. That's the way. And what we do now is competition is creating a whole lot of uncontrolled getting on us all the time. Why to server system instead of a happiness strength and health care. it's not being served anymore. Everybody running behind is there a deadline? And on top of that we get food, eh, which has no, which has messed with. So we create a lot of difficulties for our physiology that works back on our brain because it's piece of meat inside and it's just wicking on biochemical and we are messing with that. So what I found in nature is actually is shortcut who learn to cleanse all the older pollution, creating a wrong chemistry, created deregulation of the dna and causing the body not to be able to deal with, say, disease, sickness and depression and all these things.

Speaker 4:          02:11:30       Do you live in nAture? Like where, where do you live? I live in the city, uh, at right now. I live in a little village. A little village. Small town? yes. But stressful. Uh, it does not matter. I can live anywhere. You can live in New York city, but when you freak out all the bam bam. Fuck you. Oh no, no, no. I used to sit as a exercise on the middle of this choir of the one most, uh, traffic squares. So for big city in the internet islands, which is amsterdam, and just meditate on the square and with all the cars come and go and roll, jude or boom, boom, boom, boom. And I actually had a greater. Really? Yes. We used it as a. An exercise. Yes sir. Like A stressor. Come on. Yeah. So all that chaos and madness. You found your piece inside of all that.

Speaker 4:          02:12:28       He really are able to distance from and witness how it works on your systems, your nervous system, and the nervous system then is able to deal with that. He becomes so tranquil and the more it tries to get to you. These are all exercises of yogis, yogis, they sit with four. Five, be around them or in the cold. What I also did and all that. The extremes are. It's extremely great. The feeling which derives if we just witness and let go, interfering in the systems, working with the impact of what is going on, which could be stressing anyway. So you find your own inner peAce myths, all that noise and that's the way our mInd can work. That's what I do when my wife tells me boring stories. I don't even listen. I just go into my center. Dang.

Speaker 4:          02:13:36       I have to like pay attention to the inflection that might indicate a question. God dammit. Let me and when that, you know, and I go, oh yeah, yeah, yeah. Wherever we can be very stressful. They know you. So can men date to databank? Queue down women are way better than men in that regard. Probably more stressful. Especially if you're banging them right. Jamie, you know what I'm talking about. I love them. I love them. I love the. I love my wife. I love my girlfriend. Take my wife please. Henny youngman joke. Uh, so, uh, what else? Going on a lot. Should we wrap this up? You've got to tell us. No, no, no. It's all about love and it was very lovable to be here. I feel no stress whatsoever. I did buy shit, but there's a whole lot more common, but I think the gist of it has been discussed, has been gotten out and it is a life so, so interesting. So beautiful. I thank you for you being a big window for so many and uh, thank you for being

Speaker 3:          02:14:45       part of it. It means a lot to me to, to have you come back on and means a lot to me. To be able to, uh, to share your ideas with the world and give you a platform. And, um, I think what you're doing is amazing. It's incredible. It's just incredible because it's so effective and it's so scientifically proven. It's also incredible because it's so rare that there's not that many people doing this. And if there are, they're not talking about it the way you are and they're not subjecting themselves to scientific research. And I think that's, that's one of the more amazing things about it because, uh, just like that guy. What was your friend's name? Scott carney is connie. He, of course, you know, you hear these stories and you probably assume that you're some sort of a guru, crazy person running a cult, but then he gets to meet you and he goes, oh, this is one of the rare real deals. There's not a lot of real deals out there. There's not a lot of people who are really living an extraordinary life. And you, wim hoff are living an extraordinary life.

Speaker 4:          02:15:50       Well, that's a great. And as long as people like you and me and uh, everybody who is in the same realm exist, we help the ones who want to house us. Yes, yes. The, the poor and, and, and, and the week we are not able to do. We are a strong man and you know, the american natives, they had got to. You are being measured by the way you give. And that means not money. It means his love, effectiveness for children to feel no stress and grow up for being a great human beings because human

Speaker 2:          02:16:30       being a human being should be something very, very beautiful on this beautiful planet. Yeah, I agree, man. I tried to express to people that these shows would not be possible if people weren't listening. I wouldn't do them. Nobody would be willing to. It's kind of an interesting thing about podcasts because I couldn't just get you to come here and just sit and talk to me and nobody else would here for hours and hours. The, the, the actual mechanism of doing a podcast, the act of doing a podcast allows me to listen to these people like you and all these other interesting people that I so lucky to get to talk to, so I benefit from it tremendously, but it wouldn't exist without other people listening. So the fact that people are listening is what makes me read these things and we thank the people who are listening right now.

Speaker 2:          02:17:20       Oh, from our heart. Yes, absolutely. Absolutely. If it wasn't for them like that does. That sounds so cliche. Hey, if it wasn't for you guys, we couldn't do it, but there would be no reason there'd be no. It wouldn't be no motivation. If, if it wasn't for people listening that there would be no show, it wouldn't exist. I would never have met. You have never met all the extraordinary people that I've met. I'm very eager to see what this is going to do and because the last time I met you and afterwards I hear joe rogan everywhere, everywhere, everywhere since that. So I came here now, well I'm going to go to the joe rogan, but then at the moment my bad, that expectation, heaviness fell off. I'm just going to say my thing. Yeah. I'm being allied with him. Just have a good time. Like last time I had and we did. We had a great time I think. Oh yeah, yeah, yeah, yeah, yeah, yeah. It was great. It was great. You've become friends with my friend chris ryan. Oh yeah. Hey. Oh, that's his shirt. Shirt, man. Civilized to death.

Speaker 2:          02:18:29       Yeah. I love chris. He's awesome. I do a podcast with him and duncan trussell, we call it the shrimp parade. We do it. Uh, it's just like, it's completely informal. Like we'll do one episode of my podcast and we'll do one episode of dunkin's, one episode of chris's and we just sort of rotate back and forth between each other when chris was in town, but chris was living in barcelona for a little what? Little bit, but now he's back so soon. But he, he, he loves you too. He had a great time with you. Yeah, yeah, yeah. I just had a podcast with him and say a week ago or something together with a professor. I don't remember his name for people want to listen. It's called tangentially speaking and it's available on itunes and it's available on a. Is it chris ryan.com is that is a dr chris ryan dotcom, maybe ryan phd.com.

Speaker 2:          02:19:17       Chris ryan. Phd.com. I think that's also his twitter handle and chris is awesome. He's a great storyteller. He's a brilliant, brilliant guy and he also has a great book. Yeah. What is it about the sex, the sex of dawning of downing of sex lives. What is it called? Sex at dawn. Sex at dawn? Yeah. It's a great book. Why did you throw it in the garbage? It's so good. My friend's wife threw it in the garbage. She started reading it. She goes, you are not reading this and chucked it in the trash. Yeah. I do not agree really with this sexual, uh, you know, explanations about how their day went and why we have these urges like from the prehistoric where you don't agree at a scientist. Yeah, yeah, yeah. What do you think scientists would that right now we have a ability to consciously choose a woman and in this world it's not about going and spreadsheet seed everywhere now it just be with one woman consciously, you know?

Speaker 2:          02:20:26       Yeah. But that's not really what he's saying. What he's saying. He's sort of trying to explain the, the yes, I know the origins of these urges and I think he's very intelligent and uh, what he does is great work because he wakes up a whole lot of. He's very. Yeah, it's very controversial, but it's very rooted in science. He's got this story with this cat. A cat. Yeah. Making sex with the cat. He had sex with a cat and I tell that story. Tell that story. Not really. We got a boner as cat. Not really that something by figuring out what are they? A cat. The cat sexuality was all about it. That's right. That's right. I did tell those stories with my dogs. Oh boy. To end the show on the lag and all that. I mean, we're all doing. Wait, wait, wait. Yeah.

Speaker 2:          02:21:21       Yeah, I see. Yes. I, I, I just, because we want to find out it shouldn't be, you know, taboo on sex. Maybe we should have proper education. Darin. Yes. We haven't really stopped the sexual behavior and then it gets into these perverted ways anyway because of the power and it is not able to grow into love. Yes. And that should be how we end this. Yeah. Don't suppress shit. Be loving. Yes sir. Rock on wim hoff. Right on. Thank you my brother. Thank you. I really appreciate it. Thank you. Always going to do it again next october. Yes. Hello ladies and gentlemen. Thank you. Goodnight.

Speaker 6:          02:22:13       Mm.
