Speaker 1:          00:00:00       Do we have enough left for tomorrow? We don't have tomorrow. I'll bring the sweet

Speaker 5:          01:20:59       for sure. And as someone who doesn't experience gender dysphoria, I like to, I mean when, when someone's got some sort of an issue, whatever it is, whether you call it an issue or a condition or whatever the fuck it is, and I don't have it. I try to be as, as standoffish. I tried to be as objective. I tried to be as kind as possible. This is a weird one though. This is a weird one because it's, it's become some sort of a fad and any criticism of it whatsoever, even discussion of it, you are labeled as a transphobic piece of shit. Yeah.

Speaker 4:          01:21:31       I think it's only weird honestly because it's run into the weird sexual politics that dominates in the country because if we're to talk about anorexia, which is a form of body dysphoria, yes, alright. Or if we were to talk about, I mean there actually is something body identity, integrity disorder, right? Where people want to lose an arm and we'd be saying, well the problem is in your brain, it's not in your arm, like chopping off your arm seems a little extreme, but if you want to do that, like go ahead. But if you were a kid and it's and year wouldn't say, oh well this kid's gonna suffer with this their entire life. Let's just chop off their arm. Now. Prevent them from developing like this is not an end to tell the entire society that this is a positive. Good is is a whole nother thing.

Speaker 4:          01:22:07       It's one thing to try and treat people who have a disorder humanely. It's another thing to redefine the terms of the entire civilization as well as biology in order to fit that. This is valuing the subject of over the objective. Science is objective. Your feelings about who you are is subjective. You can have those feelings, but once you are trying to translate those feelings into the objective standard, we almost told by now you're encroaching on my territory. It's not just, it's not just you doing what you want to do anymore, you're, you're telling me what I have to do, and that's a different thing. Right?

Speaker 5:          01:22:35       Right. Now, when people say that there is this 40 percent suicide rate amongst transgender people, I'm one of the arguments that I've heard is it's because they're not accepted. I've heard this too. It, yeah. Yeah. And that if they were accepted and then they felt themselves and they felt loved for their true self, then it would be just like everybody else

Speaker 4:          01:22:52       and I've seen no evidence to suggest that if, if there's. If there is a decrease based on treatment, then it's marginal at best.

Speaker 5:          01:23:01       Dysphoria, it's. Is it uniform like. I would like to know like is like gender dysphoria. Is it in a similar percentile as a anorexia or what bodybuilders get or what strippers get when they get triple f tits,

Speaker 4:          01:23:17       like the anorexic suicide rate. The dysphoria is a weird thing, you know, it's, it's it is that people. There's a girl that goes to my yoga class that's anorexic and it's so disturbing. It's so sad. It's horrifying. It's horrifying. And listen, I'm not, I'm not saying that we should mistreat people, but if again, you're talking about an entire society being forced to redefine basic biological terminology, then like it be an adult like live, like live with this. I'm happy to treat you with a. Listen what? I would hire a transgender person, but I'm not going to see. I'm not going to change what reality is in order to humor you. Like if you call yourself napoleon, I'm not gonna, call you napoleon napoleon. Like this is not something I'm up for. What'd you take

Speaker 5:          01:24:01       going into consideration though? I mean when you were looking at this, still goes, what if someone was really good at their job and someone else was equally good at their job but not transgender? Would you lean towards the not transgender person because you say, well, the transgender person, they're dealing with a host of psychological issues obviously.

Speaker 4:          01:24:16       Well, I mean, I, I think that you would have to think about, you know, typical aspects of reliability, just the same way you would with any other mental disorder if you knew somebody was, was manic depressive, which is super common and you have somebody who is equally qualified. He's not manic depRessive, you might think, well that might have an effect on, on how they do their job. Yeah. so maybe, I mean, I, you know, I've, I haven't had enough personal experience with transgender people to know whether it would impact a secretarial job or something. Probably not. Yeah, probably not. But again, to pretend that like transgenders in the military, this seems to me like in a decision that should be made my military people who actually have to determine how much does this impact the job and if you already have a group of people with a 40 percent suicide rate who have high levels of higher levels of instability, is a group not individually as a group and you're choosing which groups to pick from to be on the front lines in small units living under severe pressure for months at a time. Like is that something that, is that what you're going to go for or is that something where you, you'd have to overcome certain presumptions in order to get theRe? Yeah, I tweeted

Speaker 5:          01:25:17       something that kristen beck wrote the other day. uh, but when the military band, when trump apparently there was not a real.

Speaker 4:          01:25:24       I know it's bullshit. I mean based, just to distract from the sessions thing. Is that what it is? Yeah. Yeah. I get to 10 minutes later he was back to 20 minute sessions here. This was the part about that I didn't like. Like I actually agree that there is a question as to whether the military should be recruiting transgender people because I think that the military has certainly it. It creates a bunch of questions, not just questions about who showers with whom, but also questions like, okay, you have a transgender man. Does he have to fill the female standards of fitness or the male standards standards of fitness or like these are actual questions, does it? How does it work with troop cohesion? Right. You have a group of men and I have men. He's technically a man, but he's had you treat as a woman like does he have to carry the same amount of stuff?

Speaker 4:          01:26:00       Is the guy like how does that work? Exactly. It does this the cost of gender transition surgery and hormones and psychologists like, does that come into play at all here? Would you recruit from the anorexic community for the military? That's it. These are like real questions, but that said, that's why they commissioned a study from general mad as hell at department of defense. He was going to look into all of this and then give a report in six months and trump just sort of tweeted it out there. I agree that I think that trump's general, you know, his general attitude on it is probably correct in terMs of what the military is. They're doing what, what it's not there to do, but what I don't agree with is how he did it at all because it's disrespectful to the people in the military who are transgender.

Speaker 4:          01:26:37       I mean like I wouldn't want to find out in a tweet. I want a better rationale then to tweets and then we're back to. And then we're back to, you know, like, look, they're doing more than I am serving in the military. I didn't serve in the military. It seems like it would be pretty hypocritical of me to say, well, it's perfectly respectful to say in two tweets you're out because that's the way it is without any sort of supporting argumentation. And he didn't actually implement a policy. He didn't give the policy to the defense department so they could even implement it. The pentAgon says they're not implementing it because they don't have a policy, so as a pr thing, so this is a weirD pr thing, but it really stirred up people in the designed to do. Right. I'm sure. Well, either that or he just felt like tweeting.

Speaker 4:          01:27:15       I think that's what I. I think that's what it was. I mean he wanted to shift the conversation and it was the funniest thing about that is that he did it in two tweets in the first half of the tweet was in consultation with my generals in my military experts. We have decided that we will no longer accept ellipsis 10 minute gap transgender people in the military. So there was a, there was a, there was a story at buzzfeed that was kind of funny. They went and interviewed a bunch of people in the pentagon and a bunch of the people in the pentagon or like during that 10 minute cap, I didn't know whether we were going to nuclear war, what right. Because that first screen we will no longer could have been north korea's missile missile test program. So. Wow. Yeah, they, it, this again is evidence.

Speaker 4:          01:27:53       Uh, you know, I think it's an example of even if I think the policy is good, good policy done the wrong way is actually counterproductive for the policies that I want to see. None, like I want it laid out by madison. I want to lay it out by defense department. I want all the reasons laid out so we can have a good discussion over it. I don't really want Just like thought vomit on twitter. That's just not, I don't think it's effective. Well, it also seems that this issue is such a hot issue and it's also an issue that you're not really allowed to have an opinion on other than the standard opinion is always trapped in a man's body and this is the way it is. And by the way, this heart healthy this day. Cardia notion that it's like a man then the, the, the soul in the machine.

Speaker 4:          01:28:32       And there was a woman deep down for 40 years we had three children with a man's penis and now is now is escaping. Whereas like ghostbusters again goes faster. If you've seen the man in england, was it in england, knows Germany, the man identifies as a six year old girl. Yes. And so they turned them into a six year old girl. So there's this clip that clip with me that's going around the internet a fair bit when I'm talking to a college girl about this and she, she's saying like, men or men can be women and women can be men. And I said, well, how old are you? I love that clip. I mean, come on, why aren't your 60 actually six days. And she, she's like baffled lIke what? And then it finally hits her and it's like, well, you know. Yeah. So it's. I think this is what's kind of frightening about the age we live in is that we can't even come up with common definitions of basic things. How are we Supposed to have conversations with each other if we can't decide what a man is or what a woman is or, or whether a scientific fact ought to be relevant or not. At least we could decide what was the scientific fact or not before and now it's like the subjective has just eaten everything. If I don't think it's a scientific fact, it's no longer a scientific fact

Speaker 3:          01:29:36       and that's for amateurs of the argument. It's become About freedom, the freedom to be your authentic self versus biology.

Speaker 4:          01:29:43       Right, and again, be be be your authentic self. I don't give a shit. They will do whatever you want, like you know, more power to you, but it is no longer about your freedom to be your authentic self when you're talking about either the legislation that impacts how I run my business or how I raised my child or your suggesting that it is my duty to humor your authentic self. Like I think there are a lot of people who do stupid crap their entire life. It's not my job to humor their authentic self. I mean I'm, I'm pro drug legalization but I've never done drugs and I think the drugs are stupid. You know, don't tell me that I have to like cheer when somebody smokes a joint, like do what you want, but don't tell me that I have to redefine what I think is good and bad behavior. LIke that's silly.

Speaker 3:          01:30:19       Yeah. It doesn't make any sense. And the other thing that it became this weird political hot point where we're talking about bathrooms. Yeah. And then it become like the number one.

Speaker 4:          01:30:29       It was easy for people to sort of boil down the argument into that I think, right,

Speaker 3:          01:30:32       of course like this, what about my children? My children would you want a bathroom and a man with a dress is going to come in and he's going to claim that he's a identifying as a woman. And it got to the point where so many people were upset about it that people were boycotting South Carolina.

Speaker 4:          01:30:47       This one I thought was amazing was, was the ncaa saying they were going to remove the final four from North Carolina because they passed the bathroom bill in North Carolina and I, I asked online, okay, so when are you going to abolish the separate male and female divisions? Of the ncaa, like any you've said that we can't have separate male and female bathrooms were biological males play and biological males go to one bathroom and biological females go to another. So why do you have separate divisions? Why do you have a. Why do you have an ncaa women's division and an ncaa men's division? Yeah. Where does this go? I mean eventually it boiled down. I mean eventually it goes to one place or another. Like either we just say this is a step too far. It gives me a break, you know, science has no. Or we say anyone can be anything at anytime. A man is a woman and a woman as a man and you know, it's in just pick have you.

Speaker 3:          01:31:34       We're seeing the videos of people that are gender fluid. I have seen those videos. Those videos are fascinating. They wake up one day and there were a woman and the next day there are man. And so there was a guy on npr, on radio lab on the podcast who transitions at times of stress makes perfect sense to me in the middle of having a conversation. I just switched. I'm paul now. I'm amanda. When

Speaker 4:          01:31:58       he's more stressed, he switched into a woman because that'd be really sexist, right? I mean, I think that like if you're stressed at work and he switched into a woman and started crying, that seems kind of sexist to me. That's implying that women are the people who cry at work. So that is sex. So this raises a bunch of other weird questions like, okay, if you're like there's, there's been this. again you want to talk about weird. There's been this, this, this weird push in parts of the trans community to suggest that a male who doesn't want to have sex with a biological male who says he's a female, is a, is now a sexist against women? Is it trans folk? Right? you're a bad person if you're a man who doesn't want to have sex with a man, a biological man, and it doesn't make you gay to do that. Right? If you have sex with a biological man who says it's a woman that's straight sex, but if you were to have sex with a biological woman who says she's a man, you're gay.

Speaker 3:          01:32:42       Yeah, kind of weird. Definitely weird, but I have seen the arguments in the blog Posts and the tweets about men who discriminate against trans women who do not want to date trans women

Speaker 4:          01:32:53       and people keep saying, well, it's. It's culturally defined. It's like, no. That's called evolution. What? You have a baby together, correct? Correct. It turns out that evolution wants men to have sex with women. Like, I'm sorry to break it to everybody, but evolution really relies on human reproduction. Okay. If you put that thing in the wrong place, it ain't going to reproduce. Like that's just salary. I mean I don't. I don't know why I have to keep apologizing for science and, and then they say that my party is the party of non science. Like what? Like you're the ones who say that two minutes before my baby is born, it's not a baby and a man can be a woman, but I'm anti science. I'm just, I'm am wildly confused by this. Well, the whole thing is

Speaker 3:          01:33:30       wildly confusing. Um, but it's just such a strange subject. It's such a strange subject that's been brought to the fore. I think it's about more of the moral posturing than it is about people who actually think this is a major issue. I think you're absolutely right. And I think people love to be virtuous. They'd love to be on that side. They live to virtue signal. How dare you, how dare you with dick's or lack of fake dicks, but they don't really have a lot of fake dicks. they don't really go that far. They just sort of take testosterone and see what's up. But it's just, it's a, it's a weird facet of our society today that is unexpected. I mean you go back 20, 30 years and it was an oddity and you know, even during the renee richards thing, it was more of an oddity than anything

Speaker 4:          01:34:14       I think just sort of accepted that. This is why I say I think that it's a think that a lot of people who are virtue signaling are still treating it as an oddity. They just won't admit that. I think that they're watching it because it's a circus to them and I think that's actually cruel. I don't think that you should like put people who suffer from mental illness on the cover of magazines. I just don't. I think that that's bad strategy. What about bodybuilders? I mean, I don't know that. I'll be honest with you. I don't know that much about bodybuilding. I mean, well they don't. Do I look like I know that much about

Speaker 3:          01:34:39       the argument that I've heard of crossfit guy. I'm more of a marathon runner. What I've heard the argument about bodybuilders that they suffer from it as well is that in order to get that big, you almost have to have some sort of a body dysmorphia. You. You have to not understand how insanely huge

Speaker 2:          01:34:58       you are and they'll be really into it. Their argument is they're really into it and which makes sense to me, but I've heard people say that, that it's. It's like almost like a reverse anorexia. They never feel like they're big enough that people say that before. Yeah. Well, it's weird that the human mind is suspect or uh, subjects were really open to suggestion. Really open to suggestion, which is what scares people about children transitioning for sure, for sure. I mean, listen, you, you see it in everything including fashion. Like how many dudes wax their chest now 30 years ago. Nobody likes theiR chest or they waxing to waxing jeff chest, wax their chest whenever, whatever it is, questions about the youth are turned to young jamie. Yeah, it did. But you watch tv now and every dude on tv has a chest as bare as my young 14 month old son.

Speaker 2:          01:35:41       So I hear you. And it's like, where'd this come from? and this came from grades. We'll look chiseled. And it also came from tv and tv. It was going to be men are going to be hairless. Now this is, this is the new trend of men are going to be hairless and you don't, you don't get the burt reynolds like bare chest anymore. And so if people are susceptible to even that with regard to fashion like people have for for five years, people convince themselves that skinny jeans or thing like people are open to to virtually any sort of suggestion, bell bottoms that come in and come out member when they try to bring bell bottoms back. I did or did not a good call. They tried and people are like, nah, not this one. Platforms when they used to be our platform shoes that that's why I'm just keeping around all my dad's old clothes because eventually they're going to come back in again.

Speaker 2:          01:36:21       You never know. Yeah. The, the idea of fashion and culture also being like the saMe sort of mechanism that allows people to be variable when it comes to their gender. That's. I mean you actually see that there's a study. I thought this is fascinating. There was a study in britain or Poland, britain about sexual orientation and what I found was 95 percent of people over the age of 60 identified as exclusively heterosexual of people who are under the age of 30, only 42 percent identified as exclusively heterosexual. It was like, okay, well in two generations it's not that half the population became bisexual, right. That is not a scientific thing. That means that people are open to suggestion about their sexual behavior, which you would assume. Right. So, so assuming the culture has no impact, and this goes against the whole of born this way aspect of the homosexual rights movement and the gay rights movement that says, oh, you were born this way.

Speaker 2:          01:37:11       Like I agree that there's a genetic component to sexual behavior, but the idea that that's what, why 50 percent of the uk population has shifted toward, you know, I'm open to anything. culture has something to present at, as I say 95 percent people over the age of 60 and then 42 percent of people under the age of 30. So that's it. So that's 42 percent. Say that exclusively. No, no. Forty two percent of people say they're extremely, extremely, extremely, a heterosexual, extremely high forties, exclusively heterosexual. So 60 percent, nearly 60 percent, 78 percent say that they are on the spectrum, but not exclusively heterosexual. That's fascinating. I wonder if they only talk to women who are drunk, like young drunk girls. They get crazy, but I think also for perella thing, right? Where adam adam has a whole shtick about like in the future there's going to be a point where guys are considered gay if they won't kiss another dude.

Speaker 2:          01:38:06       Like, what are you gay, you afraid that your gay kiss another didn't show me you're not gay. It's, we've gone. We've gone around the bend a little bit. We have. There's also this thing that I think happens when you have to very clear sides, you know, were you have teams and you sort of a line in the sand not supposed to cross and there's the right side and there's the left side and we have that in this country. We really don't have a third party option. No third parties are kind of a joke. And whenever you have two opposing viewpoints, people dig in. Have you, have you seen this new documentary about, um, William F. Buckley, gore vidal. And the debate is any good. It's great. It's really interesting debates they had during the 1968 election. It's fascinating to watch some of those debates, but yeah, it's intense.

Speaker 2:          01:38:54       Yeah. Particularly the little buckley threatens to punch, fit all queer and says, I'll sock you in the face and you'll stay plastic flask. It's weird because it's a pastor. It's spectacular. And it's such a like, it's so in the, the speak of the day, you know, like 19, 68, the brahmin accent. It's, it's, it's great. Like it's almost british accent. Yeah, it's fantastic. It's really interesting. And then. But these, I mean, it's that thing, this my team versus that team and uh, I think the left is guilty of it as much as the writers guilty of it. It seems like it's, it's a real issue where there's a lot of people that have ideas and opinions. It's sort of cross party lines, but uh, they vote on one side or another and they vote for their team. And I think that's right. And I think that, especially in this last election, I think that was true.

Speaker 2:          01:39:45       I think that people felt so alienated by the other side, like to understand a lot of people who voted trump. You have to understand that there are a lot of people in the country who felt insulted by the left. They were just sick of being called a racist, sexist, homophobes. Every time someone wanting to advance a policy on the left, and so they said, okay, screw that, or at least trump's not calling me that, so I'll do that, and then there are a bunch of people on the left who now feel insulted by trump's even presence and they think all the people who voted for trump are those people until they're fighting racism, sexism, bigotry, and homophobia by voting against trump. Again, I would go back to this at the end there, there's a hardening of of it. There's not one bubble in the country. There's still, you know, the right likes to accuse the left of being in a bubble in the coast.

Speaker 2:          01:40:23       There's a bubble on the right to which is the idea that everybody on every piece of the media is lying to you. Right? Is fake news. Everything's fake news. Fake news. These bubbles are not healthy for the republic. I mean, what? We can't have conversations with each other. If we, if we do this 10, no deception is not healthy across the board and there's another thing that's going on where everybody's a nazi, like I've never heard people called a nazi more than i have over the last six months. I mean, it's been crazy. If you support trump, you're a nazi, you're a neo nazi or you're somehow

Speaker 5:          01:40:54       or another, you're a fascist. If you didn't vote for hillary, you're a nazi. Like some people have boiled it down to like the purest form.

Speaker 4:          01:41:02       Yeah, I, I agree. I mean, first of all, it demonstrates tremendous historical ignorance. Forget the holocaust. Like you just look at what, who hitler was in the policies. He promulgated, like he was basically. He was all over the place when he wanted to talk to socialist. He was a socialist. What do you wanted to talk to capitalist? He was a capitalist. He was. He was a top down government guy for sure, but he would speak the language of, of, you know, what would be considered the european far right today on a lot of, on a lot of issues. But then he would talk about redistribution of resources and universal healthcare and all this kind of stuff, and I'm moving guns, but he's just a convenient club. I mean that's just a convenient club because then and then did this part that scares me. Once you say that somebody is hitler, then it actually becomes obligatory to physically resist them. Then we can say, you can't have a conversation with hitler once you say somebody, hitler the kkk, what are you? What are you going to do? Let's have a conversation with them. At the very least you won't talk with them and at the most you might try to punch them.

Speaker 5:          01:41:54       That is really a problem with that. Those the nomenclature, right? That's really a problem with identifying someone in that way that they. They are someone that you have to resist and they are someone who cannot be reasoned with. The are someone who is absolutely evil. There's no like variables are variants in their behavior.

Speaker 4:          01:42:13       And, and listen, I like fiery political rhetoric. I find it fun, but I think once you label somebody, you know, completely evil, you have a responsibility not to debate with them. First one is really not to talk with them. Even the conversation legitimize islam. Yeah. I mean that like I'm listening. I'm sure you're gonna get a bunch of shit from people for even having me on because the idea is going to be, well, how could you have on somebody like superior legitimizing his point of view by having them on. I know a lot of people who I politically disagree with who've had that experience, what will have me on their show and it's like, how dare you have shapiro on because you're just granting him cover, you know, like, or we can just have a conversation and maybe we'll disagree. Maybe we'll agree.

Speaker 5:          01:42:49       Yeah. I really don't give a fuck about those people. I think that's a silly conversation. I feel like you should talk to everybody and if you disagree or agree. I have friends on that I owe my friend yesterday I had on eddie bravo. He believes in everything is a fucking conspiracy. I disagree with him wildly and I love him like a brother. I don't think you have to agree with people and I don't think you have to at the idea that you can't just have a conversation with someone about something and see if you can find middle ground or see if you could clearly define their point of view or find their perspective that's missing today in a weird way, and one of the weirdest things about the election was the ping pong match between the left and the right as played out on national television by the media. I would watch, especially cable news. I would watch fox news and then go to cnn and go back and forth flip channels. You know you have that previous channel button down the direct tv. I would just put it on both of them go, what, what? What's really happening? It's beautiful. The

Speaker 4:          01:43:42       worlds. My mom said this in 2012 with romney and obama. If you read the right wing media, there was no way romney was going to lose and if you read the left wing media, there was no way romney was going to win and she said, which one of these do I believe in it, so it's probably somewhere in the middle like I have a basic rule which is that if you have a New York times report and then you have a report from my site that daily wire and they share the facts, you can probably assume the facts are true, but the opinions that are embedded with the facts, those are opinions and that's what's so hard about. I think the modern mediA landscape is trying to separate the facts from the opinion and so this is why when trump says fake news, he's not wrong that cnn hates him in the New York times hates him. He's right about that, but just labeling it all fake news is inaccurate also because most of what they're reporting is true, right? It's just that it's biased against women can be both true and biased and I'm true and biased. Right? I say things that I think are factual, but I'm obviously conservative. That's my point of view, you know, tough shit. So that's. And you're

Speaker 3:          01:44:35       commentator, right? That's what you do. I mean, half of it is, you know, riling people up saying provocative things. I mean that's.

Speaker 4:          01:44:42       This is, and this is where I think the right is correct about cnn and the New York times and some of the other networks, like though, if you ask the right, what pisses you off more cnn or msnbc, most people in the right will say cnn, not msnbc because msnbc is honest enough to say we're on the left and cnn pretends we have no bias. We're above all that same thing with the New York times, know we're above all that and then they run the most egregiously bias headlines. So we'd go, well that if they're lying about that, they're lying about everything.

Speaker 3:          01:45:07       You know, one of my fast, my most fascinating characters of this whole play with Scott Adams, and particularly because Scott Adams, and when I had him on my podcast, he was saying he doesn't even vote. Yeah. just like what I am. What I am paying attention to, he goes, I'm a trained hypnotist and I'm paying attention to the powers of persuasion and I'm looking at trends and I'm making some predictions that turned out to be accurate. And he's like, he's looking at trump, but he's not talking about trump and in these glowing terms, he's talking about him as being an effective persuader and he lost millions of dollars because of that opinion. Talking about a guy that he's not even going to vote for. I mean, this is all leading up to the election where people were fucking furious at him and even more furious at him after trump won because he would do those coffee with scott. Things we does on periscope where he wakes up and he's just starts answering, asking questions and he's so measured and calm. And he had a podcast recently with sam harris where I think it was just like a little too far over the edge of apologizing for some, some, uh, trump's behavior and sort of attributing some of trump's behavior too, that you could say was in competence and attributed to the, like some, some, some sort of a master. yeah.

Speaker 4:          01:46:21       Smelly quarrel with scott I think is that he tends to believe that everything trump does is 987 degree underwater, upside down, hungry, hungry hippos. Like everything is. It's all just absolute genius and it's three steps down the road instead of like stumbling his way to victory. Okay. I knew everyone involved in the campaign, like every single person who is involved in the campaign. I knew this was a stumble their way to victory. It is amazing the minds, human beings are. We need to think it's sort of the joker says in the dark knight, we need to think there's a plan. We always need to think there's a plan. And so if trump won, it must be because there was some master plan that he unveiled over the course of the campaign three weeks before the election. He was caught on tape saying that he wanted to grab women by the p word.

Speaker 4:          01:47:03       No, there was no master plan. Right? It's just that hillary was an awful candidate and no one liked her. Okay. The, the, the idea that the trump was like, even the idea that there was a broad national movement for trump that wasn't there for other candidates. He won fewer votes in Wisconsin than mitt romney did. And he won the state. And that's because no one liked hillary. I mean, this is the untold story of the elections. This was not a referendum on Donald Trump. This is a referendum on hillary clinton, particularly in the heartland. And people hated her guts, right? barack obama won Ohio walking away. everyone talks about Michigan and Pennsylvania and Wisconsin. Nobody talks about Ohio. Trump won Ohio walking away. One of the reasons he won Ohio walking away is because in 2012, barack obama really drove out the black vote. The percentage of the black vote, typically in Ohio, it's like 10 percent of the general vote in 2012 was like 13 to 15 percent of the general board and that was the entire margin of victory for obama in the state of Ohio. Hillary got closer to sort of the traditional percentages and she lost in a whopping blowout in Ohio. No one likes hillary clinton and the left was so arrogant that they thought we can take the most unpopular, unlikable, unqualified, nasty, boring human being anyone has seen for 20 years and we'll run her. She's the one will run. But do you understand that the company would have to look helen competence. You have to be to lose to a celebrity game show host.

Speaker 2:          01:48:21       Like you hAve to suck at this in a royal manor. Where at one, I don't know. Now, now that thIng, the floodgates are open, but don't you think senator rock man, apparently he's like way ahead. Well the, so the. So he's going to win the primary. If he didn't win the primary, then he would have to run as an independent. Then he'd be indie rock. Right. Right kid rock is gonna win the primary. Oh, well we can only have one, two. Once he's in the office, he grows into it and it becomes adult rock. How's ted nugent not run for office yet? That's what I want to know. How does he not know jim rock given a conversation about running for president, you know, and that, you know, if the people really wanted it, he would do it. And I was like, oh jesus, I just can't wait for the rock.

Speaker 2:          01:49:05       Oprah, you know the rock my. When the rock might win. If oprah ran in 20, 20. Yeah. Is she the rock with oprah? It's a fucking dual take. Slam dunk man. The rock and oprah together. So I have this weird idea that we should actually reinstitute a monarchy and it shouldn't just be ceremonial and they can be a celebrity, right? I'll just make a celebrity monarch and that person will just be there to look pretty and queen of england, but don't really have anything. No power, no power because we keep conflating the presidency with like who actually has to do things right? But like people who would want to represent the country. Yeah. We have a popularity contest. So who gets to control the nukes? Which is insane. That's pretty wild. That's pretty wild.

Speaker 4:          01:49:42       And I think that, you know, this is, we all think in cinematic terms now and you know, hollywood is run by the dopiest jackass is like, I grew up with all these people. These are not people who you want controlling the narrative. And then we're like, you know what? Let's take. If tom hanks would only run if tommy,

Speaker 2:          01:49:59       what makes you think tom hanks would be a good president? Like did you look at trump and when god he's doing such a brilliant job, but we really need now is the guy from castaway and we need as an actor again, we did well with reagan. We need another act. We did great with swarts and anger is the governor late. At least. Reagan was governor for 20 years before he, before he was the president of the United States. I mean, let's, let's, let's put them, let's put them through the ringer. I mean, shorts and I got approved in eight years that he was not capable of doing anything except kind of sucking will you ever heard him talk about it? The way it. From his perspective, he's lIke, you don't really understand how much red tape and bullshit you have to go through. He goes, I would meet with people and they would agree with me that it's a good idea. However, they would say my voters are never going to agree with it, so I'm going to oppose it. So even though I know you're right, there's a bunch of farmers that are going to be mad at me for doing that, so I'm not going to do that. Well, this is the other thing in politics that really drives me nuts. So there are two promises that politicians make that are complete bullshit.

Speaker 4:          01:50:48       The first promise they make is I'm going to go to Washington dc and I'm going to get things done. No, you're not. Okay. The system, the system is built for gridlock. It's built for gridlock. It's why we have two separate houses of congress. It's why you have a president who can veto is why we have a supreme court that rules on cases is built for griddle. It's wHy we have states that are supposed to be able to check the federal government. All of a sudden the federalist papers, it was built for gridlock

Speaker 2:          01:51:08       and some people are happy with that because that's how trump is being like sideline that every time he tries to make something really important, I think

Speaker 4:          01:51:14       they all should be happy with that because the only way things were supposed to get pastors with wide public support, right, which she's probably a good thing. We don't want the government shifting wildly and veering on its access every four years or every two years. I liked the gridlock. My big problem is that the gridlock now protects a huge system that I don't like that's been built up over 100 years and in the case of growth of government, but I liked the gridlock, but that's one promise that's made and then people are disappointed, oh, if we get in there, we're going to repeal obamacare. It's like, no, you're not. You're not. I mean like you can promise it, but now you're not going to do it because you're full of crap wHen you said it and now you're not gonna do it, and the gridlock is there and it's hard to change things.

Speaker 4:          01:51:51       It takes a tremendous effort of will and electoral power to actually change things in a big way. So this idea will elect trump and trump, like trump would say, it's all going to be so easy. It's like, no, it's not. It's. It wasn't easy for obama. Obama passed obamacare and that was it for his presidency can do anything for the next six years. There were no major pieces of legislation. Nothing happened after that. He lost congress and that was it. Okay, so that's a promise. Number one, the other promise is your anger is justified, and this is the one I hate even more, and that is the idea that you know in, in regular life, when you have kids, I have kids. When you're a kid is angry. The first thing you have to teach your kid is maybe you're wrong to be angry sometimes, right?

Speaker 4:          01:52:25       Your anger is not justified. If you want to make good human beings, you have to determine whether they are right to be angry. Is he? Is your anger correct? Politicians are in the business of justifying people's anger. Oh, he heard this about the trump voter a lot, right? They're so angry. They're so angry. Okay, well I'm angry too about things, but are they angry about the right things? Right? Like, and trump would say, you're right to be angry because you've lost your job in podunk, Ohio because it's being stolen by the chinese or by the mexicans or something. And it's like, well, is that factually true or are you just are just pandering to the anger and on the left you hear people say this to to black folks in the inner city. It's the system that's keeping you down. It's a racist white supremacist system that's keeping you down.

Speaker 4:          01:53:03       Say, well, is that true? or I just pandering to the voter because it's hard to tell people hard truths like you're not right to be angry. Get off your ass and do something with your life. and it's true for it, regardless of race, you know, go out there. No one cares enough to stop you and your life. Your life is your own. No one in the United States cares about you, wants to stop you. Who wants to throw obstacles up in your own way? I'm not sure you can win an election on the basis of go live your own life. Even though everyone keeps claiming they want to live their own life. I think most people are full of it. I think most people don't want to live their own life. They want a politician to tell them that all of their complaints about life being unfair or justified and the politician is going to solve all that. We don't want people who stay out of our way. We want people to be mommy and and you know that's, that's attempting, attempting proposition for politics.

Speaker 3:          01:53:43       A lot of that when you talk to adults because you're dealing with people that have the momentum of all their failures in life and all the different things that are not going right. And then here they are this moment today, right now, and they want to figure out why and why they're not on track in the how to get on track. And the easiest way is to point the finger or blame someone else and everybody has their own hand. I'm not saying that people's hands or are fair and that person doesn't have it easy. A lot of people that have it easy, I have it easier than a lot of people for sure for sure. Absolutely. But the reality is there's a tremendous amount of psychological factors that go into why someone does or does not succeed and to placate them or to, you know, to, to play on those psychological factors as you know, not being their own fault. It's very tempting because it works with people. People love to hear that. They love to hear that it's not your fault.

Speaker 4:          01:54:38       Yep. And I think that's what politicians have become in the business of doing. And it's both right and left. It's just people saying that it's not your fault because you're being screwed by some foreign country. It's not your fault because the immigrants are doing it to you. It's not your fault. Well, as maybe some. Maybe some of that's true, but you have to show me why it's true. You have to show me what the actual like. Did you lose your job because of and because of China or did you lose your job because you're in an industry that is being crowded out because of technological change and because your union struck and created wages too high to be globally competitive. Like let's look at the actual logic here is to enhance and then how can we change it? How can we make it better? How can we.

Speaker 4:          01:55:13       Is it something we have to do or is it a matter of you need to broaden your skillset. Like you see a lot of people now who are stuck in the mindset of 30 years ago that you're going to work a job and stayed there for 20 years and then you're going to grow and then you're gonna leave with the gold watch and that's not the way the job market works anymore. I mean, if you're. If you're entering the job market right now as a college student, you can expect that in the next 10 years you'll probably work four jobs. You like the, the turnover is too great and you have to be constantly increasing your skill set. Also with

Speaker 3:          01:55:37       every new innovation, there's businesses that branch out become new,

