Speaker 1:          00:00:08       The joe rogan experience. Joe Rogan podcast by night. All Day.
Speaker 7:          01:16:08       What do you do? I mean, how do you, when joining Isis and people keep joining al Qaeda and you know, there's a lot of those vice I think did something called like children of the drones and talked about how I think me, me and Shane Talk to you about it last time we were here, but it's, it's, you know, people whose families have been killed by drones, they'll sign up. Of course, they'll go do that. And you would do, and I would too, if you were in that land and your, your, your family got killed by some fucking robot shooting missiles out of the sky. And they killed the wrong people, which happens more often than not. Yeah. They're way more unsuccessful than they are successful. And they think about it this way, Joe, like their lives just don't count like our lives matter. You know, like this happened in Paris.

Speaker 7:          01:16:56       It was terrible. This terrible tragedy. There's no justification for any of this. But then it's, you know, what's going on with Boko Haram. Those lives aren't worth as much as the ones in Paris, at least in the eyes of the press and in the eyes, the aid and because of Somalis that were killed and their black. Yeah. I mean, I think, yeah, those are, those are some of the factors. I think there's even more. But even with drones, it's like we accept that innocent people get killed. If this was in America, I mean, we wouldn't accept this is it? It's cops. Imagine if cops were using drones, we wouldn't fucking accept that. Yeah.

Speaker 7:          01:17:33       It's Nigeria actually. Yeah, I was wrong. But the, uh, I dunno man. This is the world today, the climate of the world today. It's so disturbing. It's so disturbing that we would think it's okay to engage in a practice where the great majority of the people that get killed by that practice or innocence, which is what drones are. Yeah. And also the thing for me is just like, I definitely, I definitely fully agree with you that there is never a reason to kill anyone over a satirical article picture, whatever. But the fact of the matter is it's like do we want to save lives or do we want to make a statement about free speech? Yeah. I think it's about saving lives. I think it's about doing the right thing and saying these people feel oppressed. We've killed, you know, who knows why they're joining Isis, who knows why they're joining al Qaeda, but we need to go the extra mile and figure out why they're mad, address these things and not just like sit on our high horse because they're mad and they probably have some reason for it.

Speaker 7:          01:18:38       And whether it's rational or not, let's diffuse it instead of inciting it. Like, that's my opinion is that we're not wrong. But like let's solve the problem. And the problem is once you have someone whose child, who's the child of someone who was killed by drones, or your children were killed by drones and you become, you know, this sort of, uh, a radical fundamentalist, it's, you can't turn that around. Like how you, there's no eye for an eye there and it's just like they, you've created something that almost has to go through generations and generations in order to calm down and, and there's no way to have any sort of immediate fix. And everybody wants an immediate fix. You want an immediate fix? No, man, this is going to take a hundreds of years. And imagine even if you weren't killed by drones or you're just a kid in Iraq or Afghanistan and you've seen your entire neighborhood blown up and you're born into this life, you have no choice.

Speaker 7:          01:19:29       You have nowhere to go, you have no opportunity, there's no hope. And then the one thing you have is religion. This, these people writing these cartoons making funny you like, what else do you have? You know, we're really kicking people who are, who have nothing. And when you poke people who have nothing, not in a, it's not reasonable, but bad things are gonna happen. And that's what fuels the sort of crazy conspiracy theories about the military industrial complex being the sort of perpetual war machine, like create enemies like that. That's the way to create enemies, destroy areas, uh, kill a million innocent people

Speaker 3:          01:20:08       in Iraq. That's the, the number that I've heard. I mean, I don't know what the did, somewhere between several hundred thousand and a million innocent people have died as a direct result of our actions in Iraq. We just as a number alone man, that's almost ensuring there's going to be some sort of a fucking military conflict over there for a long time. And the people that are alive today that are involved in selling arms and the military industrial complex, they're going to profit off of that action for a long time. And what do we have against these people? You don't have anything against them. Don't have anything against them. How could you know? I were there like no idea. And we're there for false pretenses for both places, whether it's Afghanistan or Iraq. The idea behind it was a lie, especially Iraq. I mean the idea that, you know, the one thing is like, hey, you know, we got rid of a dictator.

Speaker 3:          01:20:56       Yeah, we definitely did. He's a piece of shit, no doubt about it. But as a piece of shit, we propped up, we put them into place in the first place. We helped him out and now what's better? What's better? Is that better than Isis? I mean, we divided that country. Yeah. You know, we divided that country and then Palestine, all the countries had something to do with that. And, and then we look at Iraq and people, even the cynical ones are like, we're there for oil. But look at oil prices now with fracking and natural gas. Now the oil price has dropped. And like, so now why are we still fighting people while still money? You know? Even though this not as much money, there's still a shitload of oil. Yeah. Like I'm against fracking. But if it can create Middle East peace, like maybe I'm for fracking, you know what I mean?

Speaker 3:          01:21:37       Like I'm definitely against fracking, but it's just like we can't win with anything. Then he, yeah. That's, uh, people are gross. Yeah. And you know, anyways, yeah. And, and the, they say the world temperature was the hottest year ever on records and they kept, and they said that by 2025, it's going to greenhouse gases. The temperature of the earth will be irreversible and like, who knows if that's true, but I mean, I feel like we should just start to work on an owl, you know. Well, do, they could start to work on it now, but I think the real issue is once this cycle has been, it has begun. It's almost impossible turnaround. It's kind of got to play out. I had this guy, Randall Carlson on my podcast and he's going to be on again soon, um, and pull that shit up February 2nd. He'll be back again.

Speaker 3:          01:22:27       And he's a fascinating guy and he's an expert on cataclysmic events and, um, and, and global warming, he said is far preferable to global cooling. He's like everybody that's worried about global warming, all the great periods in history as far as advancement, as far as like a innovation civilization. They all have followed, grow global warming, global cooling on the other hand. And these were all natural cycles before we started inventing machines and carbon emissions and all that shit. But the global cooling, he said, I, sage is terrible. Yeah. I mean, we could debate this forever, but the thing is, is this is an artificial warming. Well, it's artificially accelerated. The cycle has always been, there's a natural cycle that you could track that's always existed of warming and cooling and uncontrollable, like the ice age that wasn't caused by man, you know, and the ice age. The ending of the ice age also wasn't caused by man.

Speaker 3:          01:23:23       They believe it was caused by Asteroidal impacts around 12,000 years ago. But this is something that Randall's an expert in. I mean, he had, he had these charts and graphs and showed us all these, uh, these photographic pieces of evidence of global warming's a good thing. He doesn't, well, he, you know, everyone's like, the debate is settled. He's like, the debate hasn't even begun. Like it hasn't even been gone, but he's saying this, this is not, it's, look, it's definitely not good. Pollutants aren't good particulates or what he's really worried about more than the warming. He's worried about what we're doing to the air and places where they're, they're burning coal. Like if you look at China and these cities that are almost unoccupied bubble like you, you, people can't live there. They're walking around with the fucking masks on their face everywhere. The Sky is perpetually dark gray.

Speaker 3:          01:24:07       He said, that's particulates. He said, that's what we should really, really be concerned with pollutants, what we're doing to the ocean. But he's like, global warming is a bad thing, but it's not nearly as bad as the alternative. He says. Interesting. Global Cooling is terrifying. I got to listen to that one. Ooh. He scared the fuck out of me. Yeah. Well, he also scared the fuck on me because he was explaining all the verifiable instances of asteroidal impacts throughout history, verifiable where they've asteroids have hit or comments of hit, things have hit the earth and just fucked everything sideways and this is what they teach. They tie this into these ancient structures that are totally unexplained. Like there's some ancient structures from pre 10,000 years ago that they didn't even know people could build these kinds of things. Back then they thought the 10,000 years ago was like people were hunters and gatherers.

Speaker 3:          01:24:59       So they've tried to explain a lot of these structures, especially cause they're made out of stone. They've tried to explain them by saying no, they were built, you know, much sooner by you know, modern people and they just forgot how they built them. And they were built like 2000 years ago or something like that. But they have, there's, since they've discovered some structures that they have verified that are twelve thousand fourteen thousand years old, like there's some stuff in Turkey that they found this place called Gold Beckley Tempe. They found for sure 12,000 years old, huge stone columns with three d reliefs of animals on them and shit. All really sophisticated stuff for hunters and gatherers at the time that we're supposed to be wearing animal skins and thrown pointy sticks. It fucking moving creatures, you know, so the, the this Guy Randall Carlson points to all these, um, these instances of core samples where they find the stuff called nuclear glass that only exists on nuclear blast test sites and we're asteroids hit, it's all over Europe and Asia at around 12,000 years.

Speaker 3:          01:25:55       And the core samples. Wow. Yeah. So it was verifiable evidence. And this is not just him. There's also these all, all these other geologists that have found these micro diamonds that only exists from massive impact craters, massive impacts, just huge, powerful, you know, events. And they, so they think that somewhere around 12,000 years ago we were just hit, you know, and that happens. He said it, it's not, it's not whether or not it's going to happen again. It's when is it gonna happen again? And you never know. You never know when things come behind the sun and we can't even see them until it's too late because the sun, the gravity of his son Ben Space and time, because it's so immense that you literally can't see them when they're headed your way. They're headed your way, but we can't view them. So there's things that pass near us that we didn't see until it's like, oh Jesus.

Speaker 3:          01:26:43       You know, it's really too short fat. It's really too short. And even if you don't get hit by an asteroid like, dude, I'm 47 I'm halfway dead looking good, Joe. Thank you very much. But there's no getting around that. Even if you stay looking good, what are you gotta look? Look, look, I met Cindy Crawford. I think she's like 51 or something like that. So bad. Still smoke is still bad. Oh, well you know some girls, they hit that ball hard, but this bitch has been preparing for that wall. She's got fucking rubber shoes. She puts her feet up. She's bouncing back. I don't know what she's doing, but whatever she's doing, she should write books and give seminars. Yeah. She broke through that wall. She definitely, she's doing something. She's beautiful. I mean, not just beautiful for 50 she's beautiful. Oh yeah. So you know, but that doesn't matter.

Speaker 3:          01:27:28       She's going to die too. They all die. Everybody dies. So whether you get hit by an asteroid or global cooling or global warming or, but the reality is civilization itself might not exist if we get hit. That's why all the other shit we're talking about. People who are like, they treat it like life and death and it just like, like, come on man. It's perspective. Nothing's worth it. It's all perspective in his life and death for them because their life is dog shit. Know what I'm saying? If your life is amazing, it's not life and death. If somebody draws a cartoon of your fucking leader. But even when I was broke, just selling Dune, whatever, like fucking around like life was still dope is mad font. Well, you're a fun dude. You've got a great personality, which is why you're, you should be some sort of an entertainer in the first place.

Speaker 3:          01:28:12       You know you in Joe Peshy we may make this happen. You want to be the narrow, you won't be ace. Nah, come on. So I'm not interested. You don't want to run the Tan Jews. I think I do too much as it is. Um, it's too confusing already being a podcast or slash cage fighting commentator slash standup comedian. That shit is all too confusing. Your UFC, you kill it on UFC though. That shit is great man. I'm not even a big UFC fan but just cause like when it's on at the bar or if my friends are watching, it's, it's, it's fucking dope to see you on that shit man. Thanks man. Yeah, I enjoy doing it. It's fun. It's crazy how the, the athletes, the level of athletes, it's just fucking through the roof. Now you're getting these John Jones types characters, Anthony Johnson type characters such as the high level athletes now that probably would have been planned other professional sports like baseball or basketball or something like that and now they're fighting and MMA and you're seeing just, whew.

Speaker 7:          01:29:02       Just some high level shit. Gladiators. Shit. I, I could never imagine fighting any of those dudes too. So Shit, you gotta want to do that and only that, that's gotta be what you want to do. There's the people that, like David was on the podcast once David showed and he was talking to you about, uh, you know, wanted to have an MMA fight. I'm like, don't do it. He's like, I just want to do it just to say I did it. Like, don't,

Speaker 3:          01:29:26       you're going to fight somebody. You were fight someone who lives for it and you can't do that. You know your fight some dude and he'll head kick you and you'll be depressed for the rest of your life. Yeah.

Speaker 7:          01:29:35       Chose so fucking talented. And he really can do 99% of everything he wants to do. But UFC is in that 1%. It's like chill. No matter how talented you are, you will get fucked up. Well, I mean, if he dedicated his whole life to it, I mean from the time he was like 15 on Twitter's training him like a fucking broke his rib critters idea of being as personal trainers, like kicking him in the stomach and it's like take it Dave. Did they do that? Yeah, man in the stomach. He, he broke his ribs somehow training him and then I remember asking her like, what's he doing? He's like, oh, I've got Dave like running down the street, man. We just wanted it on the street. He quit. It's going to break Cho. But it's perfect for Joe. Like to have a guy like clear no critters the best.

Speaker 3:          01:30:18       So it was hilarious. All that shit that went down with him while they were, you know, people were decided. There was the same thing that we were talking about earlier. The social justice warriors attacked him because of the story that he told on his podcast. But if you know, Dave, he's got this flair for entertainment where exaggerates the truth and you know, there's no one coming forward to say that he raped them. You know, this is not like, this is like he's bullshitting. Like it's half bullshitting for fun for, for theater, for excitement.

Speaker 7:          01:30:45       Dude is this these days man, you never know what people are just

Speaker 3:          01:30:49       needing to get upset instead of actually getting upset, they're waiting to get upset. And also people have one perspective only they, oh, I watched this. Here's a perfect example. I was online today and I was, I was following this abortion debate between these two people. And uh, it was the most bizarre thing ever where someone was talking about at what, at what age does the fetus becomes a person? And the, the argument like watching both sides go back and forth and it wasn't even, this wasn't even like a right wing versus left wing side. Yeah. It was like someone who is like an objective rationalist who was debating someone who's a hardcore left winger who was also like one of these like Super White Knights defending women. You know. And one of the arguments was it was so hilarious that it's a woman's right to choose. I have no business saying what a woman should or shouldn't do with her body, which is universally like, I agree with that as well.

Speaker 3:          01:31:48       But what they were saying was this is where it got really crazy. No person has the right to exist in another person's body without permission. So we're, they were saying the argument was that a baby doesn't have the right to use a woman's body without her permission. I was like, this is fucking crazy, baby cannot use a woman's body. You were, they were there. So pro woman, so pro, right? Like you were talking about like nine months in like at what point the real debate was, and this is, I think he's a real debate and this is again coming from me who's pro choice. There's a real debate as to when is that a person and to say that it's not a debate, it's fucking horseshit to say that it's not a debate that a woman who gives birth tomorrow kills the baby today and it's her.

Speaker 3:          01:32:34       It's her prerogative. Like, okay, really like at what? At what time? Is this creepy? Is it, what time is this a born behavior when someone has a living being inside their body was not a living, being told to born well was really like, come on man. There's some you, you have to have some flexibility to your perception because this is a strange and very unusual situation where you're all, you can terminate a life. And when I think you can terminate a line, I mean the, the, the, the, the, the image that they were showing was a, um, a three day old embryo and the head of a pin. So we started this conversation, which just looks like a few cells, but when it's a fucking baby with an umbilical cord in a heartbeat and eyes and its fingers are moving like, whoa. Yeah, to pretend that's just the new person has a right to use a woman's body without her permission. Like, Oh really?

Speaker 5:          01:33:27       You're, you're absolutely right that there is a debate that that is being had constantly at what point something becomes a human being. Because there are people, I mean obviously it's a human being once it comes out. Yeah. It's, it's not a black and white issue. It's just not, it's not, it's, it's, it's very, I'm super pro choice though. And I just, as a man, I feel like women need to decide what they want to do with their bodies and you know, we run so much in this world that for me, I, I just don't want to legislate women's bodies. Like from my perspective, no one, no would suck to be in a personal situation. If I had a girl and we were having a kid eight months in, she doesn't like me anymore. Doesn't want to have a kid and wants to, I mean, dude right now would be some shit.

Speaker 3:          01:34:10       Well, not only that, like does a woman even have a right to tell a woman what you can and can't do for her body? Obviously a man, we don't understand. We don't ever get pregnant. It's not our concern or it's not a, it's not up to us to decide, I should say. But for a woman, can a woman tell another woman that she can't have an abortion at nine months? I mean like what, what, where do we draw this line

Speaker 5:          01:34:32       question too? Like where does the government have an ability to legislate? Imagine if you were dating someone and you guys were having a kid and she was eight months pregnant and just on a whim decided, you know what, I feel like I don't want this baby to be attendant in my stomach anymore. Yeah,

Speaker 3:          01:34:48       it, his baby does not. This is a person who does not have permission to use my body. Like whoa. That was the way they phrased it. That

Speaker 5:          01:34:54       would really test my intellectual an end like reasonableness.

Speaker 7:          01:34:59       Right. That would really put me to the test. And that's why when you think about those situations, you're like, king, we even logically vote on this. Like you can't really have an opinion of vote on this until you're in that situation. You kind of like needs to be, well, the person who was, who's debating was started insulting. I'm the super left wing white knight person started insulting him and calling him an idiot, which is always when you know that they're falling apart in a debate because he was saying, okay, well you were saying before that it's not a person and now you're saying no person has the right to use someone's body without their permission. So what the fuck is it? Is it a person? Are you killing a person that doesn't have the right to use your body or is it not a person till it's born?

Speaker 7:          01:35:39       And then they started insulting them because they do, they realize the moral conundrum, the logical conundrum that they're in, you know, it's a fucking real, like there's no black and white there. No. Whether you're a pro choice or whether you're prolife, that issue is a, that is a very bizarre issue. Yeah. I mean I'm all about women's rights in and rights over their body. That one, that one, I don't have the answer, nor do I want to be part of the decision making to be honest. Like I just don't feel like I got the fucking facts for that one kid. I don't think anybody has the facts without one. Well that's one of those things about life itself. If someone wants to abort a baby at eight months for no real good reason besides just maybe not wanting to pump it out, like that's dude, that's, that's wow.

Speaker 7:          01:36:19       But there's a lot of people that are willing to jump up and defend women and you know, and, and, and jump into this, this position of being the sort of the, this defender, no matter what, this defender of women's rights in the world is absolute though. Like that's the thing I think people have to believe in. And also, yeah, people hold it as like a badge of honor. I defend us no matter what insights they're looking for. Social Brownie points instead of objectively discussing a very bizarre issue. Well, it's a very bizarre issue. Abortions. Bizarre. And even you brought up tow, right? I love, we all love Chow and that, that podcast episode with the misuse rape story, Dude, that put me in a tough spot that put me in a tough spot, dude. You know, and like I, people were calling me and asking me and they're like, you're an Asian man too.

Speaker 7:          01:37:11       Do you think this is an Asian male anchor thing? And I was like, Yo, number one, this has nothing to do with nothing to do with what part of the country your ancestors came from. That's crazy. And I'm just like, but I can't, I mean, he's the, he's the homie and so like I know who he is and I know his intentions, but if I didn't know him, yeah, I'd be tight at that. Like that's if you really did that, like I never asked him, but I'm like, if you really did like in my mind, I'm like, if you did that, I don't know if he could be friends, Homey, you know? Well, what did exactly did he say? He said that he asked her to touch it. She started jerking him off and then he grabbed her head and it has her suck and she didn't want to.

Speaker 7:          01:37:51       And then he grabbed her head and then started mouth fucking her. Yeah, that's what he said, right? Yeah. Yeah. It's a whole, it's so bizarre. I get so David Cho, it's so chill. It's really the line, like the motherfucker just stands on the line and you know, you look, if you're a woman and you heard that and you'd imagine being this poor woman who was a massage therapist who's being probably doesn't speak English, taking this millionaire guys money and you really, you know, you can't, you shove them out. That's pretty indefensible dude. She's already jerking him off. I mean, what's up dad? No, no, no, no, no. She didn't want to, she just tells him want to lose her job. I'd like, Yo, I've, I'm been with women where even like, I, I'm so careful with this shit. You never know. Like I'll be dating and grow for a couple of years and it's just, you know, no forcible blowjob.

Speaker 7:          01:38:37       Do you know what I mean? I just can't, I can't do it like I, but I dated a girl who used to like that. That was her thing. She to watch porn where guys were like grabbing the back of a girl's head and forcing the head on, on her chair. And I was like, why do you like that? I mean, if somebody gives me the Asian Joe Pesci role and I have to force ginger to suck my Dick, I'm going to be morally compromised. I don't do that in my normal life. Yeah, but it's a role. But if you're dating a girl and that's her thing, she likes you to grab her head. I mean, it's not involuntary. She wants to do this beforehand. And she signs the papers when my lawyer, so that for the next six months I can, you know, do this. And that's what you want.

Speaker 7:          01:39:14       Sure. Have you ever seen that Louis Ck joke about that? No. He does it. He's dating some girl or hooks up with some girl. They started making out and he tries to have sex or she says no, and then he sees the next day and she goes, what happened last night? And he goes, what do you mean? She goes, well, why didn't we have sex? He goes, well, I tried, but you didn't want to. She goes, no, I did. And he goes, well, why? Why did you say no? She goes, why? I was hoping you would just go for it. He goes, what? You wanted me to rape you on the off chance that you're into that shit? No, she got, that's the dance. The shorty that like fucks everybody. Not only are you fucking women and women's body image and women's rights, but now you're fucking dude's cause now you just taught to do, to move, like rubbing your elbow into the boobs.

Speaker 7:          01:40:00       I mean like now you just, now you put a really bad tool in the toolbox. Yeah. It's not because the next time Louis C K gets to that. Oh it means, yes, it's a great bit. It's a great bit because any man who dates more than, you know, x amount of women, it's going to come across when you're going to come across in an aberration, a very rare person who has were like this girl that I used to date who wanted guys to grab her head, force it on her dick. Like she wanted a blow me, but she wanted me to grab it. She would like, I dated her for awhile. She was her shit. That was what she was into. She wanted to get on her knees and she wants you to grab the back of her head and like face fucker. I'm so, I'm funny, I've been in a situation where it's like I want to be choked, right. Or I want to be smacked or whatever and like look in the heat of the moment, the customer is always right. So I'll do it. Right. I'm in the service industry after I'll

Speaker 3:          01:40:54       always be like, I'll always, I'll always be like, Yo man, like is something wrong? Like you okay? Like what the fuck did your dad do to you? You know, and I'm always kind of just like, Yo this like he can't like, cause I would never want to be punched in the face. You're a guy and I think there's also a different, like women, there are women who have legitimate rape fantasies. It's a social structural thing though. Like if it is it or is it a dude? One masculine and feminine thing. Definitely men who want to be raped. No, Dang. Yeah. Why do you think, Oh hell no. Not Jamie, but I have a friend who likes getting tied up, man. He likes girls to beat him up. Oh, that's right. No, you're right. You're right there aren't there are. He likes being abused at all.

Speaker 3:          01:41:35       I'm glad you brought that up cause I was about to chalk it up to like, we live in a patriarchal society and we treat them like shit. And that's must be why they want this. But you're right, there are, there are dudes too. Yeah, there's, there's people that it's not easy to nail down single spot on the spectrum and there's no, I mean there's, look, there's men who wished there were women. There's women who wished there was men. There's men who'd like to beat women as women who like to beat men. There's men who like to get beat up by women. There's a, there's like, I think the end of the story is basically just like sexually people are fucked and there's no normal, there's no normal, there's no new customer's always right. There's a, there's a law that they're passing in California called the Yes means yes law.

Speaker 3:          01:42:16       And the idea is you're supposed to get verbal consent. The idea is to curb these college rape issues, which are constantly, and a lot of them, they think they think there's one way to mitigate that is to make sure that people communicate. Because like sometimes like things are just happening and women like feel awful about it afterwards, but they didn't know how to stop it when it was going on. So the idea being that a guy has to say every step of the way, can I take your clothes off? Can I put my finger in you? Can I, you know, put my dick inside you. Can I do this? Can I do that? And there's like a video that accompanies it called consent is sexy and it's hilarious. It's weird campaign where you get this hipster looking dude with a goofy fucking beard and he just looks like a kind of a bitch and he's with this really hot girl and he's like, can I kiss you?

Speaker 3:          01:42:58       Yes. And the kisses, it was just like ordering, take your shirt off. Sandwich. Not yet. Yes. Francina yes. Olives. Like that's fucking weird. And she asks him, can I touch your leg? He's like, yeah. It's like, oh, let's just get this straight. You can do whatever the fuck you want. Okay. You got the green light honey? Yeah. He's telling me when I can stick it in the fucking, the easy pass. Just like, yeah, put that shit on her forehead. It's like a Turkey tester. See that point? So that's sticking out. Go like that's, yeah, it's just like this. You're at the casino buffet. Just bring your plate, fucking eat everything. I'm going to put a fucking of a thing over your neck on a lanyard while you're wearing that. You could do whatever you want. Touch me any way you want. You've got a green light, but you know like a girl saying, can I touch your leg?

Speaker 3:          01:43:40       And the kind of yes, like get the fuck out of here. What guys that were said, I didn't give you permission to touch my leg. Yes. Museum shows during judgment. It also the asshole in me. Like I would have more fun, like just fuck fucking with them. Then actually fucking them. Like if they were like, can I touch your leg and be like, just this area here. You know, only an inch above Miami. Don't disrespect your thigh. Five inches below my taint, three and above the knee. You're safe. You touch anything else? I'll fucking cut. Well there was a guy who was debating it and he was, well, he was arguing with this yes means yes thing and he had this really important point. He said there was a moment that happened to me when I was in college. He goes, where? I met this girl, we were at a bar and I had a couple of drinks we had.

Speaker 3:          01:44:23       We'd never talked. She looked at me, I looked at her and she raised her eyebrows and she went like that, like, like this come here. And the guy walked towards her. She put her hand out, he grabbed her hand, he took her into the woman's bathroom, have fucked her in a stall and he said, we never talked. He goes, it was one of the greatest nights of my life because I've jerked off like a hundred times since then. Thinking about it. I never talked to her again. I never, we never, we didn't become boyfriend and girlfriend. I didn't speak to this girl. We didn't expect, we didn't exchange words. It was allowed. Cub went into the bathroom with her. Any, they fucked, they fucked. They didn't even know each other. And he's like, this could not happen with his yes means yes. Shit. And it was the greatest night of my life.

Speaker 3:          01:45:02       I don't mean that he goes, it was instigated by a girl like you and me, the of face, you know, and grabbing my hand and next thing you know, we're in a bathroom and we're having sex. You know, like that kind of Shit does happen with people and pretty much every girl, I mean the thing you try to block it out when were in relationship, but pretty much every girl you know is given a bathroom, blowjob, you know what I mean? Sorry guys. All your wives taking a bath was, is what it is. You have to access like boys, boys like girls, some boys like boys and girls like girls who gives a fuck. It's fine. And bathrooms are totally fucking fine places for our comments to come. Common motherfuckers are warming. Exactly. And it's like to legislate. This shit is just like, come on man.

Speaker 3:          01:45:46       It's not the way. The way is education more than legislation. That's the way, but how do you educate a kid that's 18 years old? I grew up at douchebag parents and he's got, you know, some sort of a sociopathic mindset. It's like how do you educate people out of that besides psychedelic drugs besides some total reset of the mind with Ibogaine Iowasca or DMT or mushrooms without that and even that doesn't always work. There's people that are fucking complete sociopath that have done all kinds of psychedelics. I know people that are out of their fucking mind, Eagle maniacs that are like purportedly psychedelic users and I'm like, how was that guy was like a delegate. He doesn't check himself at all. He's not looking at himself introspectively at all. So it doesn't work on everybody, man. There's no every, it's like we were saying the spectrum. It's just giant. It's giant. We are so fucking weird. Humans are just fucking weird bro. It was weird and I almost think like we have to be weird in order to, in order for this super organism to exist, the way exists and function, the way it functions, and in order for innovation, culture and

Speaker 7:          01:46:49       society to exist, it almost seems like everybody has to play this very weird, unique role. And some people are pretty obvious and pretty straight forward and cookie cutter and you're like, oh, I see one of these before. And then other people you meet him, you're like, whoa, this bitch is crazy. You know? I want people to be as weird as they possibly can as long as it doesn't infringe on my ability to be weird myself. Let's say you go, that's it. That's like the basis of the social contract and this is the guy I want you to be fucking psycho. Yeah. The weird thing is like when someone tries to prevent you from being who you are because whatever you enjoy offends them, even if it doesn't hurt anybody or if your desires like requires somebody else to be victimized, like then that's, that's too weird.

Speaker 7:          01:47:32       But that's, that's different. But as long as no one's being hurt and everyone is agreeable upon the act, like it's like gay marriage or gay sex at all. Like anybody who's got an issue with people that are fucking each other. Like what do you care? Like what is it about you, whether it's religion or whether it's, uh, you know, social issues. What is it about you that gives a fuck with someone does, if two chicks want to live with each other and put on rubber strap ons and plow each other all day, why does that freak you out? Enjoy. Enjoy. You know, the big world. It's not like there's only five people. Yeah. You know, you could do it upstairs from me. I don't care. You're whatever. If you're loud. Live on those all departments. That squeaky floors. I love noise when I'm sleeping. I need noise.

Speaker 7:          01:48:16       Yeah. I have to like turn the TV on, leave the TV on and shit real. Yeah. I don't like, I don't like quiet when I sleep. Wow. That's weird. Maybe like New York, like when, when the garbage truck came a fight. Like I was like, fantastic. Really sleep. Good noise. Where do you live in New York? Uh, well I, my, my apartment my brother has now is in Fort Greene on a Delphi between decal and Lafayette. Is that Brooklyn? Yeah. Yeah. That's when my brother lives there now. But um, I don't, I get to live in New York. No, that I live out here now. Do you really? Yeah. How long you been here for? Seven months. We got to hang, we got to hang and we ain't got to do a regular podcast. And you're hilarious dude. I love doing this. I love you doing it man. Yeah. So do you like open the window up out here to hear the horns and shit? I leave. I leave the window, but I'm like the border of Malibu Palisades soon. Super Quiet. Chill. Yeah. I just didn't, he learned the leave the TV on. Oh, that's what he did. He fall asleep. That's so weird. Have you always been like that? Yeah. You know, I think, cause my mom was always screaming and yelling and fighting with my pops. So it's like I went to bed with Connie Corleone just breaking on the place.

Speaker 7:          01:49:26       Wow, that's interesting. Yeah. Well people are adaptable as fuck, man. People are like, some people like they cannot deal with the city. They coming to cities start freaking out and some people they freak out when they go to the country. They just don't like it. And I'm like desensitized. I'm totally dissed. I've, I've seen anything that you could possibly throw be thrown and just my a maniac.

Speaker 3:          01:49:48       That's hilarious. They're still together though. Yeah, they're still together. They still fight all the time. Wow. Yeah. My grandparents fought so hard dude that I thought that I would never get married. I thought I would never have a relationship. I my my, like I had issues with relationships based on not just my parents, my mother and father. My, my actual father. I grew up with, my stepdad was a great guy, but my actual dad was a real fucking piece of shit. Yeah. And is very violent, abusive. And I saw a lot of domestic abuse. Yeah. Heard a lot. But I saw some like dark shit when I was a little kid. And then my mom, my grandma, my grandparents, they didn't physically fine, but they would fucking scream at each other so hardcore that I would never want to be in a relationship. I was like, fuck this man aiming at each other.

Speaker 5:          01:50:35       Parents physically fought and I, I used to always reach for the phone and call the cops and both of them we'd be like, don't do it. And I was like, wait, the one thing you guys can agree on is for me to not call the cops. And they'd be like, go upstairs, hide your brothers. And I would just like put my brothers under the bed and then close the door. And they were younger than me cause I was the oldest thing, what's going on. And I had no answers for them, man. Wow. I have no answer.

Speaker 3:          01:51:05       They were younger than you. So you were the one that had to make sense of it all to them. It was rough. It was rough on my sister was a year younger than me when my, uh, mom and dad had like this physical altercation that made my mom move out of the house. Yeah. My Dad smacked the shit on my mother in front of the kitchen and my little sister ran and hid and I hid and we were, we were both freaked out, but my sister just shut it out. She doesn't even remember it. She doesn't talk about it. I can't forget it because in my mind it was like, okay, now I know that my dad is a shithead. Like I used to think that like he was a hero and he was a great guy and you know, every body wants to think their dad is superman. Yeah. You know, when, when it was undeniable proof that he wasn't it, fuck my head up, you know. But I only had my little sister, she was only a year younger than me. It wasn't like a, how to like explain everything

Speaker 5:          01:51:53       that's my youngest brother is good with a, he's well adjusted. Me and my other, my middle brother, we've never really let it go. It's like a part of us and I wished that there was one parent that I could just be like, they're the good one and the other one's bad, right. My mom would like throw hot water at my pops and I'd be like, what the fuck is going on? And then, you know, he would do his Dame, I smack or whatever. And then she tried to punch him and then he'd hit her and I was just like, this is WWF in the crib. I got a friend who

Speaker 3:          01:52:24       still fights with his wife and his wife threw a fucking screwdriver at him and stuck him in the arm. I get stuck out of his arm and he fucked her that night. He goes, that shit turns me on. And I go, what? And he goes, one time, man, one time, it will, this is hilarious. They were watching a movie together and uh, she fell asleep at the movie. So he took his pants down and it was there watching hundred. He took

