Speaker 1:          00:00:01       Three. Two we need like a digital counter. Three, two,
Speaker 2:          01:20:37       It changes, it changes the way you function. I'm 50 years old, my body functions like it did when I was 30 and that's a fact. It really does. And I pushed that motherfucker all the time. So I'm not, I'm not telling you this from just a theoretical standpoint. I'm talking about from the physical action perspective. And I tell this to people and you see it go in one ear and out the other. I don't want to take any testosterone. I don't want to, I don't want to go to a doctor that's gonna get me human growth hormone. I don't want to look at my hormone levels and like, but you're, you're depressed and you're tired all the time and you're, you're trying all these different things. You're taking Zoloft, you're getting magnet therapy. I know people who've gotten ketamine shots and all these different things to try to cure depression. I'm like, why don't you look at your fucking hormones, man?

Speaker 4:          01:21:24       Yeah. They can look at, it doesn't mandate that they have to take it, but they should know. They should know. Absolutely. But what mark's talking about is your physiological optimal level. Right? And so that hypothetical scenario that he gave earlier, if you're out at an 11 you know what I mean? And you're just once you know, point above normal. Well guess what? That's not normal. You know what I mean? You're on the perceived lower end. So he has a completely different sliding scale to measure that. But to me it would like be taken objective analysis and just get a snapshot of where that's at and like maybe to see what it would be like to push it up a little bit and see if life improved. Not, it's super physiological, physiological based on you in normal healthy levels. Yeah, you might, you might find out that, hey man, I went up, you know, 10 points and I'm great, or you had to push it really high.

Speaker 4:          01:22:11       You're different, you know, different strokes for different folks, but I'm trying to figure out is why would someone rather take a psychotropic medication than fixing what God has given our body to manufacture that because of trauma, because of genetics or whatever. You're not producing it at the level. And another fallacy for me, a fallacy is that as we get older, it's acceptable to have lower and lower levels of hormones. Well, how about this? The reason why they're getting lower and lower is because of the shitty food you're eating. The fact that you had 60 years of traumatic brain injury, which have interrupted the brain's ability to regulate homeostasis, to regulate your hormone production. That's the reason why the levels are lower. So bringing it back to 25 to 35 years of age, which has been the dictum in our office for the past 27 years has been key.

Speaker 2:          01:23:01       Yeah. One of the things that jumped my testosterone up a bunch is cutting out processed carbohydrates. All the refined carbohydrates. It just jumped it like 50% it was like it doubled it and I was like, this is insane. Right? So it tells you how important the biochemistry is of the buddy of the body to regulate other aspects of it. Yeah, and the Diet and exercise and sleep and all these different factors. But when I saw that my, my testosterone, it bumped up and then ultimately doubled. I, I was so confused as to why it took me so long to figure this out, that eating pasta and bread and pizza and all the bullshit was having an effect not just on like body fat, but it's having an effect on your whole body being able to process all of these chemicals. You got to think of yourself as a machine and people don't like to do that.

Speaker 2:          01:23:55       But think of your body as a machine. If you have a machine or an engine or any, or can think of it as a vehicle, you're, you've got to have, yeah, you need spark plugs. You need cooling, you need gasoline, you need all these different factors and if you don't have the proper amount of engine oil, if you don't have the spark plugs aren't working right, the vehicle is not going to work right. Your body is far more complex than a car, but similar in that respect. The an analogy I like car analogies. Uh, you've got a brand new porsche nine 11 carrera with four flat tires. Choose one of them to fill up and drive. You're not going to be able to before cardinal harm hormones of our body and I see colleagues of mine who only focus in on one hormone. How are you going to be able to have a nice level ride if you don't look at all for the key hormones and the also the insanely complex way that all these different nutrient levels and hormone levels interact with each other and that they're all a part of this incredible system that takes forever to just scratch the surface of understanding.

Speaker 2:          01:25:01       I mean I read a lot, I've just scratched the surface of understanding what's going on and I'm not sure I understand it. It is so complex, but when you see the results, you know that at least you're down the right pathway. It's a symphony, you know, that's what they always say it's a symphony. But how better did you feel, you know, after cutting out those things and your testosterone better, right? Like almost immediately like the big one was the not needing a nap. Yeah. You know, like in the middle of the day I just assumed that I would get up, I would eat breakfast. Then around three I'd be like, fuck, I need to crash. It's testosterone deficiency. Three o'clock does that. And then there's also the insulin pump right from the shitty process foods and carbohydrates. I came off all protocols that 2017 for seven months for this year. Cause just because I wanted to see what would happen. One I thought like the brain and body went back to Nerpa miss of environment and the hypothalamus and my pituitary gland would turn back on. But it wasn't the case. We had two labs to followed up. But I had to prove to myself, I guess emotionally, spiritually

Speaker 5:          01:26:04       that I, you know, I could slay that dragon and I could live life without it. But it wasn't, it was no by no means of the imagination optimized. You know what I mean? And then when I went back on it, man, like my body composition changed again and I noticed increased energy and I thought I was doing well, but I was like, life is better. I'm a better person when this is optimized. And so, you know, I've proven to myself that I can do it without it, but life is not better. I mean we use of it. We might be looking at some time in the near future where they can do something genetically where they can alter the way your pituitary gland functions are. Some of the different things with Crispr, with many of these genetic manipulation tools that they're working on right now. But as of right now, that's not the case. No, you have to get tested and then replenish back to physiological levels. All the hormones, not a select all of them actually just do one. You can mess up the whole, the whole thing. Right. Is there a network of doctors that you've trained that you trust their work that you can recommend? Is there a way that people, so they don't have to travel to California to meet you? Right.

Speaker 4:          01:27:10       Uh, on the website, um, there's uh, give that website out again, a Tbi Med, legal tb, I m e d l e g a l. Dot com has, uh, under Tbi network and training. It has a list of doctors. We've trained doctors in Spain, United States, Canada, New Zealand, Australia. I'm going to Southeast Asia to train a group, uh, in Cambodia and Vietnam for a project, which is to establish centers in Southeast Asia because there's a lot of retired vets there. Pull it up again, Jamie. A lot of retired vets to set up centers so they can offer treatment.

Speaker 5:          01:27:53       And if you look at the website, it's listed all in alphabetical order. We have California, there's Arizona there, Colorado, Florida, there's,

Speaker 4:          01:28:01       my name's on it are people who are in the process of getting their certification. So there's a four hour exam they have to take and pass it with the least 70% and then present two cases showing they have the ability to uh, utilize the information.

Speaker 5:          01:28:16       So there's doctors available in many, many states and that's been our goal to make this network of doctors where you can reach people at scale in the same way like train trainers are trained doctors and that's what we're working on with the government right now. What's incredible is it how much you've accomplished in such a short period of time? That's what's really incredible. Obsessed. Yes. It driven, totally driven better. Uh, there's nothing wrong in obsessed. I'm obsessed with everything. People have a hard time with that word. They think it's like it's gotten away from them. Passionate. Passionate is good. I liked that as we're taking the action, but like for the right reasons and like opportunities just continues to present itself. I think that's just the byproduct of a right way of doing things. You know what I mean? Like, Hey, let's be proactive. Let's go there.

Speaker 5:          01:29:01       Let's make things happen. Yeah, let's go do it. He said to me in the beginning, he said, we're going to be doing the right things for the right reason. And what'll happen is things will shake out of the trees and land in front of us. And that's what basically has been happening. We just, you know, money. It's not the issue. Just get the work done in the response and the reaction of our vets. Well, the reaction, the response has been incredible as far as like what I've heard and what, what's come to me about it. And uh, hopefully we're shaking that fucking Shit, man. Yeah.

Speaker 3:          01:29:32       Dude, because of this show, because of you, like this information has been widely disseminated man. And uh, you helped promote our book and give us a blurb for that. So thank you for that. A tales from the blast factory, uh, supports what we're doing. Uh, that comes out next month if anybody's interested in, in that, matter of fact, we did a thing on Amazon, Joe, or they get it for 99 cents. So we want people to get that book. Wow. Beautiful. Yeah.

Speaker 5:          01:29:56       Beautiful. All right. So, uh, any closing thoughts that we need to get out there, if these people, then we covered it all. I think we covered it all. Um, you know, my last closing statement is, thank you so much. Listen, thank you. I'm, I'm, I'm forever in your debt and I think that what you guys are both doing is incredible and I'm honored that I could play a small part in getting this out there. It's just, it means, it means everything. Thank you. Thank you for the butter. My heart. All right, fuckers. That's it for the day. We'll see you tomorrow, but by donate.
