Speaker 1:          00:00:01       Want me to introduce you, ladies and gentlemen, the great Everlast. Hmm.

Speaker 10:         01:22:35       Ah,

Speaker 6:          01:22:37       in the movie? Yeah. Who to, who created it. Do you have any idea man? A documentary. She's really, she's like the daughter of somebody in Congress or something like that. I almost want to say like Nancy Pelosi's daughter or something like that, but I don't think that's right. Yeah, it might. It's something, it might be because I think it's something Pelosi, Oh man, you're killing me.

Speaker 10:         01:23:02       Yeah,

Speaker 6:          01:23:02       it's, that's the stoner reached dude. That's the stoner Google

Speaker 4:          01:23:06       right there. In my mind, I'm trying to remember this fucking movie. If anybody hears this and they know what the fuck was someone screaming right now somebody's saying, oh, I usually have it on my laptop, but this is a new laptop. I don't even have it on here. It's, it's, it's one of my favorite movies about Camp Jesus camp camp. I had to remember, thank God, thank God he's just one of my favorite like crazy people movies, Jesus camps, a brilliant movie. And they did it scary. Yeah. And they did it like they just showed you what was going on. I mean that's what they did. They just showed you what was going on. They didn't give you any editorial flair to it. No narration. They just show you what these people feel like they're doing and how they need to raise Christians in the same way these jihadis are being raised, you know, I mean this woman compares suicide bombers, you know, and that they're starting them off young.

Speaker 4:          01:23:53       So we need to start our Christian warriors off cause they're right. This is actually the swamps there at fucking Cobra. Raisie the shit they say to these little kids and the founder of the whole thing was that guy. Yes he was a big part of it. The organization. It is, it is. It's just, it doesn't get labeled as one, you know, I mean the Jesus, Jesus, cause they haven't done anything yet. When one of those kids does something 10 years from now, well that that camp, that whole thing like conservative Christians were against it. Like radio hosts who are Christian who are conservative. They were like this is indoctrination. Like this isn't like what you're doing is you're, you're making radicals. You're not educating them about God and about love and about the, the, you know, the, what's the Bible says you guys, you're making like soldiers for Christ. Admittedly.

Speaker 4:          01:24:41       So conservative Christians were like, you guys are going to fucking far but these idiots, their idea was that if the jihad is do it and what they believe in is wrong, we should do the same thing cause we're right. And you're like Whoa, that's some fucking logic right there. And they're allowed to raise kids. It's a brilliant movie. Yeah, check it out. They, so they closed down that ministry. Good. They closed down because of this, because of this movement. Because it's like, this wasn't even something that Christians wanted. This was just like, like you guys gotta fucking take it down a notch. She didn't make it. Who was the person that made it? Uh, the director's name is, uh, it's two people. Heidi Ewing and Rachel Grady there. That was wrong. I was wrong about whom? Anytime. Yeah. And they're the also the producers. It's just fucking brilliant.

Speaker 4:          01:25:26       They did an awesome job with it. Yeah. That's scared me when I saw that the first time. All right. Well it's, you know, when you, when you realize how easy it is to shape a child's mind, it becomes really scary because of that. But how many, how many likeminded people said that's a good idea and started their own little version of that somewhere. You know what I mean? Sure. I mean, how many people are homeschooling their kid because they want the kid to be nutty and not influenced by the, the, the ridiculous Dems and libs are teaching in school. You know, there's a lot of people out there doing that. Less science, not exposing their children to other ideologies because they're worried that it might catch, you know, not treating your child as if it's a growing person. Exposing them to and finding what their groove is.

Speaker 4:          01:26:05       No, no, no, no, no, no, no, no, no. We're going to sit down in this kitchen table. I'm going to teach you about the Lord. All this shit about evolution's bullshit. Okay. There's never been a single piece of evidence points Earth being more than 10,000 years old. That's exactly what the Bible says as well as people, you know, fucking learn that shit and then you get to, Paul's were there, they did a Gallup poll that said 50% 46% of America believes the earth is less than 10,000 years old. Wow. That's real. Wow, that's, that's real. So that's like, I don't know how long that's going to be around for. I have a feeling that as Internet access gets to more and more places and more people get educated, that kind of thinking it's probably going to go away within the next 2030 years. I really don't see how you can keep it up.

Speaker 4:          01:26:50       It just seems to be at a certain point in time, we're going to invent some sort of technology that's even more pervasive than just looking things up. Just looking things up in a computer. No one ever thought of that for 500 years ago. No one ever thought that'd be possible to us. This is every day occurrence. I think he's going to be a next step in the evolution of technology that's gonna allow you to access information without actually looking things up. You gonna be able to just get it in your head, however, show it somehow in your head and when that happens is not going to be any room for this shit. You can, was it? Was it, were we having the conversation about [inaudible] Kurtzweil exactly. The curse word. Tell them when we were talking about transcendent man and document, just talking about how like a technology evolves exponentially rather than linearly and how like pretty soon we're going to have nano technology and all that whole conversation.

Speaker 4:          01:27:37       I interviewed him for my Scifi show. I got to talk to him for over an hour. It was fucking awesome. She's crazy amazing because it's math. Well, he's also predicted everything he predicted the search engine way before it existed. He predicted the Internet before it existed. He created voice recognition software. I mean this, this motherfucker's been around for a long time. Breaking down what's happening as far as like technological trends and makes great keyboards to you. Does he makes me, isn't that incredible? I mean, he's just like a super genius. He's also made like a ebook software for laptops and you know, saw him. Uh, he, we advance things. He's like invented a bunch of different shit. It's just a constantly thinking super genius type character and picking his brain. It's not like picking the brain of just some average asshole who's gonna like tie some shitty read on scientific America.

Speaker 4:          01:28:28       This is a guy who's actually making these discoveries. This is a guy who's actually been involved in many technological innovations that have really benefited people in a big leap and he's telling you about the future and you're like, oh, leash call from like a fear of death too. He's like, really? He doesn't want to die. He wants to live forever. He wants to bring his dad back. Yeah, he wants to bring his dad back. How crazy is that? The vitamins and all that like, well, he thinks that we're going to get to a certain point in time where you are not going to be a a single autonomous body function thing. You're not going to be a single body like a flesh and bone blood. You're not going to be that. You're going to be a combination of tissue and artificial creations, whether it's artificial blood cells or, and then if the guy had already him, yeah, you are with your heart. It's true for folks who don't know, Everlast had a hard situation when they put a titanium heart valve and he goes like, tick, tick, tick, tick, tick, tick, tick, tick. It's fucking wild man. So you're living proof and bionic and what he's saying is that this is just one step and that in the future you're going to have a better version of your body. Then your body, they're going to be able to figure out how to get your consciousness into this super body is Wolverine Adam hard-drives skeleton bone fucking out of your knuckles.

Speaker 6:          01:29:46       Yeah. That's comments basically into a hard drive and download your consciousness into a hard, yeah,

Speaker 4:          01:29:53       drive the guy's theory. It's basically you're going to live forever. He gets criticized though. We should say a lot of people say you're never going to be able to download consciousness, no hard drive. They say that the human personality is so complex and based on so many different factors like the like how many, how much hormones when your system at a certain time, what stress level, you wonder how much cortisone where you getting from it. There's a lot of shit involved about like trying to develop a human being from scratch to an adult. So many steps take place. So the, the idea that you could actually recreate that and have anything is enjoyable as a person. It's tough to believe. It's tough to believe. I mean, I guess if you could mathematically calculate how many bad times you, you want to inject into a person's consciousness and memory and then create them over like a gigantic, you know, computer process where you're like literally inventing memories, algorithms all there to give them an adaptive technology, you know, that allows them to pretend to have lived a rich and wonderful life. And then you get like this really wise old dude, but really someone who made them in a lab and it only took an hour and they pop open the metal top and he comes out all steamy and shit and just dropping science on you with his fake brain. Yeah. But with no bad experience, no bad experiences, total poser. How fun is that going to be?

Speaker 6:          01:31:13       Maybe it'd be amazing. Maybe he'll be like, fucking doctor Manhattan. He'll be so domain, most interesting man in the world. But you have fucked the dose. I never told you my story about him that Doseck he's got, yeah. Did you meet him at the dude? He's like five foot one, like short, maybe five foot four or something like that. He's like little dude, his name is like something like very Jewish. It was like something like, yeah. And he told me he worked at a, at a, at a, at a hardware store on Lincoln in Venice. He probably doesn't anymore because of the gang. That's what I think where he was working when they, when he got the gang. But that's not even his voice too. Oh that's hilarious. So it, but I don't always drink beer. That's not his voice. Dude. I would drink. Don't sick. He's my friends stay

Speaker 9:          01:32:00       thirsty. Yeah. Yeah. But those Swedish guy, I'm not saying anything bad about him, but he was like, we were, they came here to the stories. We were playing in the playboy mansion for some, some like charity event and like they come back to the bad seasons. Like Yo, the most interesting man here is in the world is here and he'd like to meet you all. And we were always loved those corners. We were the clown on him. I was like, so we were like, oh fuck yeah, he's got to come back here. I mean, it's on Facebook. We got pictures of it. Wow. But he comes in and we're all taking all these pictures and he's like, yeah, Hey guys, I'm Leo Feinstein. There's literally something like that. I'm being, you know, that wasn't exactly that, but it was so like, oh, someone should overdub. And I was just like, I was just like, man, if that was me, I would be milking that to the nth degree, man. I would walk in and be like, my friends at least fake it is

Speaker 4:          01:32:47       Marshall or the bunch of hot chicks like that and like a yacht and none of Ferrari and drinking and mountain climbing and you go somewhere and people just would just gravitate towards you. That's the dude went all the cool shit in that show.

Speaker 9:          01:32:59       You gotta be like, you gotta be that guy. My friends, it wasn't that. It was like this little Guy [inaudible] guys, how you doing? Hey, you want to have a drink? Maybe he needs to maybe needs to change it. Maybe it needs to bring it back and then when, when when I saw the commercial that night, that night I got home from the Gig and then came a commercial came on and then, and I realized the voice was overdubbed. I was like, Oh man, it doesn't seem like it. It Joe got it. Joe got it right there. It seems really hilarious. Wow. There's a picture of him. Oh my goodness. Yeah. Is that what everybody, yeah, it's this one little guy. Yeah. It seems like a nice guy though. Nice, Super Nice Guy. I'm not even trying to throw him under the bus. It was just one of the things we were so pumped and it was just like kind of one of those let downs where you're like, oh man,

Speaker 4:          01:33:49       very that personally, if people think that when they meet me like they go short as fuck dude. I'm like, Oh, this is what I am sorry.

Speaker 9:          01:33:57       Put them in a yoke. Like, Hey, what was that clip I saw you like, what was it? Fear factor where you like put a guy in a yolk and like one of the contestants.

Speaker 4:          01:34:03       Yeah, I thought he was gonna hit me. He was a guy, he had a little bit of a history of violence. He had on one show, he thrown his wife down and another show he had attack a counselor. So they'd actually warned me about him before he did the show. And uh, his wife came back from a stunt and hit a guy and I told her, I go, hey, you know, cause they would yell at each other and screaming at each other and shit, man, he was a really embarrassing, like, you fucking idiot. It's right there. I go fucking get screaming at each other. And so, um, one of the dudes on the show was heckling them while they were competing. And so the woman comes back and punches the dude who's heckling her, like punches and renting. Somebody's really hard. And so I go, hey, you can't, I go, just because you hit your husband doesn't mean you can go around hitting other people.

Speaker 4:          01:34:42       Like you can't hit other contestants. And then the husband gets in my face and I was like, I saw that. I saw that, pushed him away. A couple of that, they didn't show all of it. I pushed him away a couple of times and it kept getting closer to me and I was like, this guy's going to do, this is going to escalate, so I'm just going to grab them. So just grabbed the back of his neck and it just felt like, I felt like if he, first of all, he's going to feel this like to get ragdolled and he's not going to like that and second, and maybe that'll calm him down if I don't do anything to him. So I just grabbed his head and I just held onto them a little bit that way. Also, if he hits me, I'm just going to smash him.

Speaker 4:          01:35:10       Just draw one knee on him. Yeah, you're holding a hunt a guy's head. You basically own them like you've watched Anderson Silva fight rich Franklin. He holds his head. When a guy that can clamp down on the back of your head and you can't get those arms off, that's a terrible position to be in the clear, that's the Overeem. They changed k one because of Alistair Overeem. Bullock county because yeah, bull cow. Perfect example. K One was like, you know what man, you can't be holding people's heads because in would just bum rush. You grabbed the back of your head and it's night night, boom, boom. You can't get them off you. You can't get them off of the back of your neck. He's huge arms. He's got that fucking locked down grip where they just, there's dudes who develop that fucking tightness to that hold where they slapped that motherfucker on the back of your head.

Speaker 4:          01:35:50       Then they pinched down with the two forearms and you're fucked man, and then the knees are coming. Why can't he get it going like that and then you have seen there's a lot of issues. One, okay. First of all, he's taken a lot of head punishment. If you watch Alistair Overeem's k one career has his pride career, the, the strike force fights in Strikeforce. Force is really, really didn't get hit, but he's had some brutal knockouts. Chocolate. Dell knocked him out. Keratan off, knocked him out. Shogun knocked him out. A lot of guys knocked out. He finished it. We finished him. He got finished in kickbox abouts. He finished. Bought her heart too. Yeah. Any finished Baader too. He's been stopped a bunch of times now. He's been stopped twice in a row and the big foot one was fucking trauma. That big foot one was incredible.

Speaker 4:          01:36:31       That combination, there's only been one combination is good as that. Finishing a fire with hands and that's Phil baroni versus Dave and a old school UFC. Have you ever seen that? Pull that shit up. Phil Baroni versus day Benet. Phil Baroni is uh, he, you know, he's a dude who like really underrated punching power. Like people don't know. He's had a lot of issues. He's been in the game a long time. It's had a lot of injuries, had a lot of losses. But when Phil Baroni clips you, you got big problems because that is dynamic. And this series of punches that he landed on Monday to finish him, one of the best all time Kao scenes I've ever seen in my life. Look at this combination. Boom, boom, boom. That's the slow mo show that like the full speed version. If you can find, that's a shitty version of it too.

Speaker 4:          01:37:18       That looks terrible. It's like a Vito Belfort and see if he could find like a better version of it so you could really see it clearly because it's so, but, but the big foot one was really similar, real similar, real close. So it's like that's a lot of trauma man. I think your brain needs a long time off after you get fucked up. Like Brown just touched him on the chin with that foot and it was, yeah. And that was really the only time Brown, he really hit him, clean it up to that point. And you know, Allister almost finished him, almost finished them and he went out full clip to try to finish him, which if you do, it puts you in a real bad position. Gas Tank wise. And when your gas tank's done, when you thought you were going to kill the guy and the guy's still in front of you and you can't move, you can't move.

Speaker 4:          01:37:58       Yeah. But announced, start just kept moving forward, kept moving forward. You know, he didn't want to back up. He did. He wanted to keep the pressure on that dude. But that front kick to the face, you gotta, you gotta give it up to Travis Browne. That shit was perfectly placed. He tested it a couple times to the body to during the fight. Yeah. Well he's got a long ass reach. Look at this. Here's the Combo. We get this bing, bing, bing, bing, bing, bing, bing, bing, bing, bing, bing. It's when you get hit. When you're doing like the speed bag off the, off the off the off the fence, man, he might have hit him 10 times in three seconds. It was incredible. How many of those punches was he out? You know what I mean? Most of us had started doing this. He was keeping them up with those punches, with those punches.

Speaker 4:          01:38:39       The big foot fight. Yeah. Yeah. Very similar. So that kind of knockout I think takes a long time to recover from. And obviously I'm not a neurosurgeon, I'm just talking out of my ass. But I would imagine that's an injury that's not, it's not as simple as, oh, you got knocked out, you come back, now you're 100% now you've got an injured. Like you, you know what it's like to injure your back. You know, it's like the injury elbow, that Shit's got to heal. It doesn't feel the same. And just because you don't feel your brain just because you don't feel all that up there. Like I would imagine your neural system has to fucking take a little bit of a break and it's got to heal up from something like that. So they give you like 90 days like before you're allowed to like when you get Kayo they'll, they'll have like a certain amount of days, but how they can predict how one person's 90 days is same as that 90 days or like you know, oh Edson Barboza Terry, Adam, 90 days when he wheel kicked homeboy and just watched them, like you got nailed by a sniper shot.

Speaker 4:          01:39:31       That's a different kind of Keio then a, a quick stoppage. But they're both 90 days, you know, I think that's, there's some significant injuries that happen. So that could be a part of what happened to him too. He's, you're dealing with a dude has been knocked out at least eight times. And what about confidence too, right? Like after, I mean like you get high, he's still super fucking confident, man. He's still attack Travis Brown. He just ran out of gas. And then there's also the issue of steroids. There's an issue of hormones, you know, and he says that he, he took, he got popped and then they kept him off for a year and he said that the reason why I did it was because he had a shoulder injury and a doctor prescribed it to me. He didn't know there's testosterone in it, which is possible.

Speaker 4:          01:40:08       But then when he got off of it, it showed that his testosterone was like super low. Like when he lost a big foot, they did a test on him and they found his testosterone was very low, like in 190 range, I think they said it was, which is very low and it actually kind of dangerous. Like you're not supposed to be a professional athlete where you're fucking level so low. And so what's your take on all the dudes doing the TRT? Well, here's the issue. One trauma stops your body's production of testosterone. It's been proven. The pituitary gland apparently is very sensitive. There's a guy named Dr. Mark Gordon who was a specialist in that. He worked with James. Tony's worked with a bunch of football players and a bunch of people coming back from the war traumatic brain injury. One of the things that happens is your body loses its ability to produce hormones and so a lot of guys who've taken head trauma there, their test levels, la drop.

Speaker 4:          01:40:56       So then it becomes a question of, okay, if you need to take testosterone because your test levels are dropping because you've taken a lot of head trauma, at what point in time are we going to keep you away from head trauma? Is there ever do we just allow it? As long as you can keep supplementing with hormones, we allow you to keep getting in there. Even though your body is like, look, you've rattled our cage. We're not producing testosterone anymore. Well that's okay. We're just going to get it from a needle and we're fine. We're just gonna get right back in there. You know? I think as a a person who values personal freedom, I certainly think they should be able to do that. The question becomes though, when they do it, how much should they really be able to get? I mean how much, how, I mean, how do you, how do we like really closely regulated because it looks like some people get more than others.

Speaker 4:          01:41:39       Some people like their bodies are radically change and all of a sudden they look like super athletes when they were kind of Doughy, just a couple of fights before. That's obviously something a little bit bigger than just, you know, bringing your, your, your levels up to a normal range. It seems like they're hyper levels. Yeah. I don't know if it's the case, but it looks like that. I would you, you'd obviously have to test them on daily basis to really get an accurate read of what their levels are, but the thing is, unless you are randomly testing them on a regular basis, people can cheat and there's ways that people could cheat anyway. There's ways people, people use fake dicks. You know, the people who have been like Tom Sizemore apparently tried to use a fake dick when he was at a rehab place and ready to go to a halfway house.

Speaker 4:          01:42:21       God bless them, they said that pulls out a fake hog. He's trying to visit in a competent, like what do you doing? Good. That's a fake Dick. You crazy. They sell them and we'd magazines. Well, there's a lot of people, man, that's the reality of their job. You know? And you have to, you have to be clean. But I think TRT is a tricky situation because it's hard know I think, hey, like freedom of being a human and if you need it in your life. Yeah, yeah. But if I'm, you know, if I was a fighter, what about matchmaking fan of the fight game? It's tricky. And to me it's almost as controversial or I say almost, but it's almost as controversial as men, transsexuals, that men that become women and they want to compete as women because there's already been one of those and there's one in basketball as well.

Speaker 4:          01:43:04       I think that's just as controversial as adding testosterone and being able to find not, I shouldn't say that. It's not just as controversial, but it's, it's a, you know, it's close. [inaudible] being the testosterone is weird. The idea that you can just put it in your body and then go out there and fight as if like you're so good, like your body is producing that much testosterone, you're that aggressive. No. Like as you get older, your body starts slowing down like naturally. So if you want to still compete and you want to still compete like, like a young man, that is the way to do it. The question is how old should you be when you're allowed to do that? Like if it's a 46 year old Randy couture, you go, okay, I get it. But he wasn't even doing it. Right. So, but if it's, if it's a a 27 year old guy, which there have been, there's been guys as young as 25 how old Vitola he's in his thirties like 34 or something.

Speaker 5:          01:43:52       Right? Let's find out. That's not very old. No it's not because I'm 31 yeah, I know a couple of guys do it. I know. And the thing, I mean it was like, you know, they, they, they love it. They said it may feel great and all this, and then they have to do with a needle every day and everything once a week. You do it once a week or you put on cream every day. They're doing a needle every day. They're crazy. Maybe I'm mistaken, but still it's like, you know, um, and I was like, all right, won't for how long? It was that forever. Forever. Yeah. It's like crabbers not real. That's part of the problem. But if you want your body to work really good right now, that's the solution. The question to me is not testosterone replacement as like a, a practice. Because I feel like I would take anything that makes my body work better.

Speaker 5:          01:44:36       I'll take, vitamins, will take whatever it makes it work better. Like they say, got to do it forever. I'm gonna brush my teeth forever too. So a lot of Shit I'm gonna do forever then I'm not scared of. Right. You know, your teeth will be gone someday. I'll get some new ones. Man. I've seen Mike Goldberg got some new front teeth. They're beautiful, amazing, lost and playing hockey. They just bitches in place. They put two right. You got like a post in your mouth and they, yeah, I have a fake tooth up and then I got to get on it. I'm actually due for one right now. That's how crazy little operation there, man. Wait, when you get the front teeth fake, do you still have to do the rods like what I do or like the titanium rod. He screwed it right into his head.

Speaker 5:          01:45:09       Yeah. I think that's how they make sure that the teeth stay and when when they do that they're apparently like super strong. Like it's just like a regular tooth. Like they have these incredible composite teeth now. They're like really tough and well made. They look exactly like your teeth. I mean his shit looks perfect to wood. It's amazing what some people have fucking gotten their teeth hack downs but caps on to make it more pretty. A lot of people that did that. That's pretty crazy, man. That's pretty crazy. Just for cosmetics, like you're going to go with a full mouth of fake teeth. Hi. You look up, you know you've got to pay for a mouth, Teddy Roosevelt style. You see so much in this town though. I know so many people that got that done. Yes. I A friend of mine did it. Yeah, and the most.

Speaker 5:          01:45:49       That's creepy. Yeah. It's weird. It's weird. Yeah. I don't, yeah. I don't know, man. I guess bleach your teeth. Have you smoked cigarettes? I need to do it, but that testosterone thing, I think it's, it's a beginning brow and this is the real problem. It's not testosterone and human growth hormone. It's the inevitability, the inevitability of biological engineering, the inevitability that science, technology all. Then we'll combine because there's a massive market for figuring out how to make the human body work better. Kurzweil told me when I interviewed him that we're are a decade away from inventing red blood cells that are artificial that will allow you to hold your breath for four hours. He said you'll be able to sit at the bottom of the pool for four hours. A regular person. You don't have to be a super athlete. You don't have to be a monk. You don't have to be some fucking dude lives in the mountains. Just eating raw salmon for a year. Practice and Catia. No, just one dude. Some artificial blood cells injected into system. Take a deep breath and you have plenty of oxygen for four hours. It's fucking crazy. And he said it's, it's inevitable. It's coming. They're already working on it and it's

Speaker 4:          01:46:50       going to be awesome, dude. It's going to be incredible. This is going to be no sense in working out, go spear fishing. But then when there's no sense in working out, it's almost like, are we going to be spoiled? Is it going to be like the same thing that has fucked a lot of people when they have so much access to entertain? Man, it's made kids lazy because they sit in front of the TV and vegetate the not as creative or active as younger kids. I mean that's the argument, but what is it going to be like when you can just be a superhero? Yeah, boats are going to go out of business. You can fly. Let's just go to Catalina island. There's a difference. Could walk. Yeah, you're gonna be able to fucking hold your breath under water and walk across to Catalina. And when you, when you, all you have to do is get to the surface, take a deep breath and go right the fuck back under and you're good for another four hours.

Speaker 4:          01:47:29       Jesus Christ, a little baby oxygen tank. You could just walk on the ground in the hallway, no problem. But it will be a people of no fortitude. Well, they're also working on skin, artificial skin. That is the, that they merge human DNA with spider silk. It sounds like a God damn comic book. It sounds like Spiderman, but they're working on, they're literally going to have artificial skin. That's bullet proof. So you're gonna have skin like on your body that's like your skin looks like skin, but it's, it's a fucking bulletproof. Like literally nothing can hurt it. That's possible. I mean, it's not something I'm inventing with my imagination. This is like something that they've, they've, it's a proof of concept idea that they're taking from like the laboratory and they're starting to try to see if they could actually develop it.

Speaker 4:          01:48:17       If it's pliable, you can still get choked out. It's so true. You just jump on their back. Maybe that would be at the end all when people become impossible to knock out, it'll all be about you. Just, you just got to get to that neck a let him and make bulletproof. You're not choke proved dog. Yeah. Well there's a dude named Rafael dos Anjos and uh, he got his jaw broke and a fight and now he said his jaw is a weapon because he's had so many titanium. He's got titanium plates and eight screws in his jaw and two dudes in a row have broken their hand on his jaw. Wow. Cause he's like my job a weapon now. Like it doesn't knock me apparently when you get your job fix too, like that issue of like you're jogging and tink, sometimes that goes away. Not for every dude's, but some time for some dudes you can't knock them out as easy.

Speaker 4:          01:49:03       Like once your jaw gets fixed, apparently it's, it's like stiffer or stays in place better yet it doesn't break as easy because they've got screws and plates in it and wires and shit in it and it's harder to get knocked out. So this dude is like, I mean, what happens if someone like they just start making fake bones like wolverine style. Everybody has a scar from the top of their head all the way down to their ass crack because they just fucking pulled you out of that bitch and put some fucking good fake bones on you and now you never get hurt. He just run around with fucking carbon fiber bones running through walls and shit. Kicking people with like an aluminum bat.

Speaker 4:          01:49:42       That'll be me. Fight to the death care. Well, there'll be no competition anymore. That's the real issue. The real issue is like competition and sports is a big part of what like sedates the masses. It keeps people like tuned in to that as like a method of conquest. So yeah, we're going to fuck you kicked the Lakers ass tonight. Ooh. When meanwhile they're completely sedentary. They're existing in this fucking maze is fake world and they're getting their gladiator instincts out through that. Well, if that all goes away, they're going to have to seek some sort of other release for this and that's that. That's, that's an issue that people face and when you give people some sort of distraction, that's 46% are going to go right for it.

Speaker 6:          01:50:23       Okay?

Speaker 4:          01:50:24       That's what we got fix. It couldn't fix that. You just cut out, cut out the number of dummies, cull the herd. How are you going to do it though? You say that? Okay. Let me ask you this. If ever Everlast if you were an alien from another planet, Super Smart, had your shit together. Totally. And he came to earth and you know you are. Yes, you can do whatever the fuck you want. You're an alien. You're from a thousand million years in the future. You guys. So I have no conscience or or your conscience. But if like if you came upon, let me ask you this. If you came upon a village and the village was run by a bunch of rabid monkeys, there was millions of them. They were fucking up everything, throwing shit at people stealing candy, Mcginn babies. You would want to start killing monkeys, right?

Speaker 4:          01:51:04       Okay, well, Mike is your intelligent little animals. If something is so far advanced from us that it can get here from Alpha Centauri and a metal ship, who knows how what they're going to think about us. They might look at us as like, Oh, this is this dangerous stage that a being gets when it's starting to transcend from its animal instincts into this, this new emergent consciousness, this group consciousness that's inevitable for this species, but right now it's crazy. Right now it's running around fucking shooting guns at each other and smash into each other on the highway and polluting things, dumping shit in the ocean and pulling out all the fish and whew. Leaving a giant garbage patch in the middle of the ocean, going to punk rock shows. Fuck rage against the machine. Maybe they're like, oh, he's pitches aren't ready. They're not ready. They're not ready. We got to kill some of them. How do we get to kill some of them? Who Do you want to kill you? All the stupid ones, but we need them to work. We need the robot. Technology is not ready for Mcdonald's yet. You know you can't have robot workers make any cheeseburgers. So until that time, what the fuck do you do? If you were an alien and you had the, you had to say,

Speaker 6:          01:52:08       well, you know you're, you're, you're, you're giving me like a kind hearted alien scenario. Like I'm an alien with a conscience. I could also be the alien that comes and looks at it like, well there's this ant hill and it's in my garden and it's kind of serving a purpose, but it's getting too big. So I just got to stomp out half. She's fucking made me. They just throw an asteroid our way. Maybe that's what fucked up the dinosaurs. How's you going to do is change the degrees of the planet like by three and either direction and the whole world's fucked. Well, all they have to do, here's what pulls the plug, don't it? Just put it, what are they, what do they call that one or not? Some electromagnetic pulse and it's easy. Put the lights out. Survival of the fittest. Well one solar flare would do that, right?

Speaker 6:          01:52:58       One gigantic solar flare would elite shut us down till we figured out how to reboot things. Clear hardrock and last and last and last. Yeah, you have some electronics already put into a container in the round. Deep in the ground. They don't have to be deep in the ground. They just have to be well sealed within a metal container. You like, you can get an old style metal garbage can really take a fucking plastic bag. Like put a plastic bag in it. Like you're going to use real trash. Put a bunch of walkie talkies and stuff with the like in there, close the plastic bag tied up, Bang, put the lid back on it and take that motherfucker seal it shut somehow. And like if you ever did have that electric, magnetic pulse, those things would still be good afterwards. Bro, are you a prepper?

Speaker 6:          01:53:36       No, but I, I'm, I'm prepared though. You Doomsday prepping. You got electronics in a garbage bag anywhere. Really? Yeah. So I got to have a glass house of the shit hits the fan and I got, I got storage units full of water dog. Do you really know? Oh Damn Dude. Yeah, that's smart and practical. You know what's freaking me out lately? Not to freak people out. Some crazy shit. Look like Hurricane Sandy. You know what I mean? Look at anything like that and wouldn't yo when your whole block doesn't have anything and nobody shows up for a week. Listen, my good friend lived for that. My good friend Tommy Jr, he told me that they used, they had to drive four hours to use their cell phones. Like your phone wouldn't work anywhere. You had to drive like way the fuck out. He lives in um, in, in Connecticut, like right near the New York border.

Speaker 6:          01:54:19       And he had a drive, you know, fucking hours. They said that food was nowhere. Like within a day food was gone everywhere. People were like going to Dunkin donuts and wait in line at Dunkin donuts just to get something to fill your belly. And then they're running out of food. I mean there's like almost nothing left. He said it was crazy and he said it happened so fast. He was like, he goes, you would think this has helped Tommy junior talks. She goes, you would think they were prepared, right? You would think, well let's see if the power goes out for a week. We're going to need this amount of emergency foods so let's have it nearby goes, fuck that dude. He goes, they weren't prepared at all. It was every man for themselves and he goes in a really made you realize how fucking scary things could get in like that.

Speaker 6:          01:55:01       He goes, cause this wasn't shit. He goes, it was a big storm, but he was like talking about like thinking about all the things that have happened throughout history, human history that we know of that was way bigger than that and think about all the shit that happened in the dark, dark past of the fucking earth when we know let's put a carved and just a couple of major events and now just just string a couple of those major events together. Like, say something even larger than Sandy. Katrina is, let's just say at the same time, it's not, it's far fetched, but at any possible, remember when that volcano went off and like nobody could fly for fucking, I was stuck in Europe. Dog Let go. So let's say combine it with some super volcano eruption. It's not that hard. I'm not even talking about schemes are disasters of the end of the world.

Speaker 6:          01:55:42       I'm talking about motherfuckers get hungry, they get vicious man, and I'm gonna keep mines. Yeah, and we don't have our, our, our life is not set up organically right now. Our life is set up to revolve around the, the grid and until people develop as much food, as much access to food organically as I do by getting things shipped and carrying them from here and there. If you are not responsible for the production and cultivation of your own food, which most people don't have the opportunity to be, then you're not autonomous. And if you're, if you're not, if you can't support yourself and some shit hits the fan, you got a real problem. Because also something that, God forbid, I'm going to put in there where the truck stop coming into the supermarkets. You know, I got out. So you asked me if from a prepper, I guess.

Speaker 6:          01:56:25       Yeah. You know, in, in, in, uh, yeah, I guess I am because I'm fucking ready dog. Well, I'm gonna, I'm gonna get you with Steve Rinella, man. I'm ready for like that. I have a number, I'll get to wherever, you know, I gotta get like through, if there's a certain amount of time there's going to go. They also, I believe, you know, living in our society, it's like, even if something bad did happen, you're only talking about at the worst. You need to be able to hold yourself accountable for yourself for about three months at its worst. That's what I figured. You know what I mean? Unless we're talking about some nuclear disaster and then it's like, who the fuck wants to be here anyways? Take me out when that motherfucker happens. You know what I mean? Yeah. That's the thing, right? It's like, how much damage do you want done to the earth before you like to this?

