Speaker 1:          00:00:03       And doing it again, I can.

Speaker 3:          01:29:43       Funny. He's always been. He's always been funny, but he's got this new level of, I don't give a fuck that, you know, I haven't seen from him before. He, he took it to the next level this weekend. He's great. This past weekend was awesome. He was really funny in Seattle to do like a half hour. That's great. Yeah, it was awesome. Killer. It's just like my. It's like my style of comedy that I enjoy watching. Just like really ridiculous of rude, honest, hilarious, descriptive. It was really fun. It's like, you know, like there's certain types of music, you know, like if you go to a club to see music, it's never just live music and you take a guess is whether or not it's going to be hip hop or country western, but what standup comedy is like? We don't really have genres, you know, you like you could call someone to shop comic, which is, you know, derogatory really to a lot of folks.

Speaker 3:          01:30:34       But me, mom, my favorite comics would be classified in the shock, comma category. Like dice clay, like you call them a shock comic. I think he creates ridiculous scenarios that are disgusting and Hilarious. A lot of us think, but don't say, uh, by the blade. It's a fucking work of art. Okay. He's a character. His name isn't even Andrew dice clay. He's made a character. He's, he does it onstage. He's got giant glasses on and he says ridiculous shit like that. You can't just diminish that by calling it shock comedy because to me it's not, it's a style of comedy. It's a legit style. Yeah. But we don't have labels, you know, it's like there's certain types of comedy where, you know, you and I were talking also about how, what a privilege it is to feel it to be a headliner and to be somebody who gets to perform all over the country. And like sometimes I look at, I was in Miami, Fort Lauderdale and I just, you know, it was, I did at one point, I just had them going pretty strong and I just looked at, I was like, I felt like the luckiest human being in the fucking world. That's why when I watch

Speaker 2:          01:31:32       at Makani, he fucking magic mike and his fucking leather chest girdle and it's fucking hot pants and any and he's coming off say, hey yoker boy, come flocking. Do 10 minutes of stand up. You fucking idiot. I don't jump off stage like I just did an hour and a half and crossing somebody hugged me hard so I can kiss your mouth. This animosity attracted him. Alright. Expressed. I hate them. I mean I hate him. I hate him. No, I was just thinking about how you're. You're an actor and you have five scenes in a movie and be like, Whoa. You were great. In that movie it, you collectively are probably doing 10 or 15 minutes of actual activity. Whereas when you do stand up, you're out there for. You know, it's just a different. It's just a different thing. Feels it feels a little. Why would you care though that he wants to be because it was a matter what's going on now.

Speaker 2:          01:32:28       I just saw the movie and I was just. I was just looking at him going, you're just, you took this movie just so you could wear those outfits. He gave you the biggest boner. Did he? He did. If I was, if I was gay, I would definitely. He's a very attractive one. Would you choose I Mike channing tatum. Really? My boyfriend. You kidneys got full mouth. Best genetics. He's got sick lips. The eyes out of the cat eyes. Seems confident too. He's a great guy. He's got a big cost sense of humor. We're both really something Joe Rogan a bronc allocate. It gets talking about channing tatum cost. So that just came out of here. Here's my bet. He's got a big truck. Did you watch the uh, the actual whole moving because I wanted to annoy myself more and more. Although I thought the movie was good and I liked it.

Speaker 2:          01:33:13       I liked, I liked channing tatum. I mean I had my hands. That movie looks so gig channels. I was flipping through the channels and I saw it popped up and I went whoa. Change a quick like you know, how you flipping through like you have previewing next preview at a hotel, what was checking into a hotel and like I was like, this is so gay. I got to get it off. Like dudes were like gyrating back and forth. Which by the way, I think women like that. I think that motion is really just isolated. Someone Riding Dick's. I don't think that. I know gyrating like the way a guy's doing it. Women like the rusting they like to get fucked. They don't. They want you, your Dick Riding circled man. Dick Riding, sweaty circle. Connie's too. And he's got a fucking a leather thong and he's doing back bends and shit and, and, but the character I was watching, what bothered me was I was watching.

Speaker 2:          01:34:06       I go, you know, as an actor, if I took that role, there's a lot I do with that role. May Be, but I wouldn't because there's not a lot to do. Like he played it. Just one note, shut the fuck up bitch. She would take that role at a God damn heartbeat tatum and your underwear can be your boyfriend. He'd be carrying them around like he was crossing the wedding nuptials. I would look like I have fucking rickets next to that guy. So he would do the movie with them though. Dude, you would do it. So shut the fuck up. Matthew mcconaughey. A hard time and you're doing the movie. Maybe he just wanted to meet Jenny channel to Matthew. Sorry. Rather than. I don't mean to put you down enough guy. I hear, I hear. He's a very nice guy. Yeah. Here's a nice car.

Speaker 2:          01:34:46       Testing me and he's not really vain and not an annoying. Well listen man, he's playing a part. How could you like if you judged me based on the movies? Zookeeper. You fucking dance in Malibu. Who Does? Yeah. With the shirt off. Yay. Does. If I see you and you're doing pushups in front of the pavilion in Malibu, I'm going to take your back. We're going to take you back and I'm going to get their hooks in my French, kick him in the ribs. Just gonna. Hold it. He can scream all you want. You shouldn't have been doing pushups that a lot to do with a knapsack on, with a knapsack on a Bandana was while tourists take pictures of you, is that what he was doing? That annoys me. He wanted to be really fit for this movie. Maybe it was like something he was working on, like what kind of exhibitionist could he become because he was playing a part in a movie man.

Speaker 2:          01:35:29       Did you murder? He look, think about, look what, what, what's his name does when he does. Um, uh, Daniel Day Lewis, when he gets immersed in a role, he's, I mean, he's unbelievably immersive. Maybe that's what Matthew mcconaughey was done. It was just being a douchebag. He's playing a Douche bag in the movie man. And that's douchebag activity at the role was in so much of a Douche bag. The role was more of a, just think he's supposed to be the club owner, but you'll see what I mean. Would it be okay if he did pushups in a weird place where nobody could say like say if there was like his. There was like some grass in front of his car and nobody could see any dropdown for a quick 15. Here's what Bob. It bothers me. Yes, there I am. Here's what bothers me. If you work out just for the sake of vanity to and then and then it, I, when I see what you're doing is just, you're just sculpting for, for it to be a peacock.

Speaker 2:          01:36:10       I, I understand. I get, I get staying in shape. There's something about it. If it's not for something functional, it was not for something like that. You're doing. I immediately. I'm just saying you can do it. You're not my friend. That's all I'm saying. Why is that? What about a guy who's just doing like bench presses and curls? Never touches the legs. Just wants to look good in a tight shirt, but he, he's doing it. You know what you know. You know why I like that? Well, I've got no problem with that. He's doing it so he can go out and get laid on a Saturday night. Fucking a bless you. What do you think Matthew mcconaughey is doing when he's wearing leather underwear? Doing that so he can fucking get the dailies and checkoff self. That's why he's fucking doing it and there's a difference.

Speaker 2:          01:36:52       I see Matt Maconomy to want a role like that. Magic Mike All. I'm seeing something masturbatory. I watched channing tatum. He's trying to do something. He's actually playing a character who's fucking conflicted about being a 30 year old stripper and it's fucking great. Makani he is is. It's a masturbatory performance. He's watching himself. He's not trying to do anything. He's not trying to express anything. He's trying to play. I mean, the guy has shown a pretty broad range of angry in the world of television. Merriam. I don't want to marry him, but it was really good and contact the hell's going on. It was all right. He was good in contact. I enjoyed him. I thought he was sensitive about that. Seemed like the type of guy that would fall in love with Jodie foster. That was a long time ago. He listened. I can't believe you just brought that. He was great. It's amazing that even after all those years, they still have such a great body. He looks, he looks freak you out. He looks phenomenal. I mean, he's got his hair. His skin is really youthful hair probably. Did you probably clues from here on? Maybe there's a lot that's fake magic Mike, but this isn't. This isn't Makani. Watch him

Speaker 6:          01:37:56       because I do.

Speaker 5:          01:38:00       There's your boy. He's awesome. He's got a great sense of humor to Mike. Mike has fans watch him dance. Doing that dreamboat guy that never came along. That's actually the idea. Like how do you know my brother? I'm an entrepreneur. I manage a few business trying to hit on my system. Okay. Good. Top entrepreneurs. Super. Super Entrepreneur. Either one. I was hoping it was pretty funny. I'm just trying to figure out why women money and a good time. Just trying to forget about the people who existed in the [inaudible] right? Are we fighting? This is our first place.

Speaker 6:          01:39:12       Wait, when is he a stripper with a heart of gold because I think that's what's going on here, man. Dude, is that much. Is that channing tatum? I was Joe Rogan. That was so weird.

Speaker 5:          01:39:21       I just can't be around your lifestyle. Am I magic Mike? Right now talking to you,

Speaker 6:          01:39:25       am I imagining this might be a great season? Might be roadhouse is actually an okay movie, man. You just turned gay. Then this whole movie did you just weren't gay or there's. There's Matt. Let me see. Are there is. Oh my God. He doesn't kiss me song. Really.

Speaker 5:          01:39:45       That's it. I want to see more. Uh, you don't want to know what I have to do for 20.

Speaker 6:          01:39:50       Oh, I get it. You suck a cock show. That's what really goes on with this kid. He's about six [inaudible], two trapping beast of a man played. He played college football. Shrink wrapping. Fucking athletes. Who the fuck? Why didn't you watch that? I don't know what happened to you. I was robbed on your calender. Mrs. Calender to watch. He's. He's blaming. Wow. Oh, I might have to get high and watch it, but I'll probably get really scared. I'll probably have to get my blankie. You get a little jealous. You better be inside of a pussy when you watch it. Really a time. I don't have that kind of stamina or desire for. Well, that's why I got tricked early on in life, but I figured it out now I'm fine. Just beaten off and then going about my business. So you got to take one of these pills.

Speaker 6:          01:40:39       Yeah. What is this stuff? He took a hot rod. 5,000. Throw that shit over here and I took one last night when I got home. What's in it? I can't read this. It's something extracted from aunt. So I guess. Well I don't know. Something aunt's maker. You have hard ons and I maybe just don't know that ants have rock hard boners the whole time. Look at this label. Look at this. What it is. I guarantee you there's probably some fucking prescription drugs. I was going to say just my. It's marketed towards the gay community. I heard that. I bet you could give. I'm not saying it is, but if. What if it was. Is it possible that you could get viagara like bulk Viagra, like because they have generic or whatever it's called, would it modafinil or whatever the fuck. The actual chemicals that the label is so tiny that you can't even read it.

Speaker 6:          01:41:25       You can read what the fuck's in there. There's some kind of prescription thing in their life that they definitely found that with a athletic supplements that there's been a lot of athletic tainting where you take some shit and then actually have steroids in it. There was some stuff that they used to sell that's illegal now. That essentially is. Yeah, well there was a thing called Mag 10 that I took and holy shit, it was unbelievably strong and you could get it at GNC. I was fucking soul strong when I was taking that stuff. It was amazing. It was just deck animal or something or I don't know what the fuck it was, but it was essentially it was an oral steroid. I mean it had an effect of a steroid and you can get a GNC for a little while. These have ghb it at GNC.

Speaker 6:          01:42:09       I remember seeing that shit. It was in a fridge refrigerator. That's Hilarious, but it was the biggest. I mean it just wouldn't go away. Like I would mess up and then just to be another boner that had been masturbating again. It was just crazy. That sounds like it's just as good as Viagra watching magic. No, it was just a coincidence. I was, it was odd that a boner. Well, I mean, the only thing that they could be doing is, uh, maybe maybe it has some nitric oxide effect. I mean, that's the idea behind a. like those opens up your m and o two pills. Capillaries. He said that gave him crazy boners. It gives you a bonus that has a very viagra like effect. What's that? Those, a nitric oxide drinks. You know, those drinks like eno to explode and shit, which might be illegal now explode.

Speaker 6:          01:42:59       Yeah. Maybe that's it loads. There was some other stuff called Jack Three Day. One of those is off the market now. One of them, they yanked jacked dude. I used to take that stuff before I lifted and I just fucking just start sweating. Like immediately your heart's pounding, sweating or I'm waiting for them to. I want to. I want them to block the Myostatin my fuck. You don't want to do that, man. You, you'll look like that artificial you that they used for your, uh, your ad for special. You holding the mic up my arms and they looked like dean listers be bigger because more stupid because they're like, we can't look. It doesn't make any sense. Look at your head. Exactly how the framework for this narrow head. It's weird when you see people that have like big parts of their bodies and then everything else was normal. Brennan shops a little bit like that. Like Brendan's got a small, like, like he's got a headline

Speaker 2:          01:43:52       for that fits on me and he's 65 to 50 and I was looking at his head. I go, dude, you have a fucking. His hands and his head are not very big. What did he say? He, yeah, he was like, yeah, I know. I've got a small fucking head and I got to smile. I've got small hands. I was like, because the rest of his body is retarded. Like he's so fucking strong. It's weird when people get looked at the worst, the biggest head when you have a big head and a little bond. He said the worst. A lot of starters. A lot of stars have that big of little bottles. Yeah. Mick Jagger and shit. Yeah. He had a big, huge head, giant head. He's 130 pounds, but your head keeps growing. Keeps growing, keeps growing. That's the weirdest thing that you see old people when they have gigantic ears.

Speaker 2:          01:44:30       It was like, Whoa, what is going on with your ears? Man knows a large nose though for some reason is not as disturbing because some people like from the get go, they have a large nose. It's just to. No, it's a masculine trait to the ears though. It's like, what is happening to your ears? Can you. Can you stop those with your guards? Because that shit is worse. Can you bind your ears? What if you're an old dude with cauliflower ear? I mean, it looks like a Jean labelle. He ever seen. Both sides are so big at the sun. Never hits his face. I was like, what the fuck is with those ears? He's got a giant. He's got a giant head. He's 80. He's an older gentleman. I wouldn't want him to get me in a fucking double risk law. Yeah, we had 80. He'll break your fucking. There was a story with some kids breaking into a car in this neighborhood just fucking 10 years ago or whatever when he's 70 years old and he went out to stop them and they gave him a hard time. We put one of them, the sleep, the other one who flips on his head.

Speaker 2:          01:45:24       He's no joke, dude. Now certain old men who can't fuck with man. I didn't fuck with him when he was young and he was. He was a stunt guy on my on death valley, the TV show I did and I'm sitting in, I'm in the makeup chair. I'm pontificating about fighting like I liked fucking makeup, chipping the belt in Jujitsu. I'm talking about. I got. Well the guy that's going to beat him in this UFC fight and I'm like going on and on and basically Joe Rogan lightened the fucking trailer. Right. But I don't know as much and I'm like fucking being a fucking you. If you'd heard me talk a little bit like this is going to fight in the octagon, you know, little knowledge goes a long way. Fucking gene. The bell starts piping in, but he's got Zombie makeup on and I go, you seem to know fighting a little bit and, and the mangoes says Sheila Bell, Bro.

Speaker 2:          01:46:04       And I go, Holy Shit, Mr Bell. So sorry I haven't talked about fighting this whole time. And I spent, I was glued to his side for three days, a little puppy. Puppy dog asked him questions and everything and he's a sweetheart of a guy too. He judges does a lot of judging here. You see him at a MMA events and he's always with Ronda Rousey, you know, he's a. He worked a lot of those guys that she worked out with him or something. Well, he worked with, I'm sure the sheer. He's done some work with her. He's worked with a lot of those. The Armenian dudes go cars guys. Like there's what? A group of fucking animals are they? Oh yeah. Car Row strong shit. Cairo Cairo's. Ridiculous. Strong. Karl Pribram was back when, I think it was a blue belt or a purple belt and just ragdolled

Speaker 3:          01:46:50       me. Really? Yeah. Yeah. He throwed me around. He throwed me around. He's strongly shit. Well, you know, Caro beat, so could you in a fucking judo match when he was a kid, so could you. Is so much bigger than Carl. And they had an open way. Judo match and Carl beat up. That's weird. Strong that way. Carl was a super talented a judo too. He had a real bad injury though when he was training for the Matt. He fine, you know, Carl was a. had a bunch of. He's another dude that had not budget per prescription pill problems. And what happened was he tore his leg when he was training for a title shot back when Matt Hughes was champion and he tore it bad. He flexes it when he flexes it. Now it looks like a shark. Took a bite out of his leg and I'm not exaggerating, his hamstring just disappeared.

Speaker 3:          01:47:30       Exploded. And he never got it surgically repaired. So he's got this big concave area and his leg and it took most of the power out of his leg and he got him on pain pills. So I that, that guy health insurance. Well, I mean I don't know what it was and I'm sure that's. Yeah, I'm sure he didn't have health insurance or maybe tried to like rehab it. I'm pretty sure he didn't have insurance. So you know, now I don't know if there's anything they can do about it. I think once the muscle like slides back and rolls up, I think it's really hard to reattach it. I think they have to do it right after the injury. I know that's the case with biceps. Like a lot of dudes, they blow their bicep out and then they have like no bicep if you seen that before.

Speaker 3:          01:48:10       Yes. A lot of fighters have that where it curls up and it's like the top of their bicep was like a little knot and then below it there's nothing left. Yeah, that's what it's like with his leg. So it kind of fucked his career up. You know when you're making your living off your body. Well then the other thing about training, you know, as you get older and a lot of guys were training a long time that you want to go in and blow yourself to bits in the gym. Actually what happens is by the time you're 40, a lot of times you're, you're having major problems with your hips or your knees and stuff like that. So a huge part of exercise is knowing when to stop and doing just enough a body. If you look at people's bodies like athletes and stuff, you realize no matter how strong they are, we are fucking fragile man.

Speaker 3:          01:48:51       Bone and cartilage doesn't really do well under duress. Yeah, well there's certain parts of your body that break, you know, there was nothing he could do about it. And they hips, hips, ankles, you know, certain shit that just breaks down. Man. I see a lot of people with hip surgery. Man, that's scary. Fucking shit. Hip Surgery Sucks because when you get a fake hip, it's good for 10 years. That's ridiculous. And you're not doing sports anymore. And by the way, if they come out with some shit that grows you a better hip joint, now you can't do it anymore because you've hacked your shit off and put an artificial one in there. Well, they're going to have artificial bones. Artificial ever. I mean, haven't they already replaced like femurs and stuff or. I don't know if it was a Femur, but I believe they, they've replaced part. Maybe it. What's the Big One? There's a fibia and that there are a number of people who have, who have rebuilt. Literally they trachea's and bladders. They take the cartilage from a cadaver and then they sponsor

Speaker 7:          01:49:48       cricket. Cricket, cricket. Yeah. That's funny. Oh, that's hilarious. Let me to try find. I'll try. I won't find it. Bridal tell you. Well it was. I was in the desert. As soon as you get up, you stopped some real hamburger and let it go rank. Um, but uh, what was I talking about? Something really important. What were you talking about? Like it now you're looking for it and it shot 20 cricket injuries. The body they take, they took a trachea as women had a tricky. I had to be removed because of tuberculosis, and then they took a trachea from a cadaver and they sprayed it with her stem cells and she grew a trachea and now she has it in her body. What happens is, I believe that the cartilage then is taken over by the stem cells and they grow their own cartilage. So yeah, she grew her own tracheas. That's incredible. And they did the same thing with the bladders.

Speaker 3:          01:50:42       Well, you know, when you grow, when you have an acl surgery and you use a cadaver acl graft, it basically just acts as a scaffold and right. And then your body develops to build over it, a real acl over it. So as you do your rehab and your exercises, your body is assimilating that, that tissue and taking over with its own. Right. So in the first, you know, in the beginning it's just like, it's not really wanting to grow new scaffolding stuff, new fucking legs for people that lose their fucking land. People think that it was replaced. They think, well, now I got this new ligament, it's in place. And uh, you know, I just got to strengthen it like, no, no, no, no. It's like, it's got to grow. There will have to talk about his acl, you know, you, you feel 100 percent.

Speaker 3:          01:51:23       But the, he didn't do it that way. He did a different thing. He did a different thing. He did what's called a Patella tendon graft and that I did on my left leg. And what that is, you know that tendon in the front of your knee, and this is one of the arguments for doing this. The tenant in front of your knee is really big. It's really fat. You don't need all of it. So they take like a third of it and they have a piece of bone from your Shin where it attaches and a piece of bone from your knee cap where it attaches there. And then they open you up like a fish and then they screw it into the bottom of your leg. They screwed into the top, scrolling, scrolling through the bone into your. They drill a hole in your leg and then they screw the bone into place.

Speaker 3:          01:52:04       I have screws in the bottom of my knee and in the top of my knee and the left side that show up and x rays to amazing. Yeah. And then it's just a matter of getting circulation to that tissue and letting that tissue heal up. And he was talking about, he said he had to wait for a circulation of capital or is it, it's a use a long process. And you also have to make sure that during that process you don't reinjury yourself because you still essentially have no acl on that side. This is wobbly piece of flesh. When was the last time he fought George? It's been awhile. He, uh, he injured his leg at least nine months ago. And uh, you know, he's, he's ready for November and know a performance enhancing drug. I know it's an important test. Positive for weed man.

Speaker 3:          01:52:48       He tested po man. He didn't listen, man. Fucking Po, Po is on his ass. He tested positive for a marijuana metabolite, which is non psychoactive. So what he had in his system, like say if he only took this marijuana metabolite, like took it into pill form, it wouldn't do anything. It does. It literally is non psychoactive. You can't get high from it. So the idea of marijuana as a performance enhancing drug with this non psychoactive trace element inside your body, it's just silly because he wasn't in. It's one thing is if he tested that he was tested, that he was high when he was fighting. Okay. And by the way, that has happened when he fought Gomi, they did a test. I don't know if he was actually high when he fought gummy, but he probably got high of the day before. Amazing. Fucking great. That was a great fight to going in that Gogo blog.

Speaker 3:          01:53:39       Oh, that was so sweet. He was like, he's so calm under fire, man. He, he sets that shit up and slapped it on me. That was a. That was a big, big victory. That was some anger. But that controlled anger, like somehow he can keep it. The thing is about is pace. Nick Diaz has this crazy pace that he can keep going, so other dudes like as you were in this wild dog fight with him, they were out and he just keeps going. Well that's kind of why I'd like to see it. Cain Valasquez fight fucking John Jones. Well, Keynes gonna Fight Junior. Dos Santos. That's the next one. Start the first time, right? Yes, he did. They're fighting in July. The better boxer. Well, well I dunno when Jr Kratos and it's just what it is. I mean they said that junior had a knee injury. Cane definitely had a knee injury.

Speaker 3:          01:54:24       They fall on Fox and know cain stood up with them a little bit too long and junior just winged the bomb. Adam and caught him right in the town wearing gloves and those guys. When you guys guys who hit that hard, I don't care what your head looks like. You're going out. Yeah. Well Junior, junior punches fucking hard. You know, he punches hard and he swung that one. They're fighting again. January the January first weekend. I think it's December 29th. The big event in Vegas. It should be fucking crazy. And that's the rematch because everybody thought before that fight, the junior dos Santos was going to be, you know, a top fighter, you know, they, they definitely thought that he had a chance of winning that fight. But king was the favorite, you know, Cain was the guy that everybody felt like after he destroyed brock Lesnar, every Goddamn Cain Velasquez might be the best ever. What a fucking heavyweight destroyer. But junior just changed the whole course of the heavyweight title picture with one punch, you know. And now everybody's scared of junior. He's so hard to take down. He's so hard to take down. His hands are so good. Didn't he? Didn't, he? Uh, he took care of a Carl and as well, right? It'd beat the fuck other Shankar one man. Shane when took that fight to coming off of injuries chain has had a succession of injuries, mostly related to electrical engineer. Super Nice Guy. Super Smart Couples. SMART, great guy. He's strong, strong.

Speaker 8:          01:55:44       He picked me up in a bear hug and started squeezing me and Andy and I. and I was like, because I always fuck with them, I'm grabbing them. I'm like, I'll fucking, I'm dragging and pepper your ribs or whatever. I'm always, he's such a giant. We tried to arm wrestle. He picks me up, he starts squeezing me and I started immediately tapping and he goes, that's 40 percent bro. And I look at nate markers right there. And I go, could he do that to you? And it goes, if I let him, yes. He goes, yeah, he's a spooky dude. He's got some serious strength. He had a long series of injuries that he got from football. Quite a few. And he's had some surgeries to sort of clear up some of the issues, but when that stuff starts fucking with you, man, you know, especially back in nerve issues.

Speaker 8:          01:56:23       He's had a lot of that. That yeah. Well I think he's probably smart to keep that full time job, you know? I mean he likes working till he says it separates. His family likes work and he says it's the work sort of separates him from the gym time and let them to completely relax and get into his work. And he allows him not to dwell on it, like some fighters just have the whole data themselves. You said he's got such a good sense of humor. I did little guest spot on on the ultimate fighter and I came in at one point I had, when I first met him, I go, fuck. I go, I don't know what I do. Like what would I do with you if you were my roommate in prison? Like what would I. What would I do against you? And he goes, you'd suck my cock with those eyes.

Speaker 8:          01:57:03       He just did nothing blinking. He just looked at him. You'd suck my cock. I was like, Jesus Christ. Yes. I was trying to talk him out of it. I'd have to figure out a way to make a six foot one, 285 pound fighter my tight. Just talk them out of it. Yeah, just sucking cock. How bad your breath smells. Exactly. Yeah. What if you just took a pool in your hand and rubbed it all over your mouth? Still want some of this? What I would do, bitch, you want me to suck you? Would you rather eat or suck her? Suck Shane Collins. Dick. Well, you probably use the celebrity. Probably healthier to suck his dick. Think of like eating poo is really dangerous, but hepatitis from one and just, you know, a Shitty, shitty self esteem from the O'brian. We're going to have to hire someone to kill that fucking crooked.

Speaker 8:          01:57:43       I'll just bring my cat over here. You calves not good enough with that cricket. The cricket is a gangster. He's a Pasadena cricket. Don't make fake noises to fuck. She make you feel like you guys are camping again? No. There was no bugs too cold for bugs, man. Yeah. There was no bugs at all. We were out in the middle of nowhere. We go to. I was thinking about this. If we go in August to Alaska and hunted Caribou. What about grizzly bears? I don't find possibility. They encountered, um, this last. They went hunting with Tim Ferris, who by the way was returning to the podcast, I believe on the 18th powerful Tim Ferriss podcast. He's not available. He's doing mine though. And the 18th. Sorry. Sorry. It's only about Brian's going to bring it back. Get back in. Your Day. Went in August. They when a Caribou hunting, he went with Rinella and they shot a Caribou, but apparently they had a chase grizzly bears out of camp because the care.

Speaker 8:          01:58:39       Yeah, because what was happening was the Caribou, they, you find them when they run in these big herds. Okay. You go out and stock when you find them. Well, there's camp grounds and some of the Caribou had gone through the places where people were camping. So the folks that were there before them had shot Caribou in that camp grounds in the campground smelled like butchered flesh. Fuck. They had gut piles. They had animals hanging from me. So when they got there that night, the grizzly bears came. So they had a scare him off. They had a run at them and shoot at him. Jesus. Yes. I don't like that. I don't like that. That's one of the first things that I talked about. Dog Fuck that before we were so apprehensive about this trip, both Brian and I were both like fucking what about bears duty?

Speaker 8:          01:59:20       Worried about bears? Yes, I called him up, he was, I was just fucking thinking about bears because as it got down to like the last couple of weeks we were like, we're really going to go camping with these crazy animals and the middle of nowhere. No, you're in a tent and you can't protect yourself. You can't see a common. Especially for the first night was freezing rain. The first night was 35 degrees outside and we were sleeping in. It's pouring rain and twelfth grades on that boat on a canoe for four hours. I had, I was literally wearing a sleeping bag. I was fucking cold. It was cold as shit. But uh, I, I'll use it as an exercise. The rowing part, I just rode as hard as I could use it as a workout. And then the hiking, I just thought of, you know, control my breathing and use the hiking is just moving up.

Speaker 8:          02:00:05       There's no promise promise when you weren't moving, you know, I almost did a workout the day before we left. I was sitting around the house. I was packing up all my shit. I was like, maybe I should just go lift to do a crazy kettlebell workout or something. If I did that, I would have been so fucked. I had no idea it was going to be so physically demanding. Those guys have. You have to be in serious shit canoeing and then you're hiking and you got to pack on your back of pack in that meat out pack, net 45 pounds of meat or whatever it was. That was not easy and we only had to walk a mile. He talked about an elk that they shot where they had. They got up for four days in a row. They got up before it was light and they got back when it was dark out and all they did was caught and pack this fucking animal.

Speaker 8:          02:00:48       Bring. It was so bad that you were looking for nine miles out of yourself or something. You know? They walk nine miles both ways everyday, so they walked 18 miles and brought back, meet every day over the hills and craggy bluffs. Is that a real thing? Sounds good. Sounds good. Dry Creek road. The sre with all sorts of following them as they went left into the right at the show. I got his. By the way, when are you gonna you have to listen to just, if you get a chance. We're posting it. I don't know why I'm thinking about this. Are you advertising when your podcasts? I swear to God. I'll shut your fucking life because you're going like this. You're going and you're talking about for some reason character. And he used to do a Mike Tyson. And uh, we do. Uh, we do a little interview with Mike Tyson. I'm a 10 minute podcast. You might want to check it out. Who you interview actually interviewed him. What'd you catch them? Don't worry about it. Just fucking listen to it. It's only 10 minutes. Oh, it's will sasso doing a Mike Tyson. I don't do that to me. You fucking lying to me. I looked in your eyes. I saw deception.

Speaker 3:          02:01:52       I'm not a girl, Brian. I was like, oh, I can't do this to me. Trying to advertise your podcasts and you figure in the way that you really had Mike Tyson, but you didn't get son of a bitch. Fucking impressionists used to do Mike Tyson. Can you do it? It's not that good. It's pretty good. I'd have to listen to them talk. If I listen to him talk, you could do it. I can, I can imitate people. Want to hear them talk a bunch of times, but I don't practice like, I'm not like, I'm not like a real impressionist. Like, like they had a. and Anthony had was his face. So that was talking about earlier. Uh, Kevin Pollack, who's brilliant, his fucking impressions are ridiculous. Like have you heard is Christopher Walken? That thing just popped and nobody would know. I don't know what's going on. You might have to take this bitch apart.

Speaker 3:          02:02:37       We've gotten, got electrical problems. So the government scanning equipment interfering with our fucking microphones. Those sons of bitches, right? Your own Dick Jokes. Feds. Gumshoe strange. Yeah. It's funny that we think the government listening to us when they could just download it on the Internet. That's how stupid we are. They're spying on the show like this. If the kid just. They're getting it before it's on. USTREAM is not. There's not enough fucking people guys have a computer. This elections close. Is he looking at the fucking tweets and stuff now? It's almost half and half. It seems like. Of course. That's what makes the fucking. That's what makes the plot sounds better. It makes the give it more drama. Even while they're both working for the same people. Actually there's a lot more romney than I thought. Well, white people are mad. When we were in Montana, we actually encountered a douchebag at a restaurant.

Speaker 3:          02:03:28       There was a like berating us, you know about Obama as if he knew we were voting for Obama. It wasn't just that he wanted us to vote for Romney. He was going to intimidate us. He was such a fucking yogurt. Yeah. He was like, it was really funny when you go. It was a cool little diner. It was too bad. This guy ruined the experience by being the owner because the waitress was real nice. The food was great and we're sitting there. God put him in his place though. Yeah. Yeah, it was. It was interesting. We were still dirty from the road. Okay. We had hadn't shaved. We hadn't washed. We hadn't bathed in five days and we were driving from the river to billings, which is about two and a half hours and we stopped and got some food at this diner in the middle of fucking nowhere and

Speaker 8:          02:04:11       walks up and goes, you ain't voting for Obama? Yeah, he killed two of my boys. I was like, now I am yet two of my boys that we. They got to have a to of mine seal team and he had a marine hat on, had a shrine in the marines. He never did a day in combat. You can see those guys. You're like, oh you. You were the guy who who fucking fake an injury when all the other guys were going out and that's what I think. Who knows what he did that might've been a smart move. Faking injuries given that much. My fucking put a desk. Romney's that projected winner in Georgia. That's shocking, is a really hot land. A lot of white people in Georgia, dude, don't kill yourself, don't kid yourself. George has got some money to Atlanta specialist. It's kind of calmed down there now and there are a lot of black professionals in Atlanta, like it's really interesting to kind of a cool thing to see.

Speaker 8:          02:04:57       Like the hotel I'm staying at his, you know, all, all, like just kind of mostly professional black people and, and uh, it's, it's, it's, it's, it's, uh, there was a lot of, I think a lot of middle class, upper class black people went down to it and let Atlanta because there was, the economy was there and stuff for them at the time. And it's pretty cool, man. It's a, it's a, it looks like a town primarily. You see a lot of black people in positions of authority and, and uh, and the movie I'm doing right now is all that and it's really refreshing, man. It's kind of a cool idea. I haven't seen it. You see that more in Atlanta than anywhere. Atlanta is a very fascinating in that way. It's, you know, to, to be a young black person in this country. And look for role models, it's got to be unbelievably hard, you know, and to see like a guy like Obama get into office and have everybody's so fucking mad at them and everybody, like all these white people just having said that though, the people that did elect him, we're at where white people.

