Speaker 1:          00:00:02       Four, three, two, one. Boom.
Speaker 4:          01:21:40       My insignia. So it's, my name is Marco Mel Masiya. It's two m's kind of swirling around each other and it looks kind of like a flame dude. I'm such a Dork for this shit. I love it. So interesting man. And then the handle too, there's something about the, the handle being made out of Antler, like the Antler, the feel that it has in your hand to the organic materials, organic especially uh, antler and bone. They have this kind of like, I don't know if you've experienced it with these, especially cutting up the like the greasy meat, but from, from my experience it does, it stays grippy. It doesn't become super slippery or anything I handle on my bow is actually made out of antler. Yeah. Had it custom made. My friend John Dudley had these ones made from a bull that he killed on September 11 2001 like, oh she has the nine 11 bull and he had these handle's made out of the antlers of this.

Speaker 4:          01:22:38       And it does the way it sits in your hand. It's like it's got an, even if you're sweaty or you know there's something, you know, it's rainy out, it just has an extra grip to it. Well, and especially something like that, like if you're skinning and breaking down an animal and like it's important, but it's not going to like, it's not like one of those moments where you relying on that grip for your life, but when you do need that for your life, like you're trying to do, or like you're digging in the ground, you're falling down the hillside and you're trying to jab

Speaker 2:          01:23:06       it and get it, get a hold. Like that's going to be really important. But obviously that's a very rare, uh, yeah, incident when that one happened. Well, it's just something cool about it too. Well, and just like the tactility. Yeah. It's just, again, it goes back to the, essentially the user experience. Like what does it feel like? How is it different? Like it makes, it really does make a difference. Yeah. And the, one of the cool things to me also about antlers is that they shed them, you know, that they lose these things every year and that every year they grow a new one. Do you know that it's the fastest growing organic material on earth? No, I didn't know that. That shit right there, that giant elk antler that grows in a couple of months, I didn't know that falls off. Right. They lose it after they're done running.

Speaker 2:          01:23:56       So after they're done, like they fell off and they just kind of immediately started, like kind of slowly grow. They grow the whole thing back in a couple months. It's radical. See if you find a video that shows, um, elk antler growth, time lapse, because it's crazy how fast it grows and it's all just for war. I mean, that's all that is. It's to show off for the ladies. Hey, and it's also for war. It's interesting, dear. Yeah, that guy, yeah, Iraq. Yeah. He had that rack just so he could fuck people up or fuck people, but also elk. Yeah. And definitely people you get close to him. Fuck me up. But look at that. The following photos were taken about a week apart over a period. Look at this April 1st I'll check this out. Watch. Just, just have it play out there. It says a over four months, they show the incredible girls.

Speaker 2:          01:24:48       So April 1st watch. This is like at a farm, a that looks like it is. It looks like it's an elk farm. Just let it play out. April 8th boom. So seven days later, look at that. April 15th Bang. Look how big that shit is. Oh Shit. April 22nd it's getting crazy. Boom. April 29th that's nuts. Boom. May Six. Holy Shit. I know. Nuts. May 13 Kapow what mother fucker May 20th Glutton crazily material. Yeah. May 25th June 4th right. He's getting ready to go to war. Yeah. June 10th he's thinking about Pussy. Look at that. It's like now, now I'm thinking about supposed to be June 17th I will fuck a dude up. Comes near me. June 24th look at that. And then July 1st that is crazy. What the fuck? It's crazy. It's crazy. And that's not even done. July 8th July 15th now he's basically still in velvet and then July 22nd that looks hard. Horn to me, that looks like he shed his velvet.

Speaker 2:          01:25:54       And then July 29th isn't that nuts? Bizarre. So by the time August rolls around, they're ripe right now, beginning of September there in hard horned and they'll go to war and they'll keep that shit for, you know, till the end of December. Probably December I think. Maybe January and then they'll, they'll lose it and then they lose the fastest growing organic material. Yes. By volume. Weight, yes. Okay. Yeah, I think by all those things, because it grows so fast, it's so heavy. I mean that's like 40 pounds. Just have antlers. Yeah. And it grows over a couple months. Yeah. It's fucking nuts man. This scene picture on, I made that up about the fastest growing organic material, but I think it's true. I'm looking at, it says, uh, the first fun fact I found it, they can grow 10 pounds of velvet per year. That's just the valve. Just the velvet. Yeah.

Speaker 7:          01:26:45       Hmm.

Speaker 2:          01:26:47       Yeah. But that's probably because a, it's a velvet farm, you know, they use that stuff for human growth hormone. I got a lot of baseball players were taking on a shit. Yeah. A friend of mine, my friend John Rivet shout out to Johnny Ribot, he lives in Alberta in his, one of his friends had an elk farm up there in Alberta and he grew elk non for the meat, but for the um, for the velvet because that stuff that grows, grows so fast and it's so, so ridiculously potent that they would take, uh, antler velvet and they were turning into a spray that would equal the effects of human growth hormone.

Speaker 2:          01:27:26       How could you do that? Crossing me? She's like, I don't know, but athletes, we're taking it, athletes are taking this stuff and it was having this just for like growth hormone reaction in their body aches and like know it sounds like it's superficial son. He'll get it. Isn't that applied superficially or they like score? No, I'm too stupid to be answering your questions. But um, there's something about deer velvet that was a for him, you know, I don't even know if it worked, but it was a big thing in the, uh, the supplement and fitness industry that people are getting deer velvet. The new vibe bought it that you spray it and it's supposed to give you a growth hormone.

Speaker 2:          01:28:07       Would you think of that only beard? Did you have your hand only been before? Yeah, I have. It's great. Yeah, it's great. Olympia? Yeah. Is this from Olympia, Washington? Is that what it is? Uh, originally. Yeah. It think it's brewed in Milwaukee. Now. What the fuck? I know everything's being sourced overseas. I mean what, um, your, uh, from the Pacific northwest, but now you live in Connecticut. The state I shit on the most, this is a whole video out there of me shitting on Connecticut. Like people have made a compilation of me, Shit. Oh, can I shoot? I'm sure plenty of it's warranted. Yeah. There's all of it. Shout out to my good friend Tommy Junior and lived in Connecticut. Yeah, I finally found it. So, uh, I think it's just antlers in general are, are the fastest growing tissue and an Annie Mammo. Yeah. And then she, Elk Antler is the fastest growing out of all of them because it's the largest, so it grows in the same amount of time that the deer would grow its antlers, but it's far larger.

Speaker 2:          01:29:00       You know, like, like if that was been more mass than a, than a Moose, uh, no, no dear. Would be big Musubi where some Moose, cause my are here. They're the biggest, they're the biggest of all of the deer species. Like by far, you know, I think like a full grown Yukon Moose could be as much as 2000 pounds. A really big rocky mountain elk under normal circumstances is like a fucking giant one is pushing a thousand genes. It's a giant though. That'd be like a 400 inch bull like that one that's out for the, the inches. The measurement of the size of the inches of the antler like that. Do you see that one that's in the front? That's considerably bigger than this one. That was the one out in the front is 382 inches. That's a giant bull chasing. That fucker was about a thousand pounds. He was huge.

Speaker 2:          01:29:56       Huge. Moose. Moose is twice as big. Hips would see that thing go. Shut the fuck up, bitch. I got to go. And they just start running for Moose. They, they're, the weird thing about a moose is their antlers or like a door, you know, it's basically like they're so fat thing. It's not like pokey mean. They're basically like they're hitting each other in the head with doors. Right? They're like big old gloves and, but you seen, have you seen, I've seen a few pictures where the, especially the Moose there, the antlers get locked up and they're fucking stuck more deer than Moose. Yeah. Because the design of a moose antlers is like, it's not as intertwined. But with deer it happens all the time because there's a little bit of flex to the bone. And so the clash and in the force of the two of them slamming each other, they get stuck.

Speaker 2:          01:30:44       CTE Will they drown? Oh Gee. They've, they've fought like that and then, you know, wrestled and wound up in the water and one up drowning does a horrible video. I saw of two deer that got stuck in one of them got killed by a coyote. Not just get a whole pack of them torn to shreds. It tore him and they eat them. Asshole first, as I've documented many times in this podcast. Um, it's like a lot of animals do go for the buck first. Well, yeah. Lions do. A lot of them do. Yeah. I don't know what that's all about. Um, but the, um, the one deer was still attached to his dead friend and uh, these hunters had to help it get released and they saw one of the antlers off the other deer is dead deer and fried it. And then this other one ran off.

Speaker 2:          01:31:33       Like what a nightmare that guys lived through. Right. You know his buddy, it's his ass hole torn apart. They literally eating him alive while he stuck to the guy. Oh my God. Probably fight. Yeah, I have him as well kicking in and it could he be trying to talk about, could have easily been you. I mean literally could have easily been yet. There's two dear. One of them gets eaten alive and the other one's just sitting there like, like living with the horror of his and then these people come over and he can't get away from the fucking people. And it's like, these people are gonna eat me and they don't even eat them. They let them go and they're hunters. They freed him up and let me lose crazy. Yeah, you got that. Oh, there's one that elk got stuck with a dead elk.

Speaker 2:          01:32:14       That's a dead elk. That's an elk head that stuck on this other elks. But see, I don't know what that was. That to me makes me think that that could have very easily been like an elk, found a dead elk and just started head butting in and ripped his head off and got stuck with them. They kill each other all the time right now. I mean all the time. Oh Geez. Look at those racks, dude. When you hear them fighting, like one of the first times I ever went elk hunting, we were coming over this hill and it sounded like two dudes slam and baseball bands together. Just crack, crack, crack, crack. And when we came over the top of the hill, these two giant elk were just running at each other and smashing each other. It was a magical day. It was like one of the first times I ever elk hunted.

Speaker 2:          01:33:04       And there's a thing that happens when you hit a peak rut and when the peak rudd happens, they just go crazy all around you. They're all screaming and it might only happen once in a season and you just, if you might be there for that couple hours when it all goes down, what's insanity? Insanity. There's all around you screaming and head butting each other. I can't even imagine him walking over the top of the hill and it's like fucking stumbling across are so vulnerable. First one, I got a tree and they're screaming and they're so big, man. It's, it's a screen. There's two going at it right there and you hear him, they just clash and slamming each other. Oh yeah, you hear that? It's the boy dog. Fuck man. And they don't even know he's alive right now and they kill each other all the time. But the hormones they got going on.

Speaker 2:          01:34:01       It's like, I don't give a fuck about anything else. Yeah. My friend Cam came across one last year and uh, he crept up on it. He thought it was bedded and he shot it with an Arrow and it didn't move. And he's like, what the fuck? And he got over to it. It was already dead and another elk, it stabbed it. They stabbed through the heart and it laid down and died. Right. It happens all the time. They are, they're always finding them that other other elk have murdered. They don't crazy. Fuck. They just trying to get that policy. So I to get the pose, how much does it right? Is that a monster? A month? Just a month. Maybe a little bit longer. There's a second rut. Sometimes in October when a another female, we'll go into estrus and they'll resume the Rut. Yeah. It's magical times. Yeah. I can't even imagine stumbled across that. It's pretty cool, man. It's pretty cool. You know the, the real wild, the actual real wild. Well you are in Connecticut, man. You've got to worry about two things. Hitting a deer with your car and lyme disease.

Speaker 3:          01:35:01       The lime dust. Okay. So that's something that we didn't realize we were moving into. Oh Man,

Speaker 2:          01:35:07       I wish, I wish I told you because you and I were going back and forth when you were about to move,

Speaker 3:          01:35:11       right? Yeah. That was definitely one of the things that, uh, we're like, wait, what? They're everywhere and you got to him

Speaker 2:          01:35:17       everywhere. Ticks, and if you're listening to this anywhere in the east coast, um, especially New York has got it really bad. I mean there's a lyme disease map and you see like the instances of lyme disease and the east coast. It's horrific man. And I know fucking at least a dozen people that have it and it stays with you for life. Yeah. And my friend Jim Miller, uh, he's a guy who fights in the UFC. He's got to take a giant fistful of pills every day. I mean he's got it real bad, real bad and he's still fighting, still fighting in the UFC

Speaker 3:          01:35:49       and those deer too. I've been worried about actually when we, especially when we were moving out because I was driving through Pennsylvania, I hit Pennsylvania at like we drove cross country at sunset and drove from there all the way to Connecticut and dark and all I could think is like, I'm going to fucking hit a deer. You see so many of them. Right? You see so many dead ones on the side of the fucking room. Blows my mind. But the biggest issue has been actually other Connecticut drivers is the big, the biggest concern. My wife and I both have been t boned in the last eight months. People in Connecticut just, they're just given up man. This hitting the gas and closing her eyes. Well, what's crazy is like I've driven, I've driven an la, I've driven in New York, I've driven in fucking Oregon, seattle, all kinds of crazy places, but they all have like a culture about how they work and I could not figure out Connecticut. And a friend finally explained it to me. He said, they're driving as if nobody else is on the road. I was like, Holy Shit, that makes perfect sense. The w the choices they make are as if nobody else is there. I'll be coming up in the passing lane. So when he's in the lane to the right of me, there's no exits coming up. There's no other cars for like half a mile. I'm cruising probably like five, 10 miles faster than them. They changed lanes right in front of me. Why?

Speaker 2:          01:37:12       Why, why? Because like say if you, um, you're, let's, let's say there's a thing that you're making like in a poxy, right? When you're making an epoxy, there's several ingredients that you have to add to it. Or maybe that's not the best example. Like say maybe there's a electronics, just whatever it is that you're, you're, you're making say so if you're making a thing and it requires 10 different ingredients, if you are a person in Connecticut, you have eight ingredients, you don't have those other two and you just do without, without you just deal with it. You just missing two things and you just hit the gas and just drive places and no one knows what they're doing. And this is a real state. It's just not well. And what's also bonkers that we weren't expecting is that like, unless you're driving 15 to 20 miles over the speed limit, you're going too slow or, uh, like a stoplight.

Speaker 2:          01:38:09       And stop signs are suggestion. People used right or left, left where they're going. Where are they going? They don't under the state so small, you could drive through the state and demand and a half hours, all sorts of stuff. They just, they're so confused now and I'm not trying to sit here and shit on fucking Connecticut, but it's just, it's just that those things haven't been a serious culture shock for us. Despair, despair. He hit the gas. What's crazy is it's a fucking beautiful state, especially in the summer. I'm terrifying trying to drive around that time out of your car. You get bit by a thousand ticks and you fucking can't walk anymore. The humidity too. I was not expecting that. Great on your balls, right. Ball sweat. Yesterday I was in my shop. I wasn't doing shit. Like I could have just been sitting here and like fiddling around with, I was sweating my ass off every, I was just like, yeah, mine isn't coast Florida.

Speaker 2:          01:39:05       What the hell? Yeah. Well you're used to, uh, you know that Pacific northwest doesn't really get that hot and the summers are glorious. Like Seattle and war against summers. God, they're glorious. Everything's fucking neon green. Oh. And the sun comes out. It's amazing. It's almost almost makes up for the winter, but not quite the lack of winter. Well, just the rain, just the rain stopped raining. There is a winner. It's just, it's not, it's not frozen. It's tempered, but it's just temporary. Just crazy. Yeah. And Do, and you're like, I could do this. I can hang in there. And then the summer comes you like, hey, it's going to be fine. But like a, like a beaten wife waiting for your husband to come home and you're like, hey, he's not home now and I've got a great house. But he's coming home. He's coming home. He's going to be home for eight months. Yeah. Just going to piss on your hair for eight months, eight months of clouds and fucking craft beers and just everybody's shooting themselves.

Speaker 2:          01:40:09       It's dark up there, man. I don't think people are meant to live like that. I mean, I think it's gorgeous and there's benefits to it for sure. But, uh, I had a buddy of mine, he tried to convince me to live up there. It's hilarious. My friend Salami, he moved to Portland. That's his name. Okay. He tried to move to Portland. I mean he did move to Portland. He's teaching Jujitsu up there. It's like, dude, I love and it's fucking great up here. It's fucking amazing. I go, you don't mind about the winner. You don't mind about the rain goes, no. He goes, dude, the people are so fucking cool. The restaurants are amazing and the summers are so good. Three years later he's back in La. I go, what happened? He goes, I couldn't do it, man. Couldn't do it anymore. I go, ah, I see. So it's a thing. It's like you hang in there for as long as you can, but you can't hang in there forever. That what it is.

Speaker 4:          01:40:54       But some people can. I can hang. I've, you know, a lot of people have, what is it, seasonal depression syndrome or some shit. Like it's cause you grew up there? I don't think so. Cause my sister and my mom both grew up there too. My wife even the hate it, they, especially the winter time, the wintertime when it is that dark gray, like it doesn't snow, it just rains. It just gets dark. I guess. I think part of my issue is, like I said, I always worked in restaurants or in Phuket, and we're in a shop, so it's like I'm in a virtual cave all the fucking time, so I'm not experiencing that except for the drive home or to work. Wasn't Jamie just said sad as I was looking up seasonal effective disorder. That's the acronym they give is sad. Sad. It's, that's what it is. I mean, they probably called it that on purpose. I mean, I don't think they needed to call it seasonal affective disorder. That's not the best feel like shit because of the rain disease. Well, something isn't it? Something about like the lack of vitamin D felt light. I'll tell you what though. There's light therapy. I'll take it over Connecticut all day. I'll take Seattle over Connecticut.

Speaker 8:          01:42:06       Oh, all day.

Speaker 4:          01:42:09       You know what I dream about it sometimes is Denver. Even Connecticut. I lived in Denver for only a few, a few months. People that live in Connecticut right now. I go, what the fuck, dude? I actually running gag folks. I don't really care. When we first moved in Denver. Denver's fucking beautiful. Fucking love Denver. Love it. Love it. What was, uh, when I first moved there, I thought I would, so I grew up in Washington right at the base of the puget sound water around me. I actually used to sail on a racing team and stuff like that. I was like, wow, I'm going to miss the water so much and it's so green too. I got there and I was like, I don't think I care about the water. I care about the green. But the second the spring rains hit, everything turned green. All the trees started blossoming.

Speaker 4:          01:42:52       I was like, Holy Shit. And it was beautiful. Beautiful. The only thing I hated about Denver, everybody had a fucking dog and nobody cleaned up the dog shit. Oh, that's fine. That was the everywhere. Lazy bitches. I just didn't understand it. It's probably worse now. The other hand, the free pot, all the legal pot to everywhere. But you know what? What it has that's amazing, man, is the view of the mountains. There's something about being right there and seeing those rockies that just humbles you. It puts it in perspective. So that's what, that's what being in puget sounds like as well because you always got Mount Rainier. It's crazy. Like the road, the cities were engineered so like you're coming up and down hills and like boom, the fucking mountain. That's right. And it's a monster. Mount Rainier is a monster. Yeah. That's amazing man. We went, I'm looking for big foot up there once man, dog and yeah.

Speaker 4:          01:43:45       Yeah, we found him. We just didn't want to tell anybody. Um, that, yeah, that area too is so wooded. It's really incredible when you go walking through the woods, like there's, you don't make any sound when you walk, you don't leave any footprints because it's just like feet thick of pine needles and the models. This is so soft and it's interesting and lush and filled with elk manners, elk everywhere up there. And like they run, they're run like 30 feet and you can't see him anymore because there's just like so many tree fucking guy. My inlaws, they live south of Olympia and they have 16, 16 acres out there. And, uh, like three or I think it's like four or five that are like clear for like a field and a barn and the house and stuff. Rest of it's all wood. And then they got black bears that cruise through.

Speaker 4:          01:44:33       Their large cats are like podcasts and links and shit. Uh, and elk for sure. And they have an orchard and the elk are just up there standing on their handmade eating that shit up. They're beautiful. The coolest watch too. Yeah, that's, I mean, that is a lush tropical rain forest up there. It's so wild. It's, it's so, it's so interesting too. When you, when you're up there, you, you realize like how diverse it is with life. When you're walking around in it and you see just elk shit everywhere you go walking through the woods there, it's just, yeah, there's with them piles. All these pellets. Marvel's, yeah. Yeah. It's like, nope. Don't want it so much life up there. He's salmon. There's so much salmon. There's eagles up there. I mean, it's gorgeous, man. Here you aren't fucking Connecticut mushroom hunting. There's all kinds of stuff really live off the land.

Speaker 4:          01:45:25       There's some great spots to go. Shannon trailing and Olympia area sure. Of getting out in the woods and just walking around. It's, it's actually been really cool to take it, especially when you go back in the summertime and especially in the summertime to go visit family, uh, to take my little dude. Um, my son's two years old, he just turned two. And so walking with him, he's just fucking loves it walking through the, and you don't have to worry about the fucking ticks, right? You can get lame shit like that and go out there and roll around and all you want, but going up, they have a nice little, like a quarter mile trail goes up through the woods. Let me just walk through that thing. He just marches along the whole fucking way. And just that experience of stopping and listening, you can hear them, red tail Hawk crying over the top of everything else.

Speaker 4:          01:46:08       And then you, they have great horn owls from time to time that could cruise through was there, you can hear the little chipmunks and squirrels and you hear the fucking crows and a stellar jays and yeah, everything and stopped telling him, you gotta hear that and he just stops and he's so intense and it's, it's wild to see a little kid who's so fucking rambunctious. He's in the house, but you get a mountain in the woods overlapping with census, just listening. There's sort sorbet everything. Right. So cool. Yeah. Isn't it amazing to looking at it through the eyes of your child, just watching them experiencing all these things. It's like you can almost see the little cogs turning in their head. Oh Shit. No, it's amazing. That's one thing that I didn't anticipate before you had children. It's like watching them learn like, oh wow.

Speaker 4:          01:47:02       Like there's a crazy trip you get out of watching kids learn. You know, there's, there's something about like you learn watching them learn and it really sort of reinforces this idea that every human being is essentially, I mean they're not a blank slate, but they are most certainly subject to the influences of their environment. What they experience. They take that data in. Yeah. It's crazy. Like we ha he loves maps. So we got maps. Maps. Yeah, we got, you know how like a lot of kids get those like bedroom, uh, math that have like the roads and stuff. We got one of the war like the globe and none of the countries are marked down on it or anything. But we knew some of the spots and so we started teaching him, he knows where like over a hundred different countries are. Like he knows that he knows where they're at.

Speaker 4:          01:47:54       He can point out the difference between Cambodia, Guam, Vietnam, Nepal, rush it and they're like Russia and China pretty easy. But then you go over to Europe, he's like hungry Turkey, Greece, he like, he, he knows that he knows what Portugal is. He knows we're speaking. Show you. I tell you what Africa is, I'm pretty sure I know the difference in Australia, New Zealand. The only reason I know them it's cause I'm playing the game with him. So we got more maps that have like the world again, but everything's marked out and he's starting to learn all the different flags. He knows, he knows at least it doesn't in a different flags. They're so open, you know, children there. I mean they learn language so quick. They're so open. Let me think about kids learn language. By the time they go to school, they already know how to talk.

Speaker 4:          01:48:39       They don't learn in school. Learn how to talk. When my wife has her master's degree at the university level for teaching English as a second language. So she's with him all day long. Oh Wow. And so she and she hurt. She comes from a family of teachers, her parents, both of her parents, her sister, her great grandmother, her grandmother, all educators. And I'm supposed to be amazing for her to be a mom then. And so she like, she's with the dude all day long. Like, she fucking loves the shit out of him. But you know, like you try to spend in fucking day in and day out with the little dude, like the little, the little fucking numbskulls running around and trying to learn how to interact with the world is fucking crazy. But it's so cool. And with that background, understanding how to interpret what's going on in his brain a little bit. So to help nourish it essentially to help like, you know, just make things that much more solid. Like it's fucking crazy. And he speaks so clearly. That's awesome. Yeah. I got to get out of here, but I, they have a blind auction. Yeah. Why don't you go grab those dives so we can show up. Go grab those real quick him real quick and we'll, we'll

Speaker 2:          01:49:48       tell people about the auction. But he's uh, he's got these fucking killer knives that a, he's made these a chef's knives. The one that's going up. I think so. God, look how beautiful that is. We're looking at his, a mousy fire arts instagram page and the design the pattern on this chef's knife. It doesn't even look real folks. I mean, it looks like someone's, it looks like someone put like one of those crazy cartoon filters, doesn't it? Is that it? That's the knife right there. There's that one so people could see it. Yeah. Here it is right here. I'm holding it up. So this knife is a for auction.

Speaker 3:          01:50:28       No, actually is not the, that one is not this one here in the cases. You can pull that out. And how can people auction, how can people bid on? So this is for a benefit for Alex's, uh, the Alex or sorry, La Loves Alex's lemonade stand, which is for childhood cancer research. And so online smells, again, if you go to a, my instagram profile, um, my laci fire arts on Instagram, I have a link actually in my bio that goes straight to the auction page for this knife. Now these knives are, uh, right now my current prices, this one knife is a $4,200, but right now I think the bidding's at like, Oh, there it is 2100. So there's a chance that somebody could get it for less than what I would normally, when does it end? The auction ends on Saturday the eighth. So that's when the actual event is and I'm actually going to be there at the event hanging out.

Speaker 3:          01:51:26       Um, if anybody's got any questions about it, talk about it or you know, just kinda hang out and that's don't folks, but you know, it's interesting like doing this kind of work is the first time I've ever had anything that I felt like I could give back with cause otherwise, like I was just did shitty little jobs. But this is the first time I feel like I have something like an offer. So in coming up from very little, very humble beginnings, this was an opportunity now to feel like I can give back. And so I tried to do this from tons of very cool for sure. Well listen man, I'm glad we finally got together.

Speaker 2:          01:52:01       You mean these awesome knives? I will cherish them forever and it's my pleasure, my man, amazing craftsmen. And it was cool to do this. Thanks. Thanks for being here. All right folks. We'll be back

Speaker 9:          01:52:10       soon. You fucks. Bye. Bye. Bye.

Speaker 2:          01:52:22       Okay.
