Speaker 1:          00:00:00       And three, two, one. No.
Speaker 2:          01:13:15       I love that I had that job. I love being financially stable, you know, at the time I was like, good, now I don't have to worry about paying my bills. It's a nice thing. It was a great group of people that I work with, producers and everybody network. Everyone's great. But there's such a difference between doing that and then doing a podcast. Oh yeah, there's a giant difference. But that's the way the, the way that I've kind of done my podcast is like, what do I care about? What do I want to know about? Who can I feasibly get on to talk about it? Those are the things that are interesting to me. Not so much like let's just pick a topic that's in the news that everyone will have a take on. But I mean even even that, if that's what you're interested in, something wrong with that.

Speaker 2:          01:13:56       Of course, if you're interested in that. Yeah, but it has a comic to have no boss. So that's something nice. That's so nice. These comics a kit, they get pigeonholed and stuck into these gigs where they don't want to fuck up the, so they don't want to say anything controversial. So their material gets bland and some of them take these big moral stands and it's like, well, you're making a crazy amount of money. Like some of them are like, I won't work here and I will work. If that person is on a lineup, I won't do it. And I'm like, yeah, but you're making a lot of money that, that drives me crazy. It's crazy that I'm not going to work with, unless someone's stealing. Right. Just stop. Unless someone is stealing or they're punching people or there being a rapist or something. I mean this is something so egregious.

Speaker 2:          01:14:35       They should probably be in jail. Like what? You got creative differences. You fucking baby, get over it. Just get up there. Yeah. I've worked with a lot of people. I don't enjoy working and I don't have the luxury of light, you know, I'm going to, I won't work this venue because this person worked here. It's like that's it. That's good. You know? Well, I still don't, I mean at the store that this, I'm there all the time with people I don't even hardly know. Right. You know what I mean? You're, you're on a lineup with 1415 people. Yeah. That, but that's good too. That's true to half of those people could be rapists more than half. Right. So that sounds like who is definitely, it's a clip right there. Depends on whose definition the actual rape. Right now it's like words, right? You gotta be fucking careful. Trill. That's where we come in.

Speaker 2:          01:15:22       That's where it's very confusing, right? Because we as comics, especially comics like you and I that say fucked up shit, you can get away with things that are really not supposed to be in society anymore. So sometimes people will get up and leave and like it's fine to believe like, hey, I'm joking. Don't you get that? I'm joking. You drunk in a room, isn't it 1130 at night, eight or your if you perform earlier. But with me, I'm like, isn't it 4:00 AM what's the problem? Right? If you can't take this opinion now when you get a tick, yeah, and sometimes it's not good. Yeah. Sometimes the materials, not those Parkland kids had never worked where I said, I don't want anyone to get shot, but the kids, these kids are knowing these five are annoying. I said, I don't want anyone to get shot. I don't want any.

Speaker 2:          01:16:03       So I said, let's ban guns. But first we have to shoot these kits. We have to kill the pocket kits. These five, we have to shoot the phones out of their hands and they're going to be the last, and we could explain to them, we're going to go, we're banning guns. You'll be less five people to ever die. And it didn't work. And people's people were not exactly thrilled with it, but it's like you should be able to trust, you should be able to try. You've got to trust sometimes like, you know, you were saying you go onstage with a premise and then in the middle of doing that premise, you'll find the beats. Sometimes you don't find the beats and he think maybe there's something there. I've, I've had a few bits where I was sure there was something there. I've never been offended by a joke.

Speaker 2:          01:16:42       That's me personally. Like I've never, have you ever been offended by a joke? No, I've never been offended, but I've been like, oh, that one wasn't good. You, but that's normal. Yeah. It's um, the, the finding the beats on stage in front of a live crowd too. There's something about that high wire act that makes your brain go to these weird places that comes up with punchlines. You have to fucking find a punchline. You have to find something funny. You have to, these people paid money. It's like, dude, it's like waving a steak in front of our junk

Speaker 3:          01:17:10       yard dog and you keep tossing them little bits and then eventually like you don't have to tromp mistake and sometimes there's no punchline. This is part of the fucking Gig. Then you got to shit. Trump rally just screaming. She sent us. If he doesn't get elected, do you think he goes and starts a podcast TV network he took? Totally could. Yeah. He totally could probably be better for him, honestly. That's what he thought he was gonna do. I think before he got elected, I think he was having high level meetings with people in the media space to start something like that. Well, once NBC fired him and BC fired him while he was running because of the stuff that he said about Mexico and the thrill of rape is someone's doing the raping, right? To Hey, talk to this. So fucking crazy out of control for a person running for president.

Speaker 3:          01:17:55       NBC is like, that's it. We're getting rid of you. And then they put Arnold in his place and that was a disaster. Do you remember that? People Forgot Arnold, the host of the apprentice. You'll fire. Yeah. Was it was horrible. It was terrible. Trump was shitting on them. Did they just scrapped the show after that? Here's a question. Does he go back to the apprentice? Well, if NBC has had the presidency, I think he's too toxic. Toxic, toxic. Maybe you could come up with something like that for Fox. Oh, Fox is in the scoop him up. That's what's great about Fox. They'll play ball, play ball. They're not going to leave money on the cable. You know what though? They did want Megan Kelly back to like, well she did a thing. I used to do the show red eye on Fox News, which was comics would just try to be funny.

Speaker 3:          01:18:41       It was the air did it like 3:00 AM east coast time and I saw her the week she was doing that and she was in like the dressing room and she knew she shouldn't have left. She can feel it. She had already made the decision, but you could kind of see it in her face that I think she knew that she was going to try to be this daytime TV queen and like, let's bake cupcakes. You know, I just spent four years on Fox News talking about Santa Fe and white, but now let's bake cupcakes cause I'm, I'm America's sweetheart. That's never going to work. Well, it's weird when you publicly change your image, it's insane. Publicly changing your image. Her shirts or skirts got longer. Oh yeah, she covered her neck or yeah. You know, it was no more cleavage. Every show was about sexual assault. She was trying to make, every single show is about sexual assault.

Speaker 3:          01:19:25       I think she was trying to ingratiate herself in with the people that hated her, which is like the New York media types. The people that did not like her. And then she was like, but it wasn't even just about sexual assault. One of them was a lady who fuck Matt Lauer and she knew she was fucking him and she was talking about a lot of shit. Fucked him. Well, I didn't know any better. I was 25 25 if fuck the guy, fuck what happened. It's bad here. Right? Well he shouldn't have fucked it cause he was married. Okay. After that, what happened? What's going on then you just fucked him. But who cares? Why is this a segment of a show? Is it because it's scandalous? Get an interview with her. Great. Yeah, it was like, you know, and she was saying, you know, I was young and I was impressionable.

Speaker 3:          01:20:07       Sure. Of course. It's funny to see them all put nails in each other's coffins. Right. He's not great. Media is like this blood feud. There's only a few families that control all of this information. They all hate each other. That's why succession is such a great show. Well I think with Megan it was like that. She had been sexually harassed while she was at Fox News going after all those two gals. Yeah. So she was going after and I think bill O'Reilly too. I think there was some something he paid 38 million. So it's like, what did he do? I think it was 32 32 and 38 guy and my grants, my grandfather still hasn't bill O'Reilly patriots welcome doormat. Wow. You know it's a good Matt. I mean a mansion. That's a giant amount of money. It's the amount of money where what he did should be, I mean it seems like it's an, it could be a Netflix documentary.

Speaker 3:          01:20:58       Let's going to be hot. It's like horrific. Like he offered her 37 million. She's like no, keep going. Yeah. Yeah. Right. I'm going to need more after what you did to me is a $32 million offense. We'll do. Is that one recording that had left on some assistance entry and macrus woman. Yeah. Touch loofa sponge or something. That's what he was trying to do. That's how creepy old guy move. Get you with a sponge to an interesting, he tried to have his ex wife. You tried to have his ex wife excommunicated from the church. What great did it. Oh he tried. I mean know the why. Well cause he wanted her to go to hell. A church. You do what kind of donation you have to make to get your ex wife sent to hell? Probably 32 million. He's got it, but he wanted her ex communicated. That's type of guy.

Speaker 3:          01:21:48       He is. Well, the crazy thing is even after all this, the guy's still had the number one book in The New York Times because people dig it. They still, those old fuckers, they just give in. They dig in, they don't care. They like him. They might know who he is. Folksy. He's like my uncle. He's a good man. He's spent $40 million for some woman. He touch it. The tide goes in, the tide goes out with God. I'm with God. That what he was doing that that fucking Todd goes in, the tide goes out. You can't explain it. One. I was like, wow, you went to Harvard, you fucking piece of shit. Yeah. Well you could explain that those guys are, they were religion like a fuck. It's fashionable to wear it. They wear it. They know Trump does. He gets out and he goes, I'm a Christian.

Speaker 3:          01:22:35       I may not be the best Christian, but I'm a Christian leadership quality enough. It's good enough. You know? And you're like not the best Christian. You're a thrice married guy who owns gambling and a Miss Universe pageant. You're a biblical fig that's like a biblical figure that would be like a Roman king that everybody was warned about like gay in terms of like, I mean, I want him to shave his head. What do you think that will do? I just freedom. I think it would funny if you shaved it like somebody had a cancer issue and he just shaved it with them to be a good guy. Well, it doesn't look good. That's what's confusing to me. Like when I realized as a style, when my hair wasn't looking good, you got rid of, it was impossible to look good. It was fallen out to the point where like, this is just a mess.

Speaker 3:          01:23:20       Then I went and buzzed it, but he, uh, I just can't this to my generation, I always remembered she would like the, just the herald virile. Yeah. It's nice. I've been, I've been like this for a long time. Yeah, I'm solid. Eight plus years bald. You want Trump to just go, hmm. I think you'd be better off. It'd be easier. Like he's not good looking. He was know that he would, that would complete his transformation into a supervillain, I guess like a Lex Luthor type Gal. Yeah, but it just like, I just gotta be so much work to put that hair together. I think someone does it from, but even then you've got to talk to them while they're putting it together. I bet you he hasn't talked to them. Everything. He does just tweets angry. I bet he's not concerned with the human relations with his staff.

Speaker 3:          01:24:07       No. Let's just get that vibe. Five. I get that. Five, the person who's in charge of the hair just does the hair. I hope he retired when he retires or when he's done. I hope he goes right into podcasting. Would you have them on right now? Yes. Yeah, of course. You have to. You have to. Yeah, yeah, yeah, for sure. Yeah. Yeah. Why not? Why wouldn't he come on a three hours hours? He's busy and I had some jokes about them. He's petty. He hates comedy. He does not like to be made fun of. He doesn't like to be made fun of. I'm sure Michelle Wolf got him on Twitter a few times of correspondence center and he went after her, but she can't write back at him and shit. I bet you'd be on my side if I killed the journalist. Yeah. Yeah. Michelle is a kill shot.

Speaker 3:          01:24:52       Kill Shot. You're not going to win. Yeah, she's, she's snuffed him out and she'll just forget it. He just dropped off the face of the earth without always duck out and it was done. She neutered him one tweet. Neutered. Yeah. There's some people that go after him though and it doesn't work and he doesn't respond that it looks so weird. It's weird when I see my aunt tweeting at him, I'm like, what do you think this is going to do? My aunt with 43 followers, she say, um, you were disgusting representation of this country. She'll tweet this and then I have another hand who's the other side that'll be like, I believe in you keep going. And I just imagined him scrolling through these messages and reading this. Do you think he looked, looks at and he, I think he only looks at verified accounts. I think he's got, like if you're thinking about how many people he follows on Twitter, I think if he's wise, he doesn't see the mentioned. I'll tell you right now, his biggest fans are not verified. His biggest fans and not have a blue check are under a hundred followers. They have dog like the, his biggest fan, not just the people that voted for him. The people that are still like in love with them. A lot of them have dog profile pictures like a dog that recently died. There's a lot of dead dogs,

Speaker 2:          01:26:04       floating flies, book flags and the banners and Marilyn, none of them have ever served in the military. Right. But they will have the flag. They all have the flag. No one's ever served. And I'm 43 to 48 followers. Magda, I know in the proffer Hashtag Maga Hashtag Mag, you know, a lot of them aren't real. Do you know that? What are they, the Russian bots? It's real. Yeah, it was a guy in Russia who's got that job. It's not kind, it was personnel on long island. There's a lot of people that have them. They have various accounts they use interested. There's a woman named Renee duressed it, she's coming on the podcast soon. She did a study of this for, uh, I forget what she did it for, but she was on Sam Harris' podcast, which she went in depth with it. I'll, I'll send it to you after we're done, please.

Speaker 2:          01:26:48       It's fucking amazing. But they did all kinds of crazy shit. Like they would have like a pro Muslim group and they would put on a demonstration right across the street from a pro Texas group. And they would organize both of them. They would really, yeah. Yeah. They organize. So discord, they would organize, uh, African Americans at Kent's, Hillary Clinton, anyone but Hillary, we got a vote for Jill Stein. We've got to vote for anyway. And they would like, she doesn't represent us. And this is all Russians. Yeah. And then they would have other people that were like pro Bernie and then Hillary fucked over Bernie. And these were Russians as well. Hey, we'll just fall meant coups and overthrowing their leaders. It's nice. It will just kill their people. We don't fuck with their social media. I think we fuck with her social media. I'm sure we do.

Speaker 2:          01:27:30       I'm sure there's, like I wrote off a lot of that Russian stuff is like people's wishful thinking, but the more and more I read about it, the more there is like a coordinated attempt seemingly to institute this social media and so this girl, yeah, yeah, there's 100% a real thing going on because this woman documented it and two, it was also really funny like she was talking about how many of the memes that they created that were really funny. Oh, they're hilarious. And they came out of Russia. So there's a bunch of guys in a room in Moscow creating memes and it's so funny. This is like they went to KGB training or whatever it is now FSP, and this is where they ended up just hiring people. This is the frontier of the war against the United States. The thing is though, if they can do that and get people really upset if they really can't do it, that's a really effective strategy.

Speaker 2:          01:28:15       It's a great strategy. Can make things happen now cause it's just sewing internal discord and we're going to collapse her own system. Like I wonder how many of these Jesse Small lay a is that I see his name, Jesse smell A's, Russian. The whole thing is rushing. Not even real thing is rushing. Jessie Smollett doesn't exist. I wonder how many of the memes were created by Russians to try to get people upset. I bet there's bunch. I bet there's more people stirring things up then just Temaze Americans that are upset. I know, I'm sure it's people that are, but then there's also just a lot of Americans that hate each other. Does that? Yeah. Yeah. There's that. But then you also, what do you think happens with Jesse? Small light his empire because ABC got rid of Roseanne for tweet. You got to get rid of this guy. I thought he was getting canceled. He was getting written out rather. Did I read today? But yeah, I don't know. I thought he was getting written out before and this is one of the reasons why he did it. Well, I support him if that's the case, cause he's a very hard business.

Speaker 2:          01:29:08       This is a very tough business. It is hard. It's hard to make it. I loved that they had to plan that out and he said to the two guys, he goes, listen, get a noose. Yeah, cool. Get rope and doing this. All a lot of these hate crimes, it, first of all, I hate crimes happen and they're horrible. But some of these things are fic. Do you know he showed up at the hotel with the new still around his neck holding a subway sandwich. Just that alone, the people, the people at the hotel should have been like, what? What happened? That's amazing. Okay, what happened? Why Sandwich juice? It's still at the sandwich. And why are you eating at subway or you're not sick to your stomach or on empire? What the Hell's wrong with you? [inaudible] so, but the subway subway's not good. It's not bad if you're hungry.

Speaker 2:          01:29:50       Listen, I've clearly hating it, but it ain't great. But if it's like two o'clock in the morning, it's the only thing open. Why is he open to 2:00 AM that's a great place. It's open. It's a good move to be open when nothing else is open. It's a good point. You get a nice Italian. So I would double meat. I like to have the oil and vinegar, salt and pepper ball with the Mozzarella, whatever. And then you don't toast it. You let the hot and meatballs melt the cheese. Oh, I agree with that. Yeah. That's a good move. And he posts up. It's always a good mark. Especially after faking a hate crime after he was the hate crime. I meet both. How nervous you after you do that? I'm such a pussy. I could never go. I could never do what. He did some level associates, but then I saw that act right dinner with the other night and I went, oh he could do that.

Speaker 2:          01:30:35       Yeah. Oh these people can do it cause they were on another level. Well the other thing is that people say who would want to be a victim? Who'd want to fake being a victim? I heard that during the cabin off hearing. I was like, that is a ridiculous thing to say. Cause there's a lot of currency in our business, in our business. It's a lot of conflict. Yay. In the world. Like people like praise victims for showing out and they support them. You get a tremendous amount of love, especially if you're a legit victim. Something of course, you know, I mean there's a lot to that. Yeah. The idea that no one would do that is so there's so against it. So contrary to human nature, everyone would do it. I want to do it. What would you do? What kind of hate crime would you fake?

Speaker 2:          01:31:16       It was great idea. I don't know if I got punched and people saw my face, they'd go good. It deserved it. You know what I mean? Like nobody would look at my face ago. Yeah. Okay, good. Well I wrote, I tweeted something today. I was like, Hey, I'm at flappers on a J W was hit. Uh, my, the 26 of flappers I was, it was two guys was Hollywood would Maga hats. They beat me up. They poured something on me. I don't know what it was. I think it was come please come to farmers. But I mean, that's the thing. Listen, I watched good morning America interview this morning. I left, I sent it to my buddy. I go, there's a moment in it. When they go, how'd you know it was he attackers? And he goes like this. He goes, you could see the insanity. You can see in his eyes. He goes like this. He goes,

Speaker 3:          01:31:59       I was there and he just doing that Shitty actory. Oh, like just fucking shitty acting class. That horse shit. I was there and I'm like, this is fucking crazy. Oh, he was going to inform on two guys if there were two white guys with Maga hats who got caught, they'd be in jail right now because the detective said to him, we have two suspects on camera. Do you think it's Sam? And he's like, yeah. Then he found out it's just two buddies and he's like, well, I can't testify against them. He was going to testify against two people who they thought were guilty. So he said that he thought it was dumb. Yeah. Yeah. There's a good morning America interview. Oh, have him going? Yeah. It's those two that takes it to another level and then Fox. He's like, well, we start with, hey, he's good on the show.

Speaker 3:          01:32:46       We stand behind them. That takes it to a completely different than there would be people in jail right now. He wouldn't care. Could you imagine? It's crazy. Could you imagine not just faking a hate crime, but then putting people in jail? Magic being those two guys were just sitting in jail like, what the fuck you're on the cover of the New York Post nabbed him, got him, got up and they're sitting there like, what the fuck? And everybody wants to kick their ass every empire. Next season is all about Jesse smaller. They fire everyone else on the show and it's just to Jesse smallest story and two innocent people. The Gay Tupac wandering the streets of empire. That's why people in Ohio, whenever Hollywood is like, here's how to vote. They go, you know what? No. They go, you know what? No thank you. I see what you're doing.

Speaker 3:          01:33:27       You fucks fake and hate crimes. What kind of hate crime would you fake if you were going to do it? It's a great class to get ahead. That's a great question. What if, what if someone gave you a license to fake a hate crime? Like what if there was a television show about faking a hate crime? That's how they do like punked, you know you are fake things like that. How about you fake a hate crime? I'd love to do something like that. True TV presents. Yes. Fake a hate crime. Yeah. Yeah. It's interesting. I don't, I'm trying to think how this conference a whole deal. Maybe a Halaal guy would attack me in New York City, like a Halaal guy would attack me because he views me as a symbol of imperialism and oppression. There'll be good, you know? Even though I patronize his stand all the time, he still feels the need to attack.

Speaker 3:          01:34:07       I mean, I don't know. I could never do that. No. I'm one of those people who would get, and I wouldn't get caught. Well, this would never think I'd get away with it. Wanting everyone to think you're a victim when nothing really happened is insanely selfish thing. Yeah. That's an insane like faking physical crime. Ikea to have someone punch him already hit himself. Yeah. These marketers face maggot hat wearing gangs and everyone's talking about in Chicago and La and New York do not exist. If you have a maggot hat on at 2:00 AM in New York, you're getting bleached poured on you. Yeah. Probably reality will also like just, he was saying that he like punched him back and he fought back and I love how he was like, first of all he was on camera for everything except one minute. So they ask them to good morning America.

Speaker 3:          01:34:49       They go, how long was this? He's like, it felt like several minutes, but it could have been 30 seconds. Like he's covering the span of time in his, in his lie, he's going, I got to say it's less than a minute cause I'm only off camera for a minute. Whenever you heard about a guy like kills his wife and blames a black guy. Yeah. You know, there's been a bunch of those, right. It's been a ton of, and then you see the Energy Simpson for example. Did he blame something? What do you know? Somebody probably blamed him, you think? Nah, I'm kidding. I remember there was a recent one, people were saying that his son did it. Yeah, yeah, yeah. My mother always believed that. But again, that's so fractured conspiracy theory though. Right. And that's why I don't really get into, I don't want, yeah, that's, those are the ones that are out there.

Speaker 3:          01:35:29       I don't really get into that. I don't get any of the moon. I don't go near a, I'm not an Oj truther are you a a Gulf of Tonkin guy or operation Northwoods? Those are all true. There's nothing, there's nothing. Those are all true operation Northwoods is my favorite. Crazy. Yeah. They stay talked about bombing a ship. Yeah. With people on it. And they were going to blow up a drone jetliner and blame it on the Cubans. They were gonna. They were gonna attack Guantanamo Bay arm, Cuban friendlies and have them attack autonomo crazy. Yeah. Yeah. That was not, that was not that long ago. I know. That's why we need you back. I can't do it. We know what mercy's are too fucking. It's too exhausts. I got exhausted cause I would do a shell and then somebody would come up to me after this show and they'd be like, they'd show me a pizza menu.

Speaker 3:          01:36:14       I swear to God. And they go, you see that? And I got nice. Well what is it? They go, that's the nambla symbol. And I'm like, it says like it says garlic knots. And they're like, no. They're like, you had to really look at it. Oh. And I'm like, all right, I can't go with the rest of my life with that. Well they look for it and everything. Everything's a conspiracy. And then when it comes back to you and they say, oh, Tim is involved in this, right? And then you go, oh, I see how this works. You don't just make shit up. Yeah. And then they believe it. Yeah. The CIA is now getting involved in podcasting. Yes. Do you guys, you're their first shelf, but they're going to get a few others on the deeply involved in. Steve started the rush and Troy, I love the idea of the CIA going and watching PSATs and be like, who's getting passed at the store?

Speaker 3:          01:37:02       Oh, you don't know. I have a friend of mine who thinks that the CIA started Jim Morrison and Jimi Hendrix. There's a book about that called Weird scenes inside the canyon written by a guy named Dave McGowan and I'm going to tell you right now, Joe, it's kind of interesting. I'm going to tell you, it's kind of interesting. There was a lot of shit going on in Laurel Canyon, I'm sure probably about pussy. There was a lot of weird shit going on. The CIA, the Rand Corp was all over there. It was a lot of shit happening. Well, I'm sure there was a lot of shit happening, but there is not a fucking intelligence agency in the world that can create a Jimi Hendrix of course, and they're not sitting there. That book was like that. They were managing the birds. The CIA was like, they were like, no, it's mister tambourine was like a CIA guy to be like it had marine men's.

Speaker 3:          01:37:51       Imagine being in that time in the country when everything was just falling apart left and right around us. Vietnam war, Kent State, just fucking Nixon's the president and it's just chaos left and right. There's no internet. Yeah, everyone's doing drugs. It must have been wild. It must've been amazing. I mean, I always think about that hunters Thompson quote about, uh, you know, like we talked about the sixties and that in the 70s it was almost like the wave crested and then just it's crashed act from fear and loathing in Las gas. Yeah. Yeah. But I'm a big, like I'm a Kennedy Guy. I think there's something really shady with that. Yeah, for sure. For sure. For sure. And in that book is some amazing stuff about this book that you gave me. His family of secrets is a guy, Russ Baker, who's a legit journalist and it's, it's been praised by like Dan Rather and Bill Moyers, I'm trying to get you in this.

Speaker 3:          01:38:41       Let me tell you right now. This will get you in. He went, I don't have that kind of time. George h did you know the choice? H W Bush called the FBI and said that he thought he knew who the killer of JFK was. Did you know that? No, no. He called the FBI. The in Houston. Hey, what's up? It's George George Bush. I'm in Tyler, Texas and I think I know who the killer is and he informs on this Guy James Parrot. And James Parrot ended up being like one of his staffers. It was this weird cover story. He kind of planted and that came out in a memo and there was another mental, these are declassified FBI memos, freedom of Information Act. There was another memo that said after the assassination, j Edgar Hoover, Pre George Bush and the CIA. The problem was George Bush should not have been working for the CIA at that point.

Speaker 3:          01:39:24       He should have been just a private citizen. So it was suggested he was working for the agency for a very long time and he was made the, uh, the director of the agency for one year after the family jewels came out, which was this whole thing with the CIA, went to Congress and they admitted that they had done all these things from, you know, coups and the fomenting revolutions and countries and they made him the director for one year after that happened to break to make a clean break from all of the nefarious activities that the agency had been involved with. But if you take that memo to mean that he had had an existing relationship with them, he was actually just becoming the cause. No, it made no sense to anyone. They were like, why is this guy that everyone called the lightweight becoming the head of the CIA after the CIA just admitted to all of these horrible things.

Speaker 3:          01:40:09       They call him a lightweight. Yeah, they called. Yeah. He was like, I think Kissinger had said to Nixon to kissed her, said to Nixon, he's a lightweight, commit him ambassador to China. He was never a guy that had a serious political capital and he was made the head of the CIA and then after that memo was on earth, people were saying, oh, he had, this was an extension of the coverup. He was being made, the director at this very interesting time in history because he actually had worked with the agency forever and he was not at all a lightweight. He was a serious operator and he was going in there to kind of clean up and transition them into a new era. It's, I'm telling you, I'm already out you. Yeah. How are you out? I can't listen to them. It's good. It's great though. I need current shit. I ended up need like Julian Assange.

Speaker 2:          01:40:54       I need something bright. I need some Edward Snowden done. All right. You know to the Bush anymore. I'll get an a Sanje buck. You can get in there. I'll listen to Abilene and a clinic. If you read it, if you, I'll dabble in the clinic. If you read a chapter of this. Yeah. If you read a chapter, this, I give me a cookie. I don't have a cookie. And if I do, I'm taking it. But you will be. You'll be, it's very interesting and it's a well written book cause it's not reckless and slop. I'll read the first chapter, I promise. Thank you. I will listen to a buddy of mine gave me David, uh, liftings best evidence on the Kennedy assassination and that got me into conspiracy theorists. It's like 92 and I get it. Sure. You're at the end of the road now where you're like, this is a lot of people are full of shit in that world. A Lot, a lot of them. And that's what people don't realize. Well then it gets deeper and deeper and deeper and more and more preposterous. Have you ever googled Hashtag spaces fake? No, but that's sounds, it sounds amazing. There is a thriving space is fake community. Have you ever been in space? No. Good point. Could be fake. Come back, come back to us. Joe. Prove it.

Speaker 2:          01:42:10       Come back to it. Well this is an extension of flat earth. It's like for people to think the flat earth is too conservative. They go, they go deeper. It's like it's not stupid. They go deep. Those flat Earth Cox, they want to move into space. They want to go to s spaces bank. Yeah. You want to know what's really up spaces face basis. Fake. Yeah. Crazy. What? I mean, I think there are hundreds of thousands of people that think that the earth is flat. Hundreds of thousands educated western American human beings that think the earth is flat. That is wild. It is fucking crazy. It's interesting. It's a lot of people that just get educated from youtube. The Guardian actually had an article about it. I sent it to Eddie and Eddie's laughed at me. See, I think Eddie's kind of rational and a lot of ways, because I had conspiracy talks with him about what about, well, yeah, no, the one that we had wasn't saying a little government was attacking Malibu.

Speaker 2:          01:43:04       Well, he's the one that we're talking about that they were using direct energy weapons and I was like, I don't know if this is tacky Malibu with what? I was like, why would they attack mallet with of the fires? But I'm like, they're rich. Why would they attack mal boats to rich people? Fire started here. My fucking house. Did he start a mal? But they flew through the air. You know I was one of the first evacuated. Right. This fucking theories. You're so stupid. It's dry a shit. Yeah. A fire hits and the winds are going. Co Did they make the wind? They made the wine. I'm sure you always made the wind. The wind is always been the CIA. They've always made the wind. Yeah. It's fucking, it's just any, there's no rest. There's no peace. There's no living in the moment. It's like a certain point. You got to just don't even want to know because it's horrible things going on. There's horrible things going on. Okay. What do you think is

Speaker 3:          01:43:52       like the war shit going on right now? Human trafficking is very bad, horrible, horrible, and really dollar industry. That's not subway sandwich. Artists are paying for that. Right? Rich people. Some of them are involved in some very bad things and they're, it's their attraction be they're covering their own tracks. Yeah. Like that. Jeffrey Epstein and stuff. Dude that the Clinton visited the least got to. I've got some hire anyone with an island and hanging out with Bill Clinton. If you have an island and you're hanging out with Bill Clinton, there's a problem. Where's the Mataz? Yeah, I mean it's a crazy, all of that stuff is very disturbing and he got a sweetheart deal cause he wouldn't inform on anyone that was on his plane and now they're low justice department's looking at that again. It'll probably be fine. They'll probably just let it, you know with a guy like that, like what?

Speaker 3:          01:44:42       You know, how much does he know? How does it knows every day alive because it's good the, he's not going to say anything. Not going to talk. I wouldn't trust him if he, I was on that plane. I think that's the other thing about see the aversion of conspiracies as you go. Like nobody would, people would talk. The reality is people wouldn't talk if you were from a prominent family. If it had been like a religion to stay silent. If you had had CIA training, if you would, these people don't talk and we know that there been plots that have gone unknown for a very long time. Clearly coup in Iran. Sure. So garlic, Jeffrey Epstein is so involved, so deep, he knows he'll get killed. He won't say anything. Yeah, he's not gonna say anything. Plus he doesn't want to go to jail. He just want to go to jail.

Speaker 3:          01:45:28       He doesn't want to say anything. Middle of the things that he did. Yeah. So the, the, the child thing is the creepiest of all gross. And unfortunately it's, it's a, it's a real thing. So you know, people you could talk about, there's the conspiratorial angles, the bullshit. But then there's the real fathers. Sandusky, Sandusky, Catholic Church, hundred percent. The people that are in love with conspiracies never care about private prisons or the Catholic Church. And I'm like, guys, this is not even debatable. We're not even debating, right. Private prisons are ruined. Kids are being sold into slavery. Ryan Ababa, horrible. The judge in Pennsylvania. Crazy. Taking an underage kids and just giving them sentence ridiculous sentences for shit. That's crazy. Exchange for money. That's not right. And now he's in jail. Yeah, it's uh, there's some darkness in the world. It's undeniable. And when something like San Dusky, when that Penn state thing comes out and you're like, wait a minute, how long was this going on for? And how many people knew? Everyone knew. How does everyone know? Yeah, it's crazy. It turned out just he died quick, but this is what I'm course but doesn't mean he destroyed. This is what I mean about people where it's like you tube's gonna like central conspiracy theory type stuff. I'm like, all of those things would have been called conspiracy theories at one point. Catholic church, San Dusky blue grade, they said it was a few bad apples. It was a labyrinth. Torture prisoners.

Speaker 2:          01:46:50       It was a program designed by the Pentagon. CIA. It's crazy. What is the youtube going to do? They're going to censor recommending. I think they were stopped recommending conspiracy videos from what I've heard. But I was reading that thing that you were telling me about Jamie, this whole like porn or child porn or pedophile network, you're sending an account of what is this? A pedophile youtube, what's going to a communication network. They were communicating with each other and youtube comments responded yesterday and they said that they uh, disabled comments on tens of millions of videos and deleted a lot of accounts that were, they were communicating in the comment section of like a little kid's cheerleading and whatnot. How were they communicating to try to s to share child porn or were they a communicating to molest? Don't know in the way pedophiles communicate and their network.

Speaker 2:          01:47:44       But I'd like you to do a little bit more work. Pull up an article on due diligence on the pedophile. I want you to go and eat under the dark web burner computer for that download tor and let's get moving cause we got to figure shit out. You got to get a VPN or there that's the FBI will take over child points had on tour and then Ronnie for a year on the talk. What is that? What's going on. I imagine what they see too. That's a problem. It is a problem because you're causing, that happens at our Kelly Case. There's a video of him doing something with an underage girl and like I think some people at CNN, it's like we've seen it but, and that's led to him going and it's like, well what did you watch and is that legal? Probably illegal because you're watching it under the guise of Oh, journey out of rough.

Speaker 2:          01:48:36       Yeah. That kind of Shit is real. And the fact that there's these networks of people that are trying to, you know, cultivate these experiences. It's crazy man. But if you're a rich person, you have that sick predilection, you're going to find a way to think of what they're doing. Like for example, the post her remarks that praise the girls ask whether they were wearing underwear or simply carried a string of sexually suggestive emojis. Bout two years ago, hundreds of companies pulled money from Youtube over concerns about ads showing up next to problematic content from terror or hate groups and videos a seem to endanger exploit children. I think, you know, we've talked about this before with youtube with the issues that we've had with them. They, they have way too much content and way too few people. There's no way they can watch all of it.

