Speaker 1:          00:00:00       No, but you need more orange.
Speaker 2:          01:29:00       Now you can put a through the egg and to make it easy to take out. Like way. If you were to spelunk into a cavern, know it's spelunking is that's cave diving. Yeah, I remember that from the prank conversion spelunking away. Are there people who should not use jade eggs? Very good question. If you're on your cycle, do not use it out of people. If you're pregnant, do not shove that egg in there. Okay? A man, if you have a function and brain, do not shove it in I yeah, exactly. People will functioning bridge to not use jade egg. So there it is. So what happened is that uh, so what happened was that they're being sued for basically making unsubstantiated, unscientific, untested claims. Basically everything I just read people like less bullshit. You cannot say that. And they came into a and they're being sued for it. Oh Man. Oh they did. So yeah. Why are you so familiar? Because they paid one 50. Oh, they lost 145,000 so there you go. I'm more, I'm just more interested in the egg itself. That product is incredible. How much is it? It's like $70 70 bucks. Not Bad for a not bad for a a rock that you shove up your fucking ass hole.

Speaker 7:          01:30:29       Hmm.

Speaker 2:          01:30:32       It's nine to santee Iraq. I got a couple of rocks. If you guys want for 60 bucks, you can shove up your house or they jade or the recharge by the energy of the moon. Yes. Oh fuck yeah. I'll bet there's another headline. Fortnight has been said it and more than 200 divorce proceedings. That's it. There's really nothing more than that. And finally guys, we do have an email. If you guys have emails, questions, concerns, you want to hear us talk about something, make sure to email podcast@hdhdproductions.com I have got an email to close up the show today from a sweet young man named Daniel. Now, Daniel, like many of you out there are young men, impressionable minds who are looking for answers and better ways to live, a more holistic, a natural life. And he heard our discussion mine and um, burt's about wiping, how we wipe from the front that we march to the beat of our own. What we marched, we marched from the front. Others, they wiped from the back. The normal. Well, normal is a subjective term, Mila. And I want him to go that far. I say a normal man. The Standard Pazi body positivity.

Speaker 2:          01:31:52       So I'm going to read this email. I thought it was a great email and I wanted to share it with all you guys and, and it really, and it created a new dimension on this whole conversation about front wiping verse back, wiping something that I had, which was an unintended consequence, but a wonderful consequence of it. So, um, let me begin here. Dear Ethan, for 25 years, I have been a back wiping neanderthal. Today I am proud to say that I have thrown in the toilet paper and have committed to front wiping moving forward. I was first introduced to front wiping in high school when a participant on a reality show reveal to his peers that he wiped from the front. I like the other people on the show was disgusted by the thought of it. It garnered the typical reaction that most unenlightened people have where they imagined smearing feces up their ball sack.

Speaker 2:          01:32:53       Out of my own curiosity, I tried it one day and confirm my own suspicion that it wasn't insufficient way of cleaning my ass. And due to my naivety, however, oh due to my own naivety, however, I now realize I was doing it incorrectly by converting my own stand up, back wiping technique to a front style that was wildly uncomfortable. Fast forward 10 years later and a big fan of your show, I was disappointed to be faced with the issue. Once again, you spoke with Tom Sikora and Chris Delea. I found myself disagreeing with you as I had an already settled this debate myself as a teenager. It was not until your episode with Bert Kreischer that I was willing to give front what being a second chance when I learned that you remain seated through the experience, I realized I had made a mistake in my past experience. Then something that either you or bird said really clicked with me. It does not make sense to wipe a whole. It needs to be a scoop in order to clean and I do believe that was after this, I was reading in three Coupe Ila please. We're talking about scooping. This is personal and spiritual.

Speaker 2:          01:34:11       After this I was ready to truly open myself to change and why I'm wiping technique. While it felt a bit weird at first, I have been blown away by the results. First off, it is more natural reach as opposed to the awkward and standing up and reaching backwards. You don't need to stand up. I stay seated. A lot of people stand up. You guys back there? Do you stand up when you wipe from the back? Uh, it's more of like a, a slight lift and you left. You left. Well, it's still technically seated. I'd say somewhere in between. It's a lift. A lot of standalone wipe again can I didn't get, I, I, this is emotional. This is important to me. First off, it is more natural reach as opposed to the awkward standup and reaching backwards. Secondly, I'm able to perform a quick couple of scoop scoop.

Speaker 2:          01:35:05       It's what he Rowan's when I said, God damn it. This is the truth as opposed to a rough wipe that only makes the task harder as you smear shit up your ass crack. And lastly, I'm able to finish in less wipes with a cleaner result. I just wanted to thank you for your continued efforts. If you are truly the Nelson Nelson Mandela of wiping, and I feel as if I am not the only person to be converted by your wisdom. I had doubts about this technique for a decade and I can only think about all the wasted time I've spent using an insufficient, inefficient wiping motion. I recommend all back wipers give it one week trial because the result is truly life changing. Thank you're sincerely. 10:00 PM I do not use baby wipes. I've heard nothing but horror stories about the dam. Okay, and now, Yay. You had me until you started talking shit on baby wipes, Daniel. But you know I really wonderful. I think I was moved because I was never my intention to convert anyone ever thought it was my, as a misunderstood soul, a victim of my own excess of wiping. But I hope that it doesn't switch back once he understands that it doesn't need to stand up to wipe from the Mac did. It's been wiping his ass his whole life. He knows what he's doing.

Speaker 2:          01:36:38       Um, interestingly, Zack, I just heard our sound guy, he's our sound intern. He's helping us out with sound. Um, he told me today that he in his house, they don't even have toilet paper. They go pure wet wipe, which I've never thin. I've never seen that. And frankly I find it a little strange because I would never, I would never recommend a start wet because that's just asking for trouble. I recommend to Zach and to all anyone else out there, you have to take a hybrid approach because you want to start try and what? So Zach, welcome aboard. Pretty strange. Zach, do you wipe from the front or the back? Can you talk into the mic method? You serious? Whoa. First I was doing before, but I tried it out and I happen to really like it. Wait, are you fucking kidding me? You're just saying that you want me to bend over and yeah, I don't know what that would prove.

Speaker 2:          01:37:44       I'm a cleat. Wait, wait, Whoa, wait, let me get this straight. Zach, are you just saying this to get the job right here or something? He wouldn't lie about this. He wouldn't lie about this. He'll, that's embarrassing. It is very embarrassing. But baby wipes and let me tell you, save your life. Hold on, hold on. Hold on. Backup, backup, backup, backup. Hang on. You're telling me that you wiped from the bat until you heard this show and then based on my anecdote, you decided to lift your own balls and Dick and one hand reach under them and scoop out the shit from the front. 100% I cannot remember. And you prefer it? I do prefer, yes.

Speaker 2:          01:38:30       Wait and wait. And Ian is a front in. I don't know that we've ever asked you and where, where do you wipe from it? I think we did from the front seat. And then then you're in back white boy. Hold on. Wait, Dan is the odd man out here for one. And then have you always wiped from the front? No, I converted probably a high school. Oh, why did you convert? What makes you say to yourself in the middle of your life that you're going to start lifting up your dick and balls and scooping out shit from underneath it? I didn't know that that was possible. And then I think someone in a show set it and I went, what? That's madness. I tried it and I never went back. And you think it's superior? Absolutely bogus.

Speaker 2:          01:39:16       Truly a profit. I'd been saying, have you tried it now? They know I did. Yes. No, I gave it. I gave it an honest go coop. No, there was some stupid, I mean, no, I, I, I, I want it to be objective. You know, I am like, it. Go into it without bias. Didn't like it. Didn't like it. Now Dan, tell me what you were sitting on the John, right. And generally where I did my business, but I just want to make sure you did the technique right. And then what? Which hand did you wipe with? Oh, well I'm a righty. So with the, you lifted your balls and deck with your left hand, you remained seated a yes. And then you went in with the right hand in under underhanded, underhanded technique. Yeah, that's how you do it. I know, I think I nailed it.

Speaker 2:          01:39:58       I think I nailed the technique and then just, I'm not a fan. You may need to try it to the group mix. Make an egg in there. I'm down for that for sure. Chuck. Chris. Well, I have to tell you, this was an eye opening. This whole saga, not only with sac, a recent convert at that Ian Independent and Ian, he's a talented young man. He'd say, tell he's got a good head on his shoulders and high school. He said to himself, there's gotta be a better way. And he was converted from that first scoop. And I find that powerful. We just found out two conversions in one week. Wow. Who says he's amazing work here. Important word, incredible stuff.

Speaker 2:          01:40:41       And I thought that we were just talking here, wasting everyone's time. No evil. How many people are going to front scoop tonight? Let us know. Send us an email, send us your thoughts podcast, we productions.com. All right, well, uh, today is Friday. We've got, oh KSI on Tuesday. It'll be exciting. We'll go to lots of tall. No we didn't. So case size on Tuesday. That's our episode next week. I'm working on the h three video. Hopefully will be out this weekend. I don't know. Who knows? We'll see. I'll do my best with that all being said. How'd we do today? We did solid. However the numbers chuckles back here. I think the numbers are low because I heard people say it wasn't showing up. Yeah. I apologize to anybody that didn't get the notification. I mean eyes that I got it on my phone. Um, but yeah, I guess in the tweet I saw some responses that people were having trouble finding the episode today.

Speaker 2:          01:41:44       So we will, we will investigate, maybe emailed the, our context that, um, even when I went to our podcast channel, you know, we'll usually show there and doing the show. I have to click on the video. Lee, what the hell you to, enough people found that cause we're at like 17,000 now. Ultimately it did well. But, um, but yeah, anybody that, uh, I got screwed by that and we apologize to find that strange. I wonder if there's a thing in the settings we fucked up or not likely just say youtube bug. I think it's gotta be, cause again, I did get it. I mean I got all the notes. Look and we have a contact. We can email it. Youtube, right? Yeah. Yeah. We'll, we'll reach out. We'll figure out what happened. Oh Man. You gotta Love Youtube. It's like never know what you're going to get. Imagine being like NBC and you're like new episode of Seinfeld. Maybe half of the People's TV's don't turn on half a half of everybody just gets scrambled waves when they turn on NBC imagined. All right guys. Have a great weekend. The morals of bad science Tuesday and that'd be it for this week. Hey guys. All right. Is this, it is Friday, right? It's Friday. Well, what do we have to do was so mixed up lately. I don't know the week. Friday. Tomorrow we've got dinner. Yeah. Sound Dave. We've got dinner. Dad's birthday. Oh yeah. My Dad's birthday. We're going to take him out Monday. We've got shit to do. I hate having stuff to do on the weekend, you know? So it's

Speaker 7:          01:43:36       okay.

Speaker 2:          01:43:38       You feel free to edit anything. All right, bye everybody. We're going to know,

Speaker 7:          01:43:46       okay.
