Speaker 1:          00:00:01       When it's like upside down.

Speaker 15:         03:42:50       Yeah. Is there another regional dry? Oh, I'll, I'll, I'll cook what happened one minute. All right. Feed. What should I draw? What do you think guys? Donate a dollar. Tell me what I should draw. Hmm. Hmm. Let's see. Let's see. You love you guys. Keep it up. I love your positivity. Can't draw that. I mean, I guess I could draw the concept of love is a little difficult. Thanks for the awesome work, dude. Thank you guys. Eat a slice. A piece of backwards. Want Pepperoni or like by backwards? Is there just cheese? No, I don't think so. There is, yeah, right. Justin reads out messages and the ric voice. If you donate $1,000, oh, I 100% would do it, but doesn't seem super reluctant to do the ric voice right now. Maybe it busts his throat up, but yeah, I would, I would pay, I would pay two grand for that man.

Speaker 15:         03:43:37       What does eat a slice of pizza backwards. Do they mean like from the crust? For no amount of money. Would I ever do that third no kids off. Well thank you. Oh, no problem. Thank you. Thank you. Oh, what happened? We got another donation? Yeah, he's got some shits or be written on, excuse me. Sorry. I'm shut her eat draw shredder and a vape nation costume that I can do. Yeah. Do it. That I can do, he wants me to write on his food. Ba on Joey Salads. Oh, that's cool. Oh yeah. Careful. There's a whole bunch of gear behind Ya. Don't think we need to be this or I guess maybe the is on his food, but to be unused don't enter them. Like, wait, what's that? I just took a bite of this beats an oil scored in and my face, we heard every, every little squirt. That's, that's how, that's how you know it's, it's a tasty little slice of pizza. Um,

Speaker 18:         03:44:37       yeah, I'm googling around for a paid a psychic hotline. Um, do these exist anymore? Oh yeah, absolutely. I'm looking for a 901 and then what about the president? Just, just, just google. Which do you want me to just want to know this? I could go, there's the president and then look for the, let's get the president on the line, but wait, hold on. No, no, no. Okay. President on the resident then psychic.

Speaker 15:         03:45:02       Well, okay. I don't know if, uh, if it, is Aussie ready to play one of the songs? Cause like Brett, do we have one at lined up? Yeah, yeah, yeah. There's three songs. She's got to come in and play. Go Out and learn. Come in and play. So she's, she's learning the first one. I'm so fucking pissed cause I wanted to, I wanted to pay for one of those. Oh, I wanted to, I wanted to, I have a song. Well you can just, you don't have to donate to that incentive. Just, uh, just donate $200 to the

Speaker 7:          03:45:29       general. I mean, you're here so I know what's going on. I didn't know that president is ready. The president is ready. I'll get them on the line. Standby.

Speaker 2:          03:45:39       Everybody focus. We have the president of the United States. Takes me about a minute.

Speaker 26:         03:45:47       Incredible. Listen Up. Questions for the Pres.

Speaker 2:          03:45:51       Tell me when he's a in Dan. Yes, I will. Okay. This is very thrilling and very exciting. Um, little known fact. I am very close and tight with the president of the United States. Donald Trump. Good old friends. We go way back, way, way back. You went to my bar Mitzvah and everything. Um, grabbed my mom by the pussy but that was fine because he's such a superstar. Um, is he there? I don't hear him but he decided to call us in to help donate for the cause is wonderful cause and to do an Faq with us. So he is piping in right now. The secret service is establishing a connection and it should only be a matter of moments now, shortly before Donald Trump

Speaker 7:          03:46:38       zipped right in so many really like super important questions to ask residents. What kind of buried the lead. I mean it just says Alex version and Justin Reuland has guests and we kind of, I know, I downplayed it.

Speaker 2:          03:46:48       Just wanted it to be surprised. And it is. So without further ado and coming up very shortly, the president, Donald J, what's The j stand for? Nobody knows. It's a mystery, but only just

Speaker 7:          03:47:04       cool [inaudible].

Speaker 2:          03:47:07       I only his closest friends know what the j stands for and as proof of our friendship, what's The j stand for? As as proof of our friendship. I'll tell you right now, a stands for John, by Golly, and nobody knows that, but me as close for anything client Donald Trump deep, we're almost a 60,008

Speaker 7:          03:47:30       out of boom, Bada boom, Bada Bang. We're creeping up AA credit. All right, so the president is connecting.

Speaker 2:          03:47:40       Just got word from the secret service. He is on the phone.

Speaker 7:          03:47:45       Somebody just gave us a one 800 psychics, one 800 I took.com and a number w w. Dot. 1-800-PSYCHIC psychic and a website. We have to call the Hollywood www dot. Hello Hollywood psychics will all these, all these, we'll, we'll, we'll get to that. Dan, are you a taking stock of these? Well, I want to save it here. I'll send these to Dan on discourse in the one right below to buy your beer. Nerd bird, dude, I can't wait to call these mother fuckers calling the press right now. Oh yeah, yeah.

Speaker 2:          03:48:15       Pipe through as we speak right now. Donald J. Trump, only his close friends know this, but it stands for John Gone.

Speaker 7:          03:48:22       Such a cartoony middle name. John Simpson Bowles. Jay Moose, right? Michael J. Fox,

Speaker 4:          03:48:28       everybody.

Speaker 19:         03:48:29       Jay. Well that person. Mr President, are you there? Nope.

Speaker 27:         03:48:33       Hello.

Speaker 19:         03:48:34       Oh my God. Oh my goodness. What a honor to be. I think guys were joking. We get some precedent music. Please. Thank you. The music down. He's the president is to quiet music is still out. I can't hear. Interesting. Mr President, is anybody back there? We turn them up. Stop talking over him. Yeah. Well the music is pretty loud.

Speaker 4:          03:49:01       It's an honor to have you here. I, I had a few questions that, uh, I think, you know, the larger populous would, would really like you to answer. And I answered them honestly. Um, what do you, what do you think about that?

Speaker 27:         03:49:18       Oh, that's all right. We'll do it. I think whatever of life that took it, nobody will do it. But go ahead.

Speaker 4:          03:49:24       All right, so, so the first question I have is what do you think of slender man? That whole, that crazy cooky.

Speaker 27:         03:49:33       Oh, you know, there's so many complicated things to do with others, but it's true that this person got to, Alli sent through, we don't talk weight. We tried to throw a fit.

Speaker 19:         03:49:48       That's probably, but first what we will see static and that's that good. So we're looking at today, I've got my cup. I said, yes,

Speaker 4:          03:50:07       Mr President. It's clear you have a strong opinion on a lot to say about slenderman. We didn't, we didn't quite hear most of it, but I, I hope the audience out out there watching the screen and see on Air Force One right now. President, are you on Air Force One or what's going on here?

Speaker 27:         03:50:25       We are totally bobby. All of the countries worldwide initially started. It's total chaos.

Speaker 4:          03:50:32       Hmm. Well, well as it, as interesting as that line of discussion might be, I, I'm, I'm actually more curious to know what do you think of these Weird Nintendo? You know, Nintendo just sent out these little like, you know, original nes game pads that kind of slide into the side of your, your, your switch system. You know what I'm talking about? They just, they just recently sent those out and you had to, in order to get them,

Speaker 27:         03:50:57       well, just what she's doing started with the company as long as you rest, but you're looking at Mario and you look at least gets you out of bed the whole day and it doesn't make any sense. Okay. I little, I look at Barrio, I say, what is he? It doesn't make sense. Why does he want to be a bit? Okay. But they are totally fairly, from what I understand, you see, you get it. It's family and May in the dumpster. Okay. What you should really invest it is new soldier boy cut. So that's what the body is dead. I kill you.

Speaker 4:          03:51:29       Yeah, I have, I've been hearing, I've been hearing good things about the soldier boy console, so that's a really good thing. Um, what, do you know what, yeah, sorry, sorry to interrupt. I know. Uh, what, what do you, what do you think about the, the um, this whole, uh, you know, uh, uh, digital streaming channel that lets you watch nickelodeon

Speaker 27:         03:51:48       depo her and, and they are both really the Boogie board vote people in or what to did you bond? They stripped out Jeff, three, four, five up to five days. So you have a evolution. So that's something we liked but we have to look at Yoga.

Speaker 4:          03:52:05       Mr President, I just have to ask, you know, you brought up, did you mind um, you know, Michael Huckabee is famously come out so that he doesn't believe in, uh, did you, did you, did you evolution, uh, he doesn't believe that. Uh, did your mind can ditch evolve? What is your, what is your take on that Mr President?

Speaker 27:         03:52:20       I think if you put shit people compared to a get you by Roy Taylor then, which I think if I have to be right, it's totally about get be a puppy, be what gives it, did you post right? You get of through the circuits. I said you would be a very different story.

Speaker 4:          03:52:36       Yeah, that's the, that's a pretty, I mean, I can't disagree with that.

Speaker 18:         03:52:39       No. Mr President, as you all know, the power rangers was a very popular show and the 90s now a lot of people say the pink power ranger was, it was the most powerful, but I, but many also say the red power ranger was the most powerful.

Speaker 27:         03:52:57       Yeah. You were looking at the power rangers and the black one was black. I don't know what was going on there, but it was just total dictatorship. I don't really talk about it, but text off. Yay. Go ahead.

Speaker 4:          03:53:11       Um, uh, w what do you think of Japanese candies? I mean, are you, are you familiar with these little monkeys?

Speaker 27:         03:53:17       Sure. You look at Japanese women and they look a little bit younger than the rest of the world. Right. That joke yet. But it's legal and the whole thing is legal and they say the people go there to get a white people go to give hand because of the way every, I show younger than six fit because of like white guys. But that's the case, so. Okay.

Speaker 4:          03:53:37       But Mr President, what do you think about the, the treats, the Japanese treats like the pokey or Paki Hello Panda Panda. You know some of these mushroom shaped a little chocolate. Three avoiding the question. Romney's soda. How do you feel about the light full? Avoiding. Avoiding both.

Speaker 27:         03:53:54       We could just judge you how you see yourself. You people put this fake stuff. Okay. But this is what the truth is. Okay. I'm telling you it is okay. I am totally cool. Why? I love the animation epic. Okay. That's what I love. Okay. I keep telling you people, but they would print it like you beside your [inaudible]. So I've sat though, I love Japanese culture. I love the pictures. Right? The contracts that was present. Mr Braden, as I have super powers. Ed, I see pizza. I say it's crazy. Okay.

Speaker 2:          03:54:27       Now Mister President, do you consume a Hentai? What do you think that Hentai it should be illegal. I know a lot of Hentai depicts very young girls in it and a lot of people find that question. What do you, what do you think about this type of Hentai that depicts very young girls? Mr President.

Speaker 27:         03:54:46       Well, I was sitting there and I never heard of this. I said, how did it all by people? What am I tap? People came up to me and it shouldn't be surprised. What did you think of head size has ever heard of it? So they gave me a laptop with that guy. He said the elders and they left me alone for third one out. But you're looking at these pictures and they're horrible. And his knees. I look, girls look so young, but they like it. It's sort of like, but that's okay. We can talk about that because they are like it. But you look at these authentic, those fucking Webinar. So weak Leo Speedo say this. That's okay.

Speaker 4:          03:55:22       Um, do you, uh, what was a really thought provoking answer? Yeah, that was going to answer like, well, what do you think? What do you think of these? Uh, what do you think of these? Like these, these scooters, lyme or bird, all these companies, these scooters and, and, and, and what do you think about segway, the segway pro.

Speaker 27:         03:55:40       Wait, hold on. Okay. Okay. I'm sorry. You took video. 2 billion views. Thinking there's 2 billion people. That's a lot of people. That's a lot of people killed, but it has 2 million views. I sorted edit with a little boy, a little Mexican boy. I, we showed one of these scooters. I said, what is that? But the little boy, he falls off the scooter in the video. Okay. Yes. Uh Huh. Go ahead.

Speaker 4:          03:56:15       Okay. Are you, is that the, so you're, is that Mr President, are you there? Are you, is that you saying? Yeah.

Speaker 27:         03:56:21       Oh, I really, yes. That was a little boy fell off the stool and that's it.

Speaker 4:          03:56:24       Okay. So, so, okay, got it. You're against them. Um, I'm, I'm kind of curious, Mr President, who do you mean? Maybe he's for them. I, yeah, not quite clearly dodging the Co. I think the president wants to move on

Speaker 27:         03:56:41       the little boy, the [inaudible] the four simple than I am. Maybe you take things typically, I just know, pick up, look at the little boy. And once you see that video you'll just stared. Okay.

Speaker 4:          03:56:54       Mr President, what, what's your take on Mario paint? The classic Mario Paint for Nintendo Super Nintendo. Do you think it should be remade? Do you think there should be a modern, more, more featured, uh, uh, more features, more fleshed out version of Mario paint?

Speaker 27:         03:57:09       Hmm. Barrio be released for the switch 2019 and then there was easily 20. Thank you Lord. Okay. That's, is that a basis?

Speaker 4:          03:57:18       Yeah. Yeah. Can I ask who do you mean and smash? Mr Who? Who, who do you mean when you play smash brothers against other world leaders? Yeah.

Speaker 27:         03:57:25       Where are you looking at? You're looking at what you gave is right there. There's all these killings doesn't sell, but that's just, okay. But I saw somebody playing the scale by playing the game. They should be on. What is that? He said, dad, don't look. I said, what is that edge? I realized that Super Smash Brothers was epic. I looked at word right. If you've heard of this,

Speaker 2:          03:57:50       we have heard of the word man.

Speaker 27:         03:57:53       It gets fucking sweet. Lowest, every religious great, right? This is what we'd like to talk about. But, so I saw his very far. They shared my thoughts with this. I don't get it. There's all these gay, they're fighting. That's what's, what's with the fighting

Speaker 4:          03:58:07       you're, you're saying you'd like to see a, a more peaceful, uh, a version of

Speaker 27:         03:58:12       Oh, smash brothers. The situation with all the kids so that we will get into that. But you're looking at bowery [inaudible] Gel dot. Okay. And it's so great. It's so cool.

Speaker 2:          03:58:27       Now, Mr President, what is a, what is done? What do you think about? So when you think of the game, Zelda, the, the main protagonist, the hero of that game is link actually. But a lot of people think that it's Zelda because the name is Zola, but that's the name of the princess. Now, do you think that this name, that this game should be called the adventures of link? Do you find that that the way that it's branded is inappropriate?

Speaker 27:         03:58:52       I talked to get totally this lady. I say it should be happy. Look to do, we will be putting my copy both. I would like to look at the public. Not People. You want to do it? Your president. Okay.

Speaker 4:          03:59:05       Uh, yeah. Um, so what do you think of Bitcoins, Mr President? Are you a big fit coin guy? He are. You, you buy a couple of bitcoins or what

Speaker 27:         03:59:18       though? They per se do the Bitcoin, they were second best. The best of best did I looked at doing it. It looks like a total fraud. Just see what the stem, I think anybody about bitcoin before the crash is stupid. That's okay. We won't get it today. But what I did was I invested heavily in goats going judge. Cause I could write babe of course thing.

Speaker 2:          03:59:40       Now Mr President, if I can ask you something a little more personal, uh, do you, how do you wipe the Ed when you have a debt, when you defecate in the bathroom, do you end with a wet one? Do you use baby wipes? Do you have a, um, do they, how do you clean up the feces around your, your asshole, Mr President after that

Speaker 27:         04:00:00       covered look at us and off the both feeling a certain way, right? A very good day. I do that pretty much a bad day. I just feel bad. I should wear where you have two people come in and do it themselves. But there's a lot of ways to do it right. It's that great, but there's a lot of ways. That's right.

Speaker 2:          04:00:15       Well, Mr President, I have to say it's been very eye opening. Uh, you've dodged some questions,

Speaker 8:          04:00:20       but for the most part you've been very forthcoming.

Speaker 27:         04:00:24       Yes. I love all of you people. I think you're all great in sales. I don't be, you keep video, get it shoved communities. My favorite one of all, I love this. It's great.

Speaker 8:          04:00:35       Okay. That's the president. Well, Eh, gut. Please. Thank you for, for all of your hard work. I know that being depressed, being done the hard work hard. These are hard questions. We held your feet to the fire today. I really appreciate you really held, you really like telling us the truthful answers to some of these hard questions that we, that we, we lobbed at you and we appreciate it.

Speaker 27:         04:01:00       But I have to tell you before I leave, I have to tell you, look up on Youtube. Pitcher 40 do videos. They calling it viral. Okay, that's probably fine. But what they say to you is if you look on youtube and you type, it was a funny, it's still funny. It's the funniest thing I've ever seen before. Okay, so you would just stay. That's all I wanted to tell him.

Speaker 8:          04:01:22       Well, I'm the president of the united well Mister President, I'm sure you have a lot to get to. You must be very busy, man. Um, so we wish you all the best and uh, good luck running the country and thank you so much for calling trouble, Huh? Yes, absolutely.

Speaker 27:         04:01:37       All right. Thank you very much. Your ledger for peace out.

Speaker 8:          04:01:41       Hmm?

Speaker 27:         04:01:44       I don't know.

Speaker 8:          04:01:45       Yes, of course. Well, did you say something about he did say yes, he did ask him about all the, all the aliens, but I guess we missed our chance, but we know about slapping man. We could have really gotten into some CIA actual helpful thing. I, well maybe not. I had, yeah, there was a lot of questions about policy and stuff. Yeah, I had written down but we never got there. There's a lot of stuff, but really want to know it was an area 51 on next. Well that was fascinating. Yeah. 60,500 guys. He got the trump bomb. Trump bump. Thank you. Thank you Mr President for the bump 15th. Oh, we got more to right. So Dan, do we have a Saturday? We've got a song. We've got a song, a song by song time. Yeah. Let's, uh, let's go back and real quick, can I show you I got, I got another heart might full guys.

Speaker 8:          04:02:31       Whoa dude. Alex, let me show this quest. Look at this. See very talented artists. Freaking kidding me. You a little redder red. They tread boy that I think. I think I have. I'm getting this. I'm getting the vibe that maybe Ethan's going to try to snag that one. I need to be maybe your bullshit. Well, what do you, what art do you want to bid on? Mom? Is this the one you want? Mama approved every mom on earth once that are made above for kitchen. She wants that image. 500 500 to a, I'm working on some random, I could draw on him. I don't know what. Oh Jesus. It's all that. So was working on something spicy

Speaker 3:          04:03:18       and hot. Okay, here we gotta. We gotta get, we gotta get you. Oh by the way, take these out and you should all go up for auction. The grease on them. That's amazing. Original or y'all better fucking bad to me and then is ready. So let's get her in here to play. Play player first driver. Justin. I feel like I'm being violated whenever Justin writes on me like look at this my head, it's a very personal thing like on a head back against my back. Come on. I'm looking up under him as if like the girls view and the blow job made me think, Oh God, what are you writing? It's just so somebody asking to be sub two so we'll say it for pizza to case Z K nine seat. I was that the guy who the same person. The same guy. Man. What a hero. Well, let me make sure that that's clear that that's a c. Yeah, there we go. That was e k nine c right? That was his name. Nicey nicey. No one else. All right, here we go. Let's keep it going guys. Let's keep it going.

Speaker 3:          04:04:32       This is already set up so, all right. Any moron. Any more drawing requests, drop them in. Drop them in the truck by men to chat. Let's bid on one of the drawings. Which one he wants. These get to 75. Can we please get to 75 I like the first one that Justin made stories up the three characters. Okay. Damn. Oh, you're here to here. All right, let's bid. And these apparently let's bid. Should I wait? Should we bid 2000 on it? I'm going to be pissed. Maybe do it. That wasn't on Alex's drawing of our baby. That one was also, yeah. Do you really want to see that every day then? I want to see that in the paper. How long is this? Well first let's introduce our guests. We have Aussie here from chaos, chaos, uh, previous, uh, welcome back to the show by the way. Yes, we can see her. Yeah, you can move. Oh my God. My face is fuck. I realized. Yeah, scoot that way. Screwed that way. So we have a performance. What was the request for? Let's say, yeah, Ossie. Yeah, you should just hear it, but somebody donated. Can we shout them out? Yeah. Okay. All right. So to do this right, I have to, I'm going to kill off your mics. Okay. Okay, cool.

Speaker 28:         04:06:08       Yeah,

Speaker 3:          04:06:10       there's so many things that could go wrong with this. All

Speaker 28:         04:06:13       right.

Speaker 11:         04:06:19       Uh, uh,

Speaker 21:         04:06:55       yeah. [inaudible] then for the charity.

Speaker 18:         04:08:01       Wow. Keep and creepers never sounded so cool. Is that going on your new album? Are we are Mike's back on deep and creep, peep and creep. Oh my God, I didn't know that was awesome. So who is responsible? Who? Yeah. Dan. Who? Who indeed.

Speaker 29:         04:08:17       I don't know who it was. Dan.

Speaker 18:         04:08:21       Okay. Was it you just told her? I though I couldn't get through. I swear to God,

Speaker 29:         04:08:25       be able to choose. You definitely got to be able to choose.

Speaker 18:         04:08:28       I was trying to like get one in like every time I would try it with like another, it would be a slot would be taken and then I'd try again. That was a fan named Spencer that requested that. Tell me, I see you were backstage at rehearsing. How was your preparation for that?

Speaker 29:         04:08:47       Um, it was, it was interesting up. Do I need to talk in this mic?

Speaker 18:         04:08:51       You don't want to hear Mike's now that. Oh, okay. Oh, okay. Yeah. Okay.

Speaker 29:         04:08:56       Um, all right. Um, it was interesting. I was like sitting out in front of the bathroom and there was a guy, actually, he was kind of interesting with the context of the song, but there was a guy walking around with the flashlight for some reason just like shoot, like shining a flashlight is puffin and creeping. And he was explaining on me,

Speaker 7:          04:09:14       I don't know, is that normal around the building? Oh, that definitely, that happened the whole time. And I was like, you're a while you're playing. People think so. I think what it was like for him, mommy, Justin dresses up as a security guard and walks around with a flashlight. It was not me guys. You guys would know that there's going to be some like really rational reason why that was happening. Building. But he died and he was like, we called them flashlight, flashlight on. You did, he was already doing it. He was doing it before I got there. And then and then kind of like continue to know why I should have just chose a different location. I am. I sat like right next to him. You can, you can do them right in this room. So it seems like you probably want to be, you can just do it.

Speaker 7:          04:10:08       Any song. Right? If you, if you have a moment, one of hers, he's just not like sheet music for peep and creep is available on line listening to it. I was looking at your lyrics. You bet you got three more to learn and come back in and play. So I feel like I should leave on this note though. But I know. Learn the next good leave for good. Just go out there. How many songs should shit doing? I should pay for one. I know what's up. I should get, I should pay for a song. I do. I think we only thought we already capped yet. Well it's like, it's like once she gets through the next we do or be popular. So we put a cap of, we only saw three or four. Dan, what did we sell those we sold for? Because you've got to look at my $500 donation that I did and that's copy that.

Speaker 7:          04:10:57       All right, we'll take a look at that, Justin. I snuck around the barriers. I have a song I want guys, we're up to 61,000 we're getting close. We're getting close. Come on, but it's going really slow. Thank you. Aussies, aussies performance. Just donate. You know, five bucks, 10 bucks, whatever. $80 you should get a shot of joey salads sitting on the couch, on his phone and let's see, this one's got a shot at Joey Salads. Please on the couch for Christ's sake. Look, and like, I mean, look at this guy. He, he probably doesn't even know like, look at this. Eat that pepper man. He's like, where's that pepper? And he's like, why? Why are your fans so so, so heartless that they can't even like think of these poor people? Can we play some more sad videos? Let's play some more sad videos. Show up. Fuck devastate. Maybe that's what we need to do is to really using up tug at their heart strings. I don't know, maybe it was incredible. That's creep. Well let's pray called the psychic cause we actually have, okay, let's do it. Dan, can we connect to the psychic? I gave you a website. Hollywood

Speaker 3:          04:12:11       psychics.com. Yeah, let's do it as long as your phone number. Um, Hollywood psycho.com but I think we should do karaoke as well. Hello? Be Bank. Greed will set you giuffre I don't remember the words be. Do you want to sing it? You know my throat P I can get glue helped me out. How's it go?

Speaker 7:          04:12:41       You just be one person who just knew it. Just, yeah.

Speaker 3:          04:12:48       Oh, hey Joe Greene. The cuties at the beach. The cuties at the, yeah. All right. Enough. If that fucking thing out of your face.

Speaker 7:          04:12:57       [inaudible] is this Mike actually picking up the vocals like Oh God. Well on. I'm just curious. Hopefully not. Oh No, it's closed right now. I mean we can, we can hear it just from the ambiance a little bit, but I wonder like was it too loud like it was, it was her vocals were quiet in the room. But I want, but in the overall mix, was it like if anything the vocals were yeah, cause we don't, we don't have, we don't have her a keyboard Mike. So what else we got here? Vocals were way we may do. I mean it was okay. Okay. Yeah, yeah, yeah. There's no hard line in for the, for the, for the stupid, uh Oh yeah. What the fuck for that keyboard?

Speaker 3:          04:13:35       It's all good. Hello? Hello guys. What the fuck is this? Yeah. Holy Shit. 61,000 we're going to be here a while. So which one do you want to donate for? Hey look, we've, how much have we donated so far? 3000 so let's drop another two. Where do you want to put them? He creep. I'm on the drawing height, by the way, Ethan, I think you should leave this raffle up for more than just a week. We can't extend it. I think you should. Well, we can always extend it. And you know what, I'll be the bad guy. I'll take the bullet. We're going to extend it for a month. A month. That's what we did last year. Did we really? Come on? No, I don't think it would matter. I think it was two weeks. We had three weeks. We also got to get all the, I say it's never let it end. That's a lot of work. The thing is, I don't think they get the money until the campus. No, that's not true. They get the money. All these for us. People are like waiting. We just keep extending. Um,

Speaker 7:          04:14:41       I want to create Paul. I want to prank call, but I'll tell you what guys. No, let's just call a psychic hotline. Assigned me to prank calls. Just those call a psyche. Cause my prank, I got this number. It's not even 900 numbers patches through patches through, but let's wait for, actually, let me pee and let's get Alex in here. Well, how about let's, we'll do a few of these. So patch us into the first one. You Go pee all he this, I'm a, this is, this is this is it a p and I've waited all day up. Joey Get, Can I pee in your, it's not the first time he's asking if he can put it in your mouth. Joey wants to pee in my mouth. I want to be in his mouth and somebody go grab some ginger beer like from the local. Okay. Down the street.

Speaker 7:          04:15:23       Liquor store. They were the ones from ginger beer. Oh, I would kill for it. I'll see what I can do. You can just post mates. It's a known as to go to a porsche or you can send somebody to do it. Let me know somebody. Postmates it. I'm afraid to do it on my phone. Don't worry. We got it. And why is I'm broke. Yeah, I know. I'll pay. I'll pay whoever it is. Okay, so Dan, can you do me a favor? Ooh, but people, so can you bet $1,000 on the Justin's first drawing of the three characters a. Okay, you got it. And then do you want to put another thousand on another drawing? Ila One. Do One. I don't remember. I remember there was ones I really liked, but I don't, let me look on the rewards

Speaker 17:         04:16:07       thing.

Speaker 7:          04:16:08       Yeah, I got it. I got to donate. So man, I got to drop down a big donation. Let's see. A big boy. Big Boy. Yeah, you've got to get to 75 k because let's see which thing do I want the most? So maybe I'm just going to try to get that morty Chia pet. You lose to the one taller. It dropped three k for the morning. Chia pet. Hilarious. And you still lost. Okay, so I have worse all the art.

Speaker 7:          04:16:36       I feel like it's too dark. You can't see the Goddamn Shit. I'm mobile. I see as like a muddy, muddy wall of, of of things. I can't see it. And like $1, $1, $1. And it's either Justin's baby Klein, there's a little vote you wanted a baby klein that rick and morty crew zip up Hoodie. That is legitimately fucking crazy. Crazy. Fucking rare. Rare, valuable. That's like crew only. And if you look at it, can you click on zoom? Like, can you get a bigger, I can one sec. Wait, do you get to like what do you have to open up a special arc? Like can you do it through till to fi really here. Actually here. Okay. Here we go. Fucking for Christ sake. So, so, so like these are all like all the drawings are from the original doc and Marty Short, right? That got this whole thing started and um, I added some new ones for the interior hoodie and this is by daylight curfew and um, there's not, I mean I'm, I'm, I'm not shitting around. There's like, there's like, I'm not shitting around guys. I know that varies. That's a famous spray familiar with, there's like maybe a hundred of these total made. Um, so you know, if you're looking at, if you're looking to, if you're looking for bitcoin style investments, well, and then if, I dunno if you want to pitch this a little, but this, this is worth 100,000, I think.

Speaker 7:          04:18:00       But it is like, it's literally priceless because there aren't any, there aren't any more of that. Yeah. There's no way. There's, there's nothing one of the

Speaker 10:         04:18:08       Bible, but it's also one of a kind because it's, it's, it's the first one ever. It's the test print with mistakes that you like. There's some like there's some, I think there's some typos in there. There's some slight differences between the final version dude guys. Oh, also by the way, you should, you should in the front cover of that. You should write down like all of that information's in the bush. Sure. Yeah, because that will really fucking like authentic, authentic, utilize it and if the winter wants it signed, I'll sign it. If they don't want it signed, I won't sign it, but I'll find go back. Wait, Dan, did you already donate a thousand? I was actually just filling it out. Don't do it. Don't do it. Okay. Stopping please. For the love of God, do 1,200 so I can bump this guy. No, I want the bump him.

Speaker 10:         04:18:52       He's had it all day. You know what? You're right. I think you've got to bump it. A real person has to bump at night yet. No bumpers person. I'm a real person. I'm donating to directly. You bump it. Bump your bump. Yeah, you go, this is how it works. Poppers, competition, game 1,200 being no, because they do it. They're going to be like, oh, well then I'm out. No, they're going to bump me. You have a guy or girl out there who's going to be like, I'm going to bump a whitmore phillips. I only put a hundred above him. It's a total bumper bowl bid. What other fun stuff do we have here? We got, we got, we get saggy. Is this the one? Yeah, this one. Yeah. That's the way. No, no, no, not this one. Not this one. Look at though. The sack. You asked for the hugging it out is what we called it is looking at three guns right there.

Speaker 10:         04:19:35       Right there. Bam. There you go. To 1,200 on hugging. Oh my God. Well, I colored it. I want that one. I colored that one. Should I put 2000 on this one? Well, I mean don't, don't do all this. Art will be framed when it shipped. It's going to be put in really nice frame. Holy Shit. I really hope I win this. Justin, can you just make 1,200 here we go. How can you just draw me something? Just kind of like football pushing on this guy in the middle. None of them look like they're enjoying themselves. They all look like they're in pain. The guy in the middle does with the other two look like they're in pain. I should put 5,000 for a video from Ross. Yeah. How, how are we doing with the, with the Ros one or I guess we don't, we have no fucking clue.

Speaker 10:         04:20:18       Right? Well Dan does have, um, well we we should, we should not know that that information cause that that'll, that'll totally wait. What does that Mr. Moore Mo oh that's [inaudible] I did look at that. Wait, click on this cause the cause like it says, look, it'll Justin Roy. Oh my God. It's not by me. It needs to explain it that original cause otherwise and you actually need to sign them your own way. We'll edit the title right now. Yeah. I want to see that one bump around in such a good job. Imitating, look, believe me, I, I said the same thing. I was like, oh my God, I needed more saggy pendulous breasts. Oh guys. You know what I'm going to do while we're waiting for, you know,

Speaker 8:          04:21:06       all kinds of fun and, and I think the next video that Ethan's going to pull up, I'm going to go ahead and build a skateboard. Ooh. That we're going to put up for auction, but before we build it, we're going to draw something on Joey. Like, should I buy like a 10 things to write on Jelly? Yeah, I think so. Can I? I want to write 10 things to write on, Joey. That's six things here. I'm trying to, I'm trying to donate. What? Can you bring a tent? Yeah, of course. If I donate $1,000, can I draw a huge penis on Joey's face where the balls are over his eyes and the peanut. I want Justin to do it, but the balls are on his forehead and go all the way. Let me just send him in so you can ask him. All right guys.

Speaker 8:          04:21:54       So I'm gonna, I'm gonna, I'm gonna make a skateboard that I would ride. I don't know if you guys can see this is signed by Paul Rodriguez at the top. Can you see this real quick? This is signed by Paul Rodriguez. Rodriguez. He's a fucking bad ass skate boarders. Where the fuck have you been joe? So Joe, if I donate $1,000 can I have justin draw a huge penis on your face where the balls are each above and then all the way down? Well, you got a beard on though. I would say do it for, just do it. Okay. No, no, no. I'm not doing anymore. You know, I always, I was walking to the bedroom before and I'm just walking around. I'm like, why the fuck is everyone looking at me? Yeah, no, I go into the bed now. I look in the mirror. I'm like, oh, you're also dressed up.

