Speaker 1:          00:01:44       And before we start discussing philosophy and the human soul. Thous Vani has two words.
Speaker 6:          01:26:04       wrong and generate a new theory that will be better than it. Yeah. Let's give Jordan the last word on that as well. Yes, but the problem is, you know, that works. There's, there's two problems with it though. One is that it's really, really, really, really difficult cognitively because the more of your theory you have to unpack, like imagine that your theory is composed of presumptions and the more basic that presumption, the more your world is organized as a consequence of that presumption. And so like the presumption of your partner's fidelity is a very fundamental presumption because the entire interpretation of your relationship is predicated on that assumption. And so if you let that assumption go, then you let everything that you know about your relationship go and that casts you into chaos more and more thoroughly. So the more you go back to first principles to revise your theory, the more cognitive, I don't like this distance idea, but the more you throw your state yourself into a state of existential crisis and the more you end up cycle physiologically preparing for catastrophe as a consequence and the faster you die.

Speaker 6:          01:27:17       So the problem with ungluing things back down to first principles, which is actually what happens to people by the way when they develop post traumatic stress disorder, is that you undo yourself in doing that. And when you undo yourself, there's a physiological price to pay. So even though that is the root out make a fundamental error, you should make fundamental reparations. The cost of doing that is unbelievably high. And so people are loath to do it even though they might have to do it because of course, you know, you were saying it was wrong to paper over an error. And I asked what? Why is it wrong? If it makes you feel better, why is it wrong? Which is a perfectly good question. But the answer to why it's wrong is what? What do you want to make the same stupid error again? What if the air was caused I fatal?

Speaker 6:          01:28:00       You make it two more times your dad. And so the cost of repeating, that's the thing about cognitive errors insofar as they are enacted. If there are errors and you make them in the world, the world objects and it takes you apart, and if there is profound enough, then you suffer a lot and die. And maybe not just you. Like the errors can be really profound. So it might be that you have to fix the damn hole in your map because otherwise you'll fall through. But that nonetheless, that the cost of doing that is so high that you're going to shy away from it. And people do that all the time. That's partly why they take the easy route. It's like they take the easy route because the difficult route is, it's difficult. It's really difficult. Well, think about what you'd have to figure out if you were subject to a betrayal like that. It's like, well, maybe you married the wrong person. That's possible. Maybe you created the wrong person in your marriage, in your interactions, interactions with your partner. Or maybe you're so damn naive that it's just absolutely beyond comprehension. Like there's all sorts of terrible things lurking under the revelation

Speaker 8:          01:29:02       of that objection. And digging down there to, to, to pull them out is it's a hell of a job, right? That's the confrontation with the terrible dragon of chaos. And in that confrontation, you can easily be burnt to a crisp. Oh, so, but this is partially why it's so, it's so crucial to know yourself and to build a solid foundation of self, uh, in any relationship. Right? So that, so that it's not somebody else's betrayal does not unwind everything you think about yourself. So you can't go that every time reality doesn't match your theory, you completely unlined. Right? Right. So, so knowing oneself, having a solid foundation as sense of you know, sense of self esteem, a sense of self worth or self sense of confidence and, and having a philosophical foundation and this is why as you said, it's hard work. And that week we completely, that is morality is hardwork living is hard work.

Speaker 8:          01:30:01       Uh, you went back to, to the idea of, of the pragmatism and survival. One of the things that, that we, you know, that I hold it, you know, we hold I think is that survival call human being as a human being with their unique features as human being is a lot of work. And they were quite particular type of work, particularly reasoning and thinking and figuring stuff out. And the more work we do, the more we build our character, the easier it is to deal with the shocks to the system. The easier it is to deal with the nine 11 or more betrayal because we know where we are and now we just need to figure out what the facts on we can deal with whatever the facts of whatever we already throws at you. If you've done the Malo work to create a moral character you should be able to deal with while you have your been

Speaker 3:          01:30:48       up. [inaudible]

Speaker 5:          01:30:57       I got a seriously stiff neck from looking that way the whole time. Sorry guys. How you doing over there? What happens up left? Yeah. Whoo. Um, well this was such a perfect example of why I love the reality that I like to think I created and maybe some of it came from before me

Speaker 3:          01:31:15       would be good. This is it. [inaudible]

Speaker 5:          01:31:23       I mean, what do you think was more worthwhile? What we just did here for an hour or what was on CNN for the last hour? You know, this really is it. And you know, these are, these are huge differences and in, and in some ways they're small differences. And that's what I want to end for our final five minutes here is why is it that so seemingly these days, so few people are willing to do this. So few people are willing to tour the country to talk all to all sorts of people about all sorts of different things and put their ideas on the line and, and do all the philosophical work that you do and you're on, you travel the world

Speaker 7:          01:32:00       and it seems there's an absolute starvation for it. And yet, so few people are doing it. You're on, I'll start with you and then we'll go this way.

Speaker 8:          01:32:08       Well, I mean, I think because those people who don't want to have the debate have no ideas [inaudible] really empty. Uh, then he lists in some cases. And in that case, what does kneelers them, Neil Isms, they absence. It's zero away. I mean, I think called it the worship of zero, right? It's a nothingness. It's, it's, it's the, they don't stand for anything. Whether you're going to go and do debates when they don't really represent anything other than destruction. There's nothing to talk. Reason doesn't matter. Ideas don't matter. The speech doesn't matter. If as a consequence of what matter is action, this is why on Tifo storms into your room and you know, they, they, they use their fists. They, there's nothing for them to say. There's no value that they have to present. And I think it's true on if you will, on, on, on the, on the, uh, on the rights, on the, on the, on the non speech, right?

Speaker 8:          01:33:00       It's the same thing. It's my revelation, my verbal, you know, Islam or Christianity or whatever the religion is. It's my revelation. It's not heated debates. The truth was revealed to me. You know, there's no logic, there's no reason. There's no rationality that can challenge the fact that God spoke to me through a book or whatever. The way he spoke to me, and this is the truth and there's nothing else that can be discussed. So you've got two sides. All they have is emotion and action. Reason, ideas, debate, discussion. As soon as you abandoned reason. As soon as you abandoned the idea, that conversation, that logic is the way in which we debate, discuss and discover the truth, then now you've abandoned speech, right? So they are against free speech because they're against reason because they're against reality. They're there.

Speaker 7:          01:33:49       So that really the beauty of this, it's not that there has to be a knockout here that somebody has to be, you know, dragged off stage is that everyone, although wait for the closer

Speaker 8:          01:34:00       we're going to be,

Speaker 7:          01:34:02       but what that really that everyone here, the 600 some odd people here can take what they've heard here and then start applying their own logic and reason and figure out what what they believe. Totally think and say to my students in that connection is that it'll minds the rarely changed in the course of an argument. That doesn't mean they're not changed by an argument. But you know, if you and I are having an argument now, it's about something important in deep. It's very unlikely that one of us at the end of the 15 minutes, we're arguing he's going to come away with a changed world view. It happens occasionally, but pretty rare. But often, you know, you go home, you think about it. I think about it in both of us improve our thinking as a result of that. And maybe sometimes you see profound changes over time. The other thing I want it to say to your comment about why don't we see more of this, a wire and people willing to go around the country and do these kinds of talks and um, and it does seem like there's a hunger for it. People are turning out. Um, yeah. One

Speaker 7:          01:34:58       important thing with products and, and uh, you know, this is a product that we're creating here, right? For people to consume is there's a lot of times in the world when there is a potential demand for a product and people who could create that product and nobody notices it and it goes a long time with nobody knows at the end. What's, what's great about entrepreneurs is they're the kinds of people who noticed that there's an opportunity for them. They figure it out and they create something new. And I think that's what you're doing here, right? You probably would have been willing to go on a tour a couple of years ago. Um, and you know, you're onboard. We, um, but before it was proven that there were these people who want to hear this and there are ways to connect them together. Nobody would have known to do it. And so what all of you guys are doing in this connection, and particularly Dave, what you're doing and bringing all these people together on these long form talk shows, I think is fantastic. And it's creating this kind of value. And I see it as one of the things that one of the hopeful signs in the culture that combating the fines that you were on talked about on both political sides.

Speaker 3:          01:35:55       [inaudible]

Speaker 6:          01:36:04       can either take us out softer, go for the kill, because they're a very friendly group of people. Look, I mean, if you're gonna talk about, if you're going to dare to think publicly about difficult things to think and speak publicly about difficult things, then you're going to cause trouble because you can't talk about something difficult without causing trouble. If it was easy, then everyone would agree and then you could talk about it. No one would care because everyone already knew. But it would be easy. But if it's difficult and you talk about it, then you're going to upset people. And then when you upset people, they're gonna yell at you a lot and then well that's what's going to happen. And then you know, if you're not sure that there's any support for your position or even if you're sort of vaguely human ended, upsets you to be yelled at by many, many people, you know, you tend to shut up if a whole bunch of people that are yelling at you, because you might be wrong.

Speaker 6:          01:36:58       And also you might be in danger. But, but what happens right now is that, well two things. One thing to know is that just because some people yell at you right now, it doesn't mean that all people will yell at you over the next month. Right? So the people who are being thoughtful about it are going to be quieter and they might be sort of hiding in the woodwork. And so you have to learn that. But then the other thing is, and we've talked about this quite a bit in this tour, is that there's a technological revolution that's occurring that's enabling these long form conversations. And it wasn't possible before. Like we can live stream this right for no cost. And so a whole bunch of people can watch this and the technology's there, and it turns out that the technology has revealed to us the fact that there's a collective starvation for deep, long form discussion.

Speaker 6:          01:37:46       And so hurray for that. And so maybe that niche will be increasingly filled. It's, it seems to be happening. And so, um, and that would be a good, because it seems to me that the way out of our current state of idiot political polarization is, isn't the final establishment that one side is right and the other is wrong, but to engage in sophisticated long form discussions to deal with the actual problems that are producing the polarization. And maybe we can do that. And maybe this is part of the process by which we do that successfully. That would be a testament to the utility of the reason that you were describing, which is the only alternative to subjugation or violence, right. We either talk it through, we can pitch your late or we tyrannized those are the options. So

Speaker 3:          01:38:31       [inaudible] on that note,

Speaker 6:          01:38:45       going for talking it through and for these three guys who presented there, right?

Speaker 3:          01:38:48       Yes. Thank you guys for coming out. Thank you for watching on the Youtube [inaudible].
